"codeSystemVersion","instanceType","codeSystem","id","decode","code","uuid:ID"
"2023-09-29","Code","http://www.cdisc.org","Code_1","Interventional Study","C98388","43258570-f45b-41d5-9cba-f5b419df20c0"
"2023-09-29","Code","http://www.cdisc.org","Code_2","Phase II Trial","C15601","a2bf2b62-1ca4-4617-996d-4b90e559f2cf"
"2023-09-29","Code","http://www.cdisc.org","Code_9","Sponsor Approval Date","C132352","607a6712-2890-41a4-8d25-4fe2bde08039"
"2023-09-29","Code","http://www.cdisc.org","Code_10","Global","C68846","e127f2fc-5b2e-43a0-86c0-ee61ca30ddeb"
"2023-09-29","Code","http://www.cdisc.org","Code_72","IRB/IEC Feedback","C99904x3","81fb9813-16d2-48cb-839a-1fdf4e158be1"
"2023-09-29","Code","http://www.cdisc.org","Code_73","Other","C17649","1c79e84d-60c5-46ee-8625-f3c3fdeb7fac"
"2023-09-29","Code","http://www.cdisc.org","Code_75","Region","C41129","6a22d82d-4f71-400a-806c-06aa45ac2ca6"
"2020-08","Code","ISO 3166 1 alpha3","Code_74","Europe","150","0246470c-94ab-4e22-b8fe-6038dd49f24c"
"12","Code","SPONSOR","Code_4","Eli Lilly","PHARMA","04077cd5-f963-450b-b9ae-1e2e3ea65a7c"
"2023-09-29","Code","http://www.cdisc.org","Code_76","Clinical Study Sponsor","C70793","bfe0e902-bcdd-4fb2-9b3d-72dc4bcc14cb"
"2020-08","Code","ISO 3166 1 alpha3","Code_77","United States of America","USA","d46f47c4-6429-4784-973d-549ef08cb8a3"
"2023-09-29","Code","http://www.cdisc.org","Code_78","Study Registry","C93453","4298ffba-2765-4479-b7a0-e0138d829501"
"2020-08","Code","ISO 3166 1 alpha3","Code_79","United States of America","USA","41082e4a-1144-4aa4-ba01-0f09971e17a3"
"2023-09-29","Code","http://www.cdisc.org","Code_137","Treatment Study","C49656","30570a8d-3247-4137-93c9-f41c3418abc8"
"2023-09-29","Code","http://www.cdisc.org","Code_138","Efficacy Study","C49666","a0a07741-5f00-42c4-8f92-3c2b07defdcc"
"2023-09-29","Code","http://www.cdisc.org","Code_139","Safety Study","C49667","37155098-f2b4-4c88-977a-55252c9bb617"
"2023-09-29","Code","http://www.cdisc.org","Code_140","Pharmacokinetic Study","C49663","252900be-0d9d-4a54-9fd6-eaf7ae1924b4"
"12","Code","SPONSOR","Code_134","Mild to Moderate Alzheimer's Disease","MILD_MOD_ALZ","c0794008-0941-4014-8379-5a94d1b0c55b"
"January 31, 2018","Code","SNOMED","Code_135","Alzheimer's disease","26929004","d24c8512-dec1-4b26-b108-f4058090ec3c"
"2023-09-29","Code","http://www.cdisc.org","Code_143","EXTENSION","C99907x1","5e2fd7d9-c252-47e4-8606-62af07e432f8"
"2023-09-29","Code","http://www.cdisc.org","Code_144","ADAPTIVE","C98704","a3dc1325-2247-4f84-b2d0-1e776bea6204"
"2023-09-29","Code","http://www.cdisc.org","Code_141","Parallel Study","C82639","40a6092f-7f35-4fc4-ad1f-be69c2401317"
"2023-09-29","Code","http://www.cdisc.org","Code_83","Visit","C25716","ab8a68d3-cdcf-48ed-8536-35d5f9f4f1b3"
"2023-09-29","Code","http://www.cdisc.org","Code_84","Clinic","C51282","7f303a35-dbbe-40a7-8b55-1be9f6e1e2e2"
"2023-09-29","Code","http://www.cdisc.org","Code_85","In Person","C175574","aeb51cc5-3265-4d75-a60f-64ee6e51ab72"
"2023-09-29","Code","http://www.cdisc.org","Code_86","Visit","C25716","0262c955-7fd4-47a9-980c-62c673b904ef"
"2023-09-29","Code","http://www.cdisc.org","Code_87","Clinic","C51282","cbdcd1e8-10f5-4673-8d31-0992325056da"
"2023-09-29","Code","http://www.cdisc.org","Code_88","In Person","C175574","190e2039-0b91-43d9-ae6d-c73018aeed71"
"2023-09-29","Code","http://www.cdisc.org","Code_89","Visit","C25716","2b192883-ca5a-4803-91fc-6db10163e6c4"
"2023-09-29","Code","http://www.cdisc.org","Code_90","Clinic","C51282","33d0e727-3c3a-4440-a572-f0562a567043"
"2023-09-29","Code","http://www.cdisc.org","Code_91","In Person","C175574","e42e5ad9-0348-4d0e-992e-c3928bfba1aa"
"2023-09-29","Code","http://www.cdisc.org","Code_92","Visit","C25716","5656000c-0a11-47dc-8a97-c798a726dbb9"
"2023-09-29","Code","http://www.cdisc.org","Code_93","Clinic","C51282","d0ec0c38-3d22-4ee2-b59a-2c5eda76f7cc"
"2023-09-29","Code","http://www.cdisc.org","Code_94","In Person","C175574","559924f1-a3dc-4479-8743-81684815cec9"
"2023-09-29","Code","http://www.cdisc.org","Code_95","Visit","C25716","4e412c36-1caf-4613-8b57-cf68a81dcae3"
"2023-09-29","Code","http://www.cdisc.org","Code_96","Clinic","C51282","b0e4f6ef-33f0-4304-8a7d-457597d6cf43"
"2023-09-29","Code","http://www.cdisc.org","Code_97","In Person","C175574","c764717a-1b9e-4e3f-9b66-41ba2688d75e"
"2023-09-29","Code","http://www.cdisc.org","Code_98","Visit","C25716","8668972f-2cf1-47ce-bffc-118afbce8335"
"2023-09-29","Code","http://www.cdisc.org","Code_99","Clinic","C51282","5103ed7f-daba-4690-8319-265d3f1e669b"
"2023-09-29","Code","http://www.cdisc.org","Code_100","In Person","C175574","6e54c3ab-a854-4159-8ee5-bc2e9ff71b2c"
"2023-09-29","Code","http://www.cdisc.org","Code_101","Visit","C25716","a04b04fc-8111-4cb2-82ae-0af4bb1b5255"
"2023-09-29","Code","http://www.cdisc.org","Code_102","Clinic","C51282","363b9b86-6e20-42c7-b279-a37a741bbb20"
"2023-09-29","Code","http://www.cdisc.org","Code_103","In Person","C175574","e038aa60-50b0-49f5-9923-4e23d893012e"
"2023-09-29","Code","http://www.cdisc.org","Code_104","Telephone Call","C171537","c8951766-5302-4610-9787-a4162bf3232e"
"2023-09-29","Code","http://www.cdisc.org","Code_105","Visit","C25716","c47993ae-17ba-4d02-b6a7-800c8d9c670f"
"2023-09-29","Code","http://www.cdisc.org","Code_106","Clinic","C51282","f415025d-1adf-46b9-89aa-7093ab27eb02"
"2023-09-29","Code","http://www.cdisc.org","Code_107","In Person","C175574","057bc6ea-d22e-4a77-a224-9bdf4da8341a"
"2023-09-29","Code","http://www.cdisc.org","Code_108","Telephone Call","C171537","2d38183d-5303-4856-93a8-051868340ad0"
"2023-09-29","Code","http://www.cdisc.org","Code_109","Visit","C25716","ef9c1a71-77da-47dd-be04-b8cb2477e523"
"2023-09-29","Code","http://www.cdisc.org","Code_110","Clinic","C51282","b1f9dc55-0101-4e51-9b88-be9f20be8ebe"
"2023-09-29","Code","http://www.cdisc.org","Code_111","In Person","C175574","82fe1889-1cdb-46fd-85fc-a391a90cd143"
"2023-09-29","Code","http://www.cdisc.org","Code_112","Telephone Call","C171537","2d683875-29be-428f-b60a-775fbb1bd80c"
"2023-09-29","Code","http://www.cdisc.org","Code_113","Visit","C25716","6845d48e-e614-4305-bfe9-ce810a7a7432"
"2023-09-29","Code","http://www.cdisc.org","Code_114","Clinic","C51282","32dc7e2e-99fa-4add-afb9-14c830bc39da"
"2023-09-29","Code","http://www.cdisc.org","Code_115","In Person","C175574","6cfe4843-1c34-4e8b-82f7-87f916e0b881"
"2023-09-29","Code","http://www.cdisc.org","Code_116","Telephone Call","C171537","c07ad288-1b2c-4ce1-bf1b-e6aee308d79f"
"2023-09-29","Code","http://www.cdisc.org","Code_117","Visit","C25716","9b6a0a48-ad60-454c-8683-d51185ec7ad1"
"2023-09-29","Code","http://www.cdisc.org","Code_118","Clinic","C51282","6ed6813a-b521-4940-bd58-ab38d99b8813"
"2023-09-29","Code","http://www.cdisc.org","Code_119","In Person","C175574","8ef7c613-f202-4254-90f6-5f2b14b47b16"
"2023-09-29","Code","http://www.cdisc.org","Code_120","Visit","C25716","394b3523-950f-42c1-a44a-1cd7015c3fdd"
"2023-09-29","Code","http://www.cdisc.org","Code_121","Clinic","C51282","4636d056-50df-43c5-8950-063d25a2afc2"
"2023-09-29","Code","http://www.cdisc.org","Code_122","In Person","C175574","558b2324-c0f6-4807-a2b4-41091087e783"
"January 31, 2018","Code","SNOMED","Code_80","CT of head without contrast","383371000119108","3489b2e7-5519-493e-a6de-362f26c33181"
"12","Code","SPONSOR","Code_81","Subject Supine","123","5d0b4166-1142-4365-8caa-e9a7b01e6494"
"12","Code","SPONSOR","Code_82","Subject Standing","124","0f6677c6-9728-46d8-a21e-d131e9b6fbe8"
"2023-09-29","Code","http://www.cdisc.org","Code_269","Male","C20197","4b89ac83-9203-4649-9b75-885cb89ed44c"
"2023-09-29","Code","http://www.cdisc.org","Code_270","Female","C16576","54dde2e2-01a1-4c31-bc9e-65c75f0743ae"
"","Code","NCI Thesaurus","Code_271","Sex","C28421","c364ca2f-65b5-493c-9f17-afe122b1b898"
"","Code","NCI Thesaurus","Code_268","Sex","C28421","f4304cb9-c896-47c3-9922-593a17f2dc1e"
"","Code","NCI Thesaurus","Code_273","Race","C17049","1bae1b2e-d4bf-4bf8-9922-340d040abdb7"
"","Code","NCI Thesaurus","Code_272","Race","C17049","50d22121-8221-4612-9d4b-5e047eedfa38"
"","Code","NCI Thesaurus","Code_275","Clinical Test Result","C77140","110958dd-5a84-4570-8c3e-06c4ad4a26a3"
"2023-09-29","Code","http://www.cdisc.org","Code_276","Kelvin","C42537","14d7a146-31ac-41d0-89c8-097501723bfb"
"","Code","NCI Thesaurus","Code_277","Unit of Temperature","C44276","a45eb1b6-2f60-4a35-8558-00a22dc1b738"
"","Code","NCI Thesaurus","Code_278","Anatomic Site","C13717","aeed58ff-b0e7-4d32-b8fe-629e0a32d374"
"","Code","NCI Thesaurus","Code_274","Body Temperature","C174446","b0abd178-5362-4f1b-bbb7-37c0ffe30bc7"
"","Code","NCI Thesaurus","Code_280","Clinical Test Result","C77140","f7955e41-11da-4c64-87f9-3aa625f6e751"
"2023-09-29","Code","http://www.cdisc.org","Code_281","Kilogram","C28252","96278305-afde-4306-9895-01f77ceed15e"
"2023-09-29","Code","http://www.cdisc.org","Code_282","Gram","C48155","7d9ffaa5-66c1-4da8-9b6b-79507208dd44"
"2023-09-29","Code","http://www.cdisc.org","Code_283","Pound","C48531","88a55929-2eb2-4333-be44-822fb690b53e"
"","Code","NCI Thesaurus","Code_284","Unit of Weight","C48208","cefc1320-fea2-4357-93af-958c87287eb1"
"","Code","NCI Thesaurus","Code_279","Body Weight","C81328","e2fde60f-5139-44d9-b55d-35ac82c4fc3a"
"","Code","NCI Thesaurus","Code_286","Clinical Test Result","C77140","5fcf3e12-c48e-4c2f-906c-e4aaa44ba11f"
"2023-09-29","Code","http://www.cdisc.org","Code_287","Centimeter","C49668","86d271b7-d4f5-4b99-95ef-f8f205674fc2"
"2023-09-29","Code","http://www.cdisc.org","Code_288","Inch","C48500","ecbb7e74-0ce0-4206-9d94-2f32c4c058b3"
"2023-09-29","Code","http://www.cdisc.org","Code_289","Millimeter","C28251","3b17ed27-3592-43a5-9d5f-4121ba25a615"
"2023-09-29","Code","http://www.cdisc.org","Code_290","Meter","C41139","451cf440-59f6-412e-be1b-6ad7b82a1b5c"
"","Code","NCI Thesaurus","Code_291","Unit of Height","C168688","1c0e16bf-20eb-4116-b936-9e09b9b73b85"
"","Code","NCI Thesaurus","Code_285","Body Height","C164634","409631c7-342c-4c3f-8f14-74dc39b7a9d9"
"","Code","NCI Thesaurus","Code_293","Laboratory Test Result","C36292","6d045cdc-7111-46ad-86ed-1f28b40ad7c5"
"","Code","NCI Thesaurus","Code_294","Laboratory Test Fasting Status","C83309","8b95aa0c-4b84-4b5c-a31b-f6b1abe3464d"
"","Code","NCI Thesaurus","Code_295","Unit of Catalytic Activity Concentration","C67365","0f3aafa6-9747-4022-b688-6e672f9ab154"
