"name","instanceType","label","windowLower","window","windowUpper","description","id","value","uuid:ID"
"TIM1","Timing","Screening","","","","Screening timing","Timing_1","P2W","d216e9bb-f2d0-4787-8134-b0a3e6ddabbb"
"TIM2","Timing","Pre dose","PT4H","-4..0 hours","PT0H","Pre dose timing","Timing_2","P2D","316d819d-c853-46bb-ba23-ac50546e7439"
"TIM3","Timing","Dosing","","","","Dosing anchor","Timing_3","P1D","5778b660-0e31-467a-bd89-0d3e2abb9227"
"TIM4","Timing","Week 2","P3D","-3..3 days","P3D","Week 2 timing","Timing_4","P2W","3e7573a9-fd5e-4101-a584-1d3ec5ccc7ab"
"TIM5","Timing","Week 4","P3D","-3..3 days","P3D","Week 4 timing","Timing_5","P4W","1f760cb5-30d7-496f-9acf-f88751305968"
"TIM6","Timing","Week 6","P3D","-3..3 days","P3D","Week 6 timing","Timing_6","P6W","45f1d306-d5cc-4847-ba7e-0acbcabb6744"
"TIM7","Timing","Week 8","P3D","-3..3 days","P3D","Week 8 timing","Timing_7","P8W","78105860-3c76-412a-83fb-ad2b213c8648"
"TIM9","Timing","Week 12","P4D","-4..4 days","P4D","Week 12 timing","Timing_9","P12W","152ee63a-d77c-4253-be47-91a9b3cb41ad"
"TIM11","Timing","Week 16","P4D","-4..4 days","P4D","Week 16 timing","Timing_11","P16W","59976b50-cad9-4dce-9a1a-9bcc47d1184f"
"TIM13","Timing","Week 20","P4D","-4..4 days","P4D","Week 20 timing","Timing_13","P20W","f61747b3-bf6c-40ca-abc2-26d5794567af"
"TIM15","Timing","Week 24","P4D","-4..4 days","P4D","Week 24 timing","Timing_15","P24W","3bd6a85e-de80-4335-9d72-fcbf15d4ecdc"
"TIM16","Timing","Week 26","P3D","-3..3 days","P3D","Week 26 timing","Timing_16","P26W","fb10c40d-2faf-4660-8138-e26b0cda766d"
"TIM8","Timing","Week 8 Home","","","","Week 8 at home timing","Timing_8","P2W","0b9b5626-7264-42b2-8168-e2b8b02dacc4"
"TIM10","Timing","Week 12 Home","","","","Week 12 at home timing","Timing_10","P2W","ca46d8be-3bd1-46bf-9ab6-b94203d546d7"
"TIM12","Timing","Week 16 Home","","","","Week 16 at home timing","Timing_12","P2W","c87dee18-0bd8-4c44-9f1f-6798d31ba3fe"
"TIM14","Timing","Week 20 Home","","","","Week 20 at home timing","Timing_14","P2W","61da75ec-ce51-4760-873b-8c37e13775b3"
"TIM17","Timing","Adverse Event","","","","Adverse Event","Timing_17","P1D","5901599b-1da1-40a8-b23c-d13e921614fb"
"TIM18","Timing","Early Termination","","","","Early Termination","Timing_18","P1D","df638168-6416-42ed-a2f6-ea0479072ef5"
"TIM19","Timing","Supine","","","","Supine","Timing_19","PT0M","78c0e684-2164-4fdc-b49d-5b2f377f8157"
"TIM20","Timing","VS while supine","","","","VS while supine","Timing_20","PT5M","e8a9806c-43eb-490b-ac1e-d9a7160d6dad"
"TIM21","Timing","Standing","","","","Standing","Timing_21","PT0M","efe30a9a-d2d4-45d8-b1c3-465138a53a45"
"TIM22","Timing","VS while standing","","","","VS while standing","Timing_22","PT1M","f6457472-63a3-4abc-b077-94334061df80"
"TIM23","Timing","Standing","","","","Standing","Timing_23","PT0M","76e9c4d2-9d2f-46e1-9c25-acb70190de66"
"TIM24","Timing","VS while standing","","","","VS while standing","Timing_24","PT2M","02894a75-6241-4445-ac85-5d9f67058a6a"
