"name","instanceType","label","reference","synonyms","id","uuid:ID"
"Sex","BiomedicalConcept","Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","","BiomedicalConcept_20","28bb2564-7a05-479f-bb6c-0f08bfb7a6d3"
"Race","BiomedicalConcept","Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","['Racial Group']","BiomedicalConcept_21","34cc780d-e032-424f-8d3b-2c3479d22aa9"
"Body Temperature","BiomedicalConcept","Body Temperature","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","['Temperature']","BiomedicalConcept_22","a93235c4-390f-4a76-87a8-a52dd548a7a1"
"Body Weight","BiomedicalConcept","Body Weight","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","['Weight']","BiomedicalConcept_23","3f8854b7-3b53-47f9-adcc-58c5489a5df1"
"Body Height","BiomedicalConcept","Body Height","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","['Height']","BiomedicalConcept_24","718a8d3d-5728-4b24-83df-b866db865084"
"Alanine Aminotransferase Measurement","BiomedicalConcept","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","BiomedicalConcept_25","1061657f-e8aa-4a22-ae46-3287f5dcae70"
"Albumin Measurement","BiomedicalConcept","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","BiomedicalConcept_26","bacc5666-242b-44c8-87b6-f58a69aa4988"
"Alkaline Phosphatase Measurement","BiomedicalConcept","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","BiomedicalConcept_27","50fc8288-d90f-4c23-ad55-56df8006f60b"
"Aspartate Aminotransferase Measurement","BiomedicalConcept","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","BiomedicalConcept_28","c079951c-926e-4b9f-b71c-84a545d9720a"
"Creatinine Measurement","BiomedicalConcept","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","BiomedicalConcept_29","26524aa2-af31-4487-accc-3ab64a86b8c4"
"Potassium Measurement","BiomedicalConcept","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","BiomedicalConcept_30","67a110bd-471b-4128-b17d-d728eea33b36"
"Sodium Measurement","BiomedicalConcept","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","BiomedicalConcept_31","82661d66-bc7c-4fcb-b2b1-b23e0b2984c3"
"Adverse Event","BiomedicalConcept","Adverse Event","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C41331","","BiomedicalConcept_1","1568ff96-0742-4ad3-abb4-d127bef6ea5c"
"Systolic Blood Pressure","BiomedicalConcept","Systolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","['SYSBP']","BiomedicalConcept_2","44bf24be-8de7-4606-82d4-cf89d234c5e9"
"Diastolic Blood Pressure","BiomedicalConcept","Diastolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","['DIABP']","BiomedicalConcept_3","d9398d7a-dd69-4a65-8dd8-4e3c1f37d9ee"
"Body Temperature","BiomedicalConcept","Body Temperature","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","['Temperature']","BiomedicalConcept_4","36e84fa4-34d5-45e7-95bf-48577636d3d2"
"Body Weight","BiomedicalConcept","Body Weight","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","['Weight']","BiomedicalConcept_5","3d2baaf4-8683-441d-9984-e07486013e4d"
"Body Height","BiomedicalConcept","Body Height","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","['Height']","BiomedicalConcept_6","71910228-7431-4a32-af26-b89f2d0eea1f"
