"name","instanceType","label","text","description","id","purpose","uuid:ID"
"END1","Endpoint","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","Endpoint_1","","b2c6dc35-de0b-42fb-b3e7-ddd662ae928e"
"END2","Endpoint","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","Endpoint_2","","9df7769a-6690-43bb-92e9-23a89b7499f2"
"END3","Endpoint","","Adverse events","","Endpoint_3","","e09287bb-dea6-4a4e-bbf4-dba398ec48af"
"END4","Endpoint","","Vital signs (weight, standing and supine blood pressure, heart rate)","","Endpoint_4","","36e775bc-f9f4-440e-a261-fac96cff3d75"
"END5","Endpoint","","Laboratory evaluations (Change from Baseline)","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint_5","","7ac06172-76c8-49c4-ad40-bb726cc98970"
"END6","Endpoint","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","Endpoint_6","","1b9d2080-f2ed-4019-870a-2f58c55e5e53"
"END7","Endpoint","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","Endpoint_7","","2465e5c7-9e72-44d8-87f7-b925bfef15d6"
"END8","Endpoint","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","Endpoint_8","","22cc44d9-cd5a-4563-81b6-bf8f7d017760"
"END9","Endpoint","","*** To be determined from protocol ***","","Endpoint_9","","65b0d91d-9b87-4e52-aca4-45928448df8b"
"END10","Endpoint","","*** To be determined from protocol ***","","Endpoint_10","","a64578e4-537d-459d-9e2c-a48497dab6cb"
"END11","Endpoint","","*** To be determined from protocol ***","","Endpoint_11","","637ef26f-ce34-4bca-a739-4bf82bccc42a"
