"instanceType","name","synonyms","label","id","reference","uuid:ID"
"BiomedicalConcept","Body Temperature","['Temperature']","Body Temperature","BiomedicalConcept_20","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","b8f3ebbe-c541-4a61-b9dc-6aca0030c6e4"
"BiomedicalConcept","Body Weight","['Weight']","Body Weight","BiomedicalConcept_21","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","5bae8423-3cb4-4e5d-ae8a-0b48cacc8984"
"BiomedicalConcept","Body Height","['Height']","Body Height","BiomedicalConcept_22","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","ab53d75e-614c-4421-9046-256b10efa434"
"BiomedicalConcept","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept_23","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","d167eaf7-0090-45bd-939b-4ea271ddc33b"
"BiomedicalConcept","Albumin Measurement","['Albumin']","Albumin Measurement","BiomedicalConcept_24","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","36ce56bd-cad2-44a2-a553-6d43220ca1b0"
"BiomedicalConcept","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept_25","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","8514010b-1993-4d3b-b957-0cec6b1d25fe"
"BiomedicalConcept","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept_26","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","2c035a76-602d-4279-b78b-ab609329a02d"
"BiomedicalConcept","Creatinine Measurement","['Creatinine']","Creatinine Measurement","BiomedicalConcept_27","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","ff69deb5-aac4-4f93-931a-5572fbb72696"
"BiomedicalConcept","Potassium Measurement","['Potassium', 'K']","Potassium Measurement","BiomedicalConcept_28","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","7e24cc42-2654-427a-ac9a-8f59eab0c4b0"
"BiomedicalConcept","Sodium Measurement","['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept_29","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","32dcf8de-3937-4d0e-aa0f-f57b433061da"
"BiomedicalConcept","Adverse Event","['Adverse Event Reported Term', 'AETERM']","Adverse Event","BiomedicalConcept_1","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","586901f6-2a2c-4c67-b565-288c45b75752"
"BiomedicalConcept","Systolic Blood Pressure","['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_2","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","8570013b-187f-43f7-94bd-04fdf9e09a6b"
"BiomedicalConcept","Diastolic Blood Pressure","['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_3","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","3b1b1e42-e960-4579-8de6-9ba5b88c5e24"
"BiomedicalConcept","Body Temperature","['Temperature']","Body Temperature","BiomedicalConcept_4","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","580e6a41-bef2-4de7-9564-a69d7e27be27"
"BiomedicalConcept","Body Weight","['Weight']","Body Weight","BiomedicalConcept_5","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","9a96e3cb-db4d-4651-9851-15a5bfc94a19"
"BiomedicalConcept","Body Height","['Height']","Body Height","BiomedicalConcept_6","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","dc2cf64c-a0bb-4fba-92ec-d7dc9842a34b"
"BiomedicalConcept","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept_7","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","f8149945-4f2a-4287-b56e-c324f7db4c9c"
"BiomedicalConcept","Albumin Measurement","['Albumin']","Albumin Measurement","BiomedicalConcept_8","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","0a883961-e715-45aa-962d-b32dc1e8176d"
"BiomedicalConcept","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept_9","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","e912e0d1-8a3d-4440-8631-d61607bfb625"
"BiomedicalConcept","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","d8037ded-10c3-40c2-96fd-6277fcdedd8e"
"BiomedicalConcept","Creatinine Measurement","['Creatinine']","Creatinine Measurement","BiomedicalConcept_11","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","71ec5b54-5e1b-49fe-939e-b3deacc9a320"
"BiomedicalConcept","Potassium Measurement","['Potassium', 'K']","Potassium Measurement","BiomedicalConcept_12","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","e06f48f8-f389-48cf-a868-d2229f722f52"
"BiomedicalConcept","Sodium Measurement","['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept_13","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","2a03dcbf-6535-45c9-b773-41f480171529"
"BiomedicalConcept","Systolic Blood Pressure","['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_14","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","52524e14-7f92-40eb-a2e1-ec33945f3347"
"BiomedicalConcept","Diastolic Blood Pressure","['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_15","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","7cd2d15d-0178-4201-8f9a-c9936b61fab0"
"BiomedicalConcept","Heart Rate","","Heart Rate","BiomedicalConcept_16","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","fd22089d-8a6f-4ad2-ac29-da9af509fdd3"
"BiomedicalConcept","Systolic Blood Pressure","['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_17","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","4640c11f-a653-4e7d-a828-7e2de52cd5d2"
"BiomedicalConcept","Diastolic Blood Pressure","['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_18","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","c5aca233-b0ba-4091-8478-1b1a8ac329df"
