"instanceType","sectionNumber","name","id","sectionTitle","text","uuid:ID"
"NarrativeContent","0","ROOT","NarrativeContent_1","Root","","62fd8e32-8cf5-470c-8357-4211715ac348"
"NarrativeContent","0","SECTION 0","NarrativeContent_2","TITLE PAGE","<div><usdm:section name=""M11-title-page""></div>","2306a752-0b08-4fcf-bef7-9fa7bc6b9d07"
"NarrativeContent","1","SECTION 1","NarrativeContent_3","PROTOCOL SUMMARY","<div></div>","c7110525-2411-42b2-9f53-44e0b3e911fa"
"NarrativeContent","1.1","SECTION 1.1","NarrativeContent_4","Protocol Synopsis","<div></div>","1ad414ed-d3c4-4e81-91b8-b4299aa0a69e"
"NarrativeContent","1.2","SECTION 1.2","NarrativeContent_5","Trial Schema","<div></div>","479ee236-98bf-4cd3-b827-5b83be579644"
"NarrativeContent","1.3","SECTION 1.3","NarrativeContent_6","Schedule of Activities","<div></div>","a5623c0a-d8fe-4ec0-a1a4-59c305040923"
"NarrativeContent","2","SECTION 2","NarrativeContent_7","INTRODUCTION","<div></div>","6f56e8b0-26ca-4926-8b24-a1e7f3db077b"
"NarrativeContent","2.1","SECTION 2.1","NarrativeContent_8","Purpose of Trial","<div></div>","40377ded-cf35-47d7-acba-fa2a98260fc0"
"NarrativeContent","2.2","SECTION 2.2","NarrativeContent_9","Summary of Benefits and Risks","<div></div>","3b08a077-2eb0-4104-904b-db0492105b55"
"NarrativeContent","3","SECTION 3","NarrativeContent_10","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","37498dc8-15ae-4673-bd1d-9d323e8d94d9"
"NarrativeContent","3.1","SECTION 3.1","NarrativeContent_11","Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></div>","75165aa8-7546-4a9a-a039-290800610862"
"NarrativeContent","4","SECTION 4","NarrativeContent_12","TRIAL DESIGN","<div></div>","ea7bb978-6916-4db2-84d4-a1c7b270cf17"
"NarrativeContent","4.1","SECTION 4.1","NarrativeContent_13","Description of Trial Design","<div></div>","54c6ae77-47fc-464c-a629-753033ff5591"
"NarrativeContent","4.1.1","SECTION 4.1.1","NarrativeContent_14","Participant Input into Design","<div></div>","00fab457-af19-496e-ad85-a205decaf995"
"NarrativeContent","4.2","SECTION 4.2","NarrativeContent_15","Rationale for Trial Design","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","b6b06ccd-5065-467a-95c8-650a3ce4f09f"
