"instanceType","id","decode","code","codeSystem","uuid:ID","codeSystemVersion"
"Code","Code_1","Interventional Study","C98388","http://www.cdisc.org","38e62ff7-7ccd-4d92-9675-8b4cae7cd706","2023-09-29"
"Code","Code_2","Phase II Trial","C15601","http://www.cdisc.org","f9617470-25cd-4360-a5c3-3cb1c307dc22","2023-09-29"
"Code","Code_9","Sponsor Approval Date","C132352","http://www.cdisc.org","a3f69f17-5e61-4aca-b894-bf26d836bf9f","2023-09-29"
"Code","Code_10","Global","C68846","http://www.cdisc.org","226d5318-895b-4781-bdf5-a40097f72912","2023-09-29"
"Code","Code_72","IRB/IEC Feedback","C99904x3","http://www.cdisc.org","768e1540-fec4-4c3c-8bec-7d790025ecdc","2023-09-29"
"Code","Code_73","Other","C17649","http://www.cdisc.org","85b38ec9-de72-4fb3-bda8-68260972392d","2023-09-29"
"Code","Code_75","Region","C41129","http://www.cdisc.org","adef67d3-a96f-4495-8415-7b32044c3036","2023-09-29"
"Code","Code_74","Europe","150","ISO 3166 1 alpha3","866a0c9d-7b48-431f-9061-0b04b4e1ea8e","2020-08"
"Code","Code_4","Eli Lilly","PHARMA","SPONSOR","45b1e114-56ea-48d4-922b-b59afc43d258","12"
"Code","Code_76","Clinical Study Sponsor","C70793","http://www.cdisc.org","83fe7996-4d82-4660-9406-93c0cae43843","2023-09-29"
"Code","Code_77","Denmark","DNK","ISO 3166 1 alpha3","c545b063-8fb7-45cd-861d-f0494346e9f2","2020-08"
"Code","Code_78","Study Registry","C93453","http://www.cdisc.org","df952f8c-5677-44e6-b784-3641569401d9","2023-09-29"
"Code","Code_136","Treatment Study","C49656","http://www.cdisc.org","228f6786-ae82-4ac7-8593-56cbdd599400","2023-09-29"
"Code","Code_137","Efficacy Study","C49666","http://www.cdisc.org","f53b0f89-aac3-4126-af06-133509d9a7d9","2023-09-29"
"Code","Code_138","Safety Study","C49667","http://www.cdisc.org","bd03768d-8370-485a-9b61-d7233e160a97","2023-09-29"
"Code","Code_139","Pharmacokinetic Study","C49663","http://www.cdisc.org","70abb9c3-3af7-4343-ab98-77e40a42e429","2023-09-29"
"Code","Code_133","Mild to Moderate Alzheimer's Disease","MILD_MOD_ALZ","SPONSOR","d3e9be45-dde6-4a4a-a0d5-285d1bd0d6c8","12"
"Code","Code_134","Alzheimer's disease","26929004","SNOMED","62ef123a-97fb-419b-8f1b-5ce1d1bc215b","January 31, 2018"
