"instanceType","name","id","text","uuid:ID"
"TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_1","Subject identifier","92d99780-5b72-4070-8d97-6a4ad4318e64"
"TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_2","completion of screening activities","d4fc1927-37d4-43f0-a501-516e7b2eb269"
"TransitionRule","ENCOUNTER_START_RULE_2","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","05bdafe6-5748-49a0-bd37-ae7b771ab554"
"TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_4","subject has connection of ambulatory ECG machine removed","9676a939-ccfc-4518-8a49-8eaf2f27f85b"
"TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_5","Radomized","371a702e-c45e-4276-bf9d-0f7aa7aad7d0"
"TransitionRule","ENCOUNTER_START_RULE_12","TransitionRule_6","End of treatment","aeabb89f-15d5-4978-86e4-6618b2b59762"
"TransitionRule","ELEMENT_START_RULE_1","TransitionRule_7","Informed consent","f2f30319-e933-467c-bc95-c1211ce0de99"
"TransitionRule","ELEMENT_END_RULE_1","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","25d4e0c0-aec4-4b17-981b-e65bb0ac39e0"
"TransitionRule","ELEMENT_START_RULE_2","TransitionRule_9","Administration of first dose","64033520-fd04-4236-8e28-bb2a1a8a3b03"
"TransitionRule","ELEMENT_START_RULE_7","TransitionRule_14","End of last scheduled visit on study (including early termination)","ace400ac-37eb-47c1-8e90-68eda5220777"
"TransitionRule","ELEMENT_END_RULE_7","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","4593b5dc-1614-4cb8-9239-d996866edaae"
"TransitionRule","ELEMENT_START_RULE_3","TransitionRule_10","Administration of first dose","2d18908e-b19b-4a2d-982b-11d984c1f9f1"
"TransitionRule","ELEMENT_START_RULE_4","TransitionRule_11","Randomized","b25f6ea7-32bd-4aaf-a83b-a471bc15367f"
"TransitionRule","ELEMENT_START_RULE_5","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","7b042934-9aa3-430e-af24-b03ae17c6f74"
"TransitionRule","ELEMENT_START_RULE_6","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","4096a5eb-4ff5-4e86-8956-243d29e4d554"
