"instanceType","name","label","id","description","uuid:ID"
"Activity","Informed consent","","Activity_1","","fe0035fc-ede5-4c6f-a7d3-8869e384faf7"
"Activity","Inclusion/exclusion criteria","","Activity_2","","5b6630cc-00bf-4e5d-85a7-c3dde42d633f"
"Activity","Patient number assigned","","Activity_3","","de9442ec-04ef-4e05-b067-b99465ecd180"
"Activity","Demographics","Demographics","Activity_4","","55484de9-fca9-4fee-a34f-803c3d60a9b1"
"Activity","Hachinski","Hachinski","Activity_5","","1f556319-2332-4d58-b98b-90ea1320b8d9"
"Activity","MMSE","MMSE","Activity_6","","48d7502b-db79-4aef-a0b0-1b61f167d1d5"
"Activity","Physical examination","","Activity_7","","55991e12-ae2a-49a8-bcb2-04494cc13b60"
"Activity","Medical history","","Activity_8","","84fe70c8-7d3e-4a8a-88e3-9151f9a2ae7c"
"Activity","Habits","","Activity_9","","3678237f-a37d-4ad8-a48f-9bb20a52b66d"
"Activity","Chest X-ray","","Activity_10","","ef30dae5-ac9b-46bb-8fc1-887d150a21b9"
"Activity","Apo E genotyping","","Activity_11","","945e8c4f-c2ec-493e-a37f-0007bc491c67"
"Activity","Patient randomised","","Activity_12","","18354b91-1338-4309-b14b-1a25280dcd06"
"Activity","Vital signs / Temperature","Vital Signs and Temperature","Activity_13","","fe31e934-3ca8-47e5-8c47-1792a52765b2"
"Activity","Ambulatory ECG placed","","Activity_14","","ee7d8574-0f4c-426f-a15b-8500c981c4ff"
"Activity","Ambulatory ECG removed","","Activity_15","","8c36c53d-01bb-4598-ba37-f68950116652"
"Activity","ECG","","Activity_16","","0f9b2091-2477-42b5-9aa5-5401ff005794"
"Activity","Placebo TTS test","","Activity_17","","9398ef2a-4c0b-4d07-9b4a-72518035ec61"
"Activity","CT scan","","Activity_18","","b20c3149-6f33-47ca-920f-19e58514acc1"
"Activity","Concomitant medications","","Activity_19","","1c3cead9-95ed-4d30-90aa-4289dfa9aa3f"
"Activity","Hematology","","Activity_20","","9a0a7b01-6951-49a0-b43b-189d3e72e13a"
"Activity","Chemistry","","Activity_21","","c458a2d1-f3cd-4772-ae67-000e93469588"
"Activity","Uninalysis","","Activity_22","","6b210afd-9dea-4c11-8519-4191f01a22e3"
"Activity","Plasma Specimen (Xanomeline)","","Activity_23","","cadf976a-056b-4d45-8f33-fa0928834535"
"Activity","Hemoglobin A1C","","Activity_24","","4f661798-a6c1-413c-8ffa-6592cb722573"
"Activity","Study drug","Study drug record , Medications dispensed, Medications returned","Activity_25","","5dac508f-e2bc-44ac-9b3d-ed97f03329d6"
"Activity","TTS Acceptability Survey","","Activity_26","","0c84d5dc-cb0b-4b36-b55e-4ac28855bd35"
"Activity","ADAS-Cog","","Activity_27","","b0182b8f-1050-4ea5-b5b5-5ce22e0b895b"
"Activity","CIBIC+","","Activity_28","","e516aa3e-54e9-4bf9-a446-d128a7b5118a"
"Activity","DAD","","Activity_29","","63dd0aec-303e-4a09-ae31-a4367fb0f0dd"
"Activity","NPI-X","","Activity_30","","63798fec-a325-43b9-a5e4-769d8309a772"
"Activity","Adverse events","","Activity_31","","e919eb70-3c1b-4b38-a7a7-3e8810b30005"
"Activity","Check adverse events","","Activity_32","","4f5e7355-dc44-47c9-a177-778f395667e8"
"Activity","Supine","Subject supine","Activity_33","","ec892c0d-5164-4131-97dd-04f1f1678909"
"Activity","Vital Signs Supine","Vital signs while supine","Activity_34","","6f31a985-9cd1-457a-8ff5-77d25ada33f8"
"Activity","Stand","Subject Standing","Activity_35","","ba031612-199b-48ce-8497-5fb7fe67af14"
"Activity","Vital Signs Standing","Vital signs while standing","Activity_36","","5c856f1f-2271-4ef2-b30f-75092ba77be5"
