"instanceType","windowUpper","name","label","id","window","description","value","uuid:ID","windowLower"
"Timing","","TIM1","Screening","Timing_1","","Screening timing","P2W","1106bbe8-e23a-45c6-b7d8-eb8b447cc2a0",""
"Timing","PT0H","TIM2","Pre dose","Timing_2","-4..0 hours","Pre dose timing","P2D","346c1414-5491-44af-ac1e-639d9587d2cc","PT4H"
"Timing","","TIM3","Dosing","Timing_3","","Dosing anchor","P1D","778bda76-9fb4-46e2-b5d4-b36e521f71d0",""
"Timing","P3D","TIM4","Week 2","Timing_4","-3..3 days","Week 2 timing","P2W","bcaa8c71-539b-4b18-bc8b-3440cf3dd357","P3D"
"Timing","P3D","TIM5","Week 4","Timing_5","-3..3 days","Week 4 timing","P4W","f37d64ed-8b0f-4e6a-a996-537e4269e1a8","P3D"
"Timing","P3D","TIM6","Week 6","Timing_6","-3..3 days","Week 6 timing","P6W","d86f94f3-e95f-4029-bfe1-36794563c1e7","P3D"
"Timing","P3D","TIM7","Week 8","Timing_7","-3..3 days","Week 8 timing","P8W","8ded573d-c920-4a68-87cd-5f094e084bce","P3D"
"Timing","P4D","TIM9","Week 12","Timing_9","-4..4 days","Week 12 timing","P12W","25506da5-fbfc-49a7-8c43-d206ffe550d3","P4D"
"Timing","P4D","TIM11","Week 16","Timing_11","-4..4 days","Week 16 timing","P16W","e6a6fc9e-855c-4652-a123-80b825003b0b","P4D"
"Timing","P4D","TIM13","Week 20","Timing_13","-4..4 days","Week 20 timing","P20W","61032d77-0f43-409f-ab47-99f176ad7fe3","P4D"
"Timing","P4D","TIM15","Week 24","Timing_15","-4..4 days","Week 24 timing","P24W","2d61a8af-e9c7-4641-8507-65e61e7ee37f","P4D"
"Timing","P3D","TIM16","Week 26","Timing_16","-3..3 days","Week 26 timing","P26W","bcd82ddd-0f05-47f1-b858-976e1faefc19","P3D"
"Timing","","TIM8","Week 8 Home","Timing_8","","Week 8 at home timing","P2W","2b839443-1bbd-482b-9272-734ab0beb17e",""
"Timing","","TIM10","Week 12 Home","Timing_10","","Week 12 at home timing","P2W","24f8215c-929f-4a41-867c-534af4bf9c93",""
"Timing","","TIM12","Week 16 Home","Timing_12","","Week 16 at home timing","P2W","f76d9fbe-de37-45f6-a7cd-0315580b19d2",""
"Timing","","TIM14","Week 20 Home","Timing_14","","Week 20 at home timing","P2W","3579070d-3516-419d-8bbd-dc4ba8652d17",""
"Timing","","TIM17","Adverse Event","Timing_17","","Adverse Event","P1D","f0ee8db1-edfb-47b8-add3-ff06697143c8",""
"Timing","","TIM18","Early Termination","Timing_18","","Early Termination","P1D","b1434086-8156-41fd-843f-a61740abcef5",""
"Timing","","TIM19","Supine","Timing_19","","Supine","PT0M","0c2fd5a5-6a50-43c3-99fc-a338b6323b47",""
"Timing","","TIM20","VS while supine","Timing_20","","VS while supine","PT5M","8b33f3e0-aaa9-48a8-ab20-72ab49bbb0a4",""
"Timing","","TIM21","Standing","Timing_21","","Standing","PT0M","2023243f-e908-4665-b6ab-d66cd8ae75ab",""
"Timing","","TIM22","VS while standing","Timing_22","","VS while standing","PT1M","c7375787-8e56-49a6-830a-8664fda235a3",""
"Timing","","TIM23","Standing","Timing_23","","Standing","PT0M","0b87c6c5-a313-4a53-96c5-d11f68849a20",""
"Timing","","TIM24","VS while standing","Timing_24","","VS while standing","PT2M","24e484d5-0827-4e27-b92c-3030a91ca6e9",""
