"instanceType","name","label","id","description","uuid:ID"
"Encounter","E1","Screening 1","Encounter_1","Screening encounter","1d248dc4-8e7d-4f83-ae07-1957af6868dc"
"Encounter","E2","Screening 2","Encounter_2","Screening encounter - Ambulatory ECG Placement","40a2ac5c-431a-4129-b505-8be2510c6697"
"Encounter","E3","Baseline","Encounter_3","Baseline encounter - Ambulatory ECG Removal","d6411c10-db0d-4cc8-8273-dc06eaea9140"
"Encounter","E4","Week 2","Encounter_4","Day 14","5f1ad2b1-ca2b-46fb-ac98-6558ea24970c"
"Encounter","E5","Week 4","Encounter_5","Day 28","62d7d00c-e996-4237-9fc8-7743292a7e15"
"Encounter","E7","Week 6","Encounter_6","Day 42","97e517d7-37a3-42fc-a2b8-03c7d93dcaac"
"Encounter","E8","Week 8","Encounter_7","Day 56","e5932632-94c0-48f4-b11b-3ef0ec8cd4d5"
"Encounter","E9","Week 12","Encounter_8","Day 84","322c1eb4-50f5-4659-9995-49887d7cdc0e"
"Encounter","E10","Week 16","Encounter_9","Day 112","4dbd2e88-58f0-4574-a5b0-e2207169f012"
"Encounter","E11","Week 20","Encounter_10","Day 140","bc83beb4-45bf-4a97-b2fc-247f2dc4c54c"
"Encounter","E12","Week 24","Encounter_11","Day 168","bef569d1-ad4a-43ee-b32b-f350ef61e194"
"Encounter","E13","Week 26","Encounter_12","Day 182","445c05c0-a5ae-467a-847d-6b19a195d09c"
