"text","uuid:ID","instanceType","name","id"
"Subject identifier","dc4ef7dd-74a4-45a1-be0c-1b3397b4b4f0","TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_1"
"completion of screening activities","b4ad1add-0abe-4807-9623-6ae4057e4bd4","TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_2"
"subject leaves clinic after connection of ambulatory ECG machine","a7bce05a-6d81-4fe3-9b81-63401e36063a","TransitionRule","ENCOUNTER_START_RULE_2","TransitionRule_3"
"subject has connection of ambulatory ECG machine removed","cc9ba343-4c25-494b-bec7-8162afbfff27","TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_4"
"Radomized","395c13e9-9465-43ec-b2e4-eb27230a27fa","TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_5"
"End of treatment","27814183-1451-4d7f-9acd-160f153f65a1","TransitionRule","ENCOUNTER_START_RULE_12","TransitionRule_6"
"Informed consent","71612e45-f006-4b31-8c3f-91a43b94b4be","TransitionRule","ELEMENT_START_RULE_1","TransitionRule_7"
"Completion of all screening activities and no more than 2 weeks from informed consent","04948fd7-d78e-4105-87f8-f62aa62d1383","TransitionRule","ELEMENT_END_RULE_1","TransitionRule_8"
"Administration of first dose","bb927dcf-b962-4cfb-9291-ded252fd9801","TransitionRule","ELEMENT_START_RULE_2","TransitionRule_9"
"End of last scheduled visit on study (including early termination)","7a7012f2-6de9-41b7-a371-3782233e2643","TransitionRule","ELEMENT_START_RULE_7","TransitionRule_14"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","f818e93f-5c33-447e-8474-cb67967129a7","TransitionRule","ELEMENT_END_RULE_7","TransitionRule_15"
"Administration of first dose","2580e757-9806-4bb1-b3d8-d10c6a2b573b","TransitionRule","ELEMENT_START_RULE_3","TransitionRule_10"
"Randomized","2bb3a09c-309a-4247-b109-d51515a79b9e","TransitionRule","ELEMENT_START_RULE_4","TransitionRule_11"
"Administration of first dose (from patches supplied at Visit 4)","f00976a8-f24c-4074-a650-8da456d5c8d1","TransitionRule","ELEMENT_START_RULE_5","TransitionRule_12"
"Administration of first dose (from patches supplied at Visit 12)","54111339-3a99-447f-b95c-5b19eb621b41","TransitionRule","ELEMENT_START_RULE_6","TransitionRule_13"
