"description","label","uuid:ID","instanceType","name","id"
"-","Screen One","25dfbb99-beb8-472b-8b37-42ff16ae3d15","ScheduledActivityInstance","SCREEN1","ScheduledActivityInstance_9"
"-","Screen Two","8cfcbf3c-d99c-4c92-8f49-a68c567f66b2","ScheduledActivityInstance","SCREEN2","ScheduledActivityInstance_10"
"-","Dose","4d360195-2c89-4fc1-8ff9-7947e1ff7a20","ScheduledActivityInstance","DOSE","ScheduledActivityInstance_11"
"-","Week 2","9f3b091e-fb1e-44c9-926e-7a4a328c1cbb","ScheduledActivityInstance","WK2","ScheduledActivityInstance_12"
"-","Week 4","79aaa4f4-c97a-4728-a00a-204e97af018b","ScheduledActivityInstance","WK4","ScheduledActivityInstance_13"
"-","Week 6","d9d2fda0-6fc7-4b08-ae3a-3a1b89ed09a6","ScheduledActivityInstance","WK6","ScheduledActivityInstance_14"
"-","Week 8","cd26df17-01eb-481d-b98d-f4642a990ca5","ScheduledActivityInstance","WK8","ScheduledActivityInstance_15"
"-","Week NPI","799c253d-5b5a-400a-be2a-4ff7713a6102","ScheduledActivityInstance","WK8N","ScheduledActivityInstance_16"
"-","Week 12","63659253-8e2c-4996-b2e6-fe3f6d252bd0","ScheduledActivityInstance","WK12","ScheduledActivityInstance_17"
"-","Week 12 NPI","c9a68d37-6e62-4009-b2b9-a0735527a5b3","ScheduledActivityInstance","WK12N","ScheduledActivityInstance_18"
"-","Week 16","96d4a03d-5f93-4979-8295-f414e51ab2f0","ScheduledActivityInstance","WK16","ScheduledActivityInstance_19"
"-","Week 16 NPI","e43d5ea7-6f52-4cea-8073-f9d227b11204","ScheduledActivityInstance","WK16N","ScheduledActivityInstance_20"
"-","Week 20","fca9d573-4e80-4780-b03a-06943578f8cb","ScheduledActivityInstance","WK20","ScheduledActivityInstance_21"
"-","Week 20 NPI","1d6183fe-9975-4231-b7e1-2da0f90abdd8","ScheduledActivityInstance","WK20N","ScheduledActivityInstance_22"
"-","Week 24","15994ff3-572e-42aa-af27-5e6ca7347024","ScheduledActivityInstance","WK24","ScheduledActivityInstance_23"
"-","Week 26","c097ba5d-0be0-47ff-bfc5-5f9fadd22c76","ScheduledActivityInstance","WK26","ScheduledActivityInstance_24"
"-","Adevers Event","8ce04cf5-04bb-4bbc-8182-ea4e320ce4f0","ScheduledActivityInstance","AE","ScheduledActivityInstance_1"
"-","Early Termination","cb5c92e6-702e-4275-8146-e89db738ea02","ScheduledActivityInstance","ET","ScheduledActivityInstance_2"
"","5 minute supine","4aaa230e-2845-4eb3-8ff1-3b0cebc7272f","ScheduledActivityInstance","VS_5MIN","ScheduledActivityInstance_3"
"","Vital signs supine","d3268a94-b7ad-4edc-9ea7-c9a8c7427bd3","ScheduledActivityInstance","VS_SUPINE","ScheduledActivityInstance_4"
"","1 minute standing","6191df73-51cd-4c58-be6b-9c7f63057e7c","ScheduledActivityInstance","VS_1MIN","ScheduledActivityInstance_5"
"","Vital signs after 1 min standing","d6929798-5e67-4d8b-b7a3-c8bd458e365a","ScheduledActivityInstance","VS_STAND1","ScheduledActivityInstance_6"
"","2 minute standing","69151392-4fb7-4935-ba0d-8adf537a1e31","ScheduledActivityInstance","VS_2MIN","ScheduledActivityInstance_7"
"","Vital signs after 3 min standing","6a244435-ff2c-4878-afa7-dc3fb8832740","ScheduledActivityInstance","VS_STAND3","ScheduledActivityInstance_8"
