"description","label","uuid:ID","instanceType","name","id"
"","Informed consent","bd54c762-1523-44c9-ae90-4c2da46ffd16","Activity","Informed consent","Activity_1"
"","Inclusion and exclusion criteria","0a47f363-4655-4af9-b761-6f0fbe5d999a","Activity","Inclusion/exclusion criteria","Activity_2"
"","Patient number assigned","9fa451de-5bc9-45ac-8ce4-52ec55b28738","Activity","Patient number assigned","Activity_3"
"","Demographics","aee57a00-7159-424d-a59b-de1a3fc1f33b","Activity","Demographics","Activity_4"
"","Hachinski Ischemic Scale","4e540f76-6486-4dbd-a3fc-0256c1b883ca","Activity","Hachinski","Activity_5"
"","MMSE","9c1616b1-5bfa-4075-99ee-360cba04429c","Activity","MMSE","Activity_6"
"","Physical examination","152f50bc-7bd8-429c-bf0a-1b5b9b2a07b3","Activity","Physical examination","Activity_7"
"","Medical history","fa286837-5fd7-4567-82ef-90695a8cfabf","Activity","Medical history","Activity_8"
"","Habits","f9791169-b495-4da2-958c-698dd6bd9d5e","Activity","Habits","Activity_9"
"","Chest X-ray","9e7e1f67-b527-44a1-a650-02e2ab7f111c","Activity","Chest X-ray","Activity_10"
"","Apo E genotyping","355c1b65-14f9-4ef2-9e98-39145f77ef64","Activity","Apo E genotyping","Activity_11"
"","Patient randomised","c6d5db0a-49e5-41b6-9876-6b1c3b5bd6ee","Activity","Patient randomised","Activity_12"
"","Vital Signs and Temperature","ab2e1007-41c9-404d-a015-20d7e259b20e","Activity","Vital signs / Temperature","Activity_13"
"","Ambulatory ECG placed","02948f74-c35e-41af-9ce8-f382448fe4fb","Activity","Ambulatory ECG placed","Activity_14"
"","Ambulatory ECG removed","17117a3b-8b24-4d40-81a0-42573fcfc9fe","Activity","Ambulatory ECG removed","Activity_15"
"","ECG","4157157a-4894-4438-a583-4fe7835240b4","Activity","ECG","Activity_16"
"","Placebo TTS test","179aaf75-e965-450f-a86a-838b4f4a5048","Activity","Placebo TTS test","Activity_17"
"","CT scan","112f4763-1c0f-43d5-ac77-075c048a4959","Activity","CT scan","Activity_18"
"","Concomitant medications","28b5497c-1169-4230-9b8c-fc5f64c184e4","Activity","Concomitant medications","Activity_19"
"","Hematology","cd7045bc-c3b0-4066-a5db-4593c3a664ff","Activity","Hematology","Activity_20"
"","Chemistry","84e9128c-1427-4cf6-87a7-d6d055fe7ed9","Activity","Chemistry","Activity_21"
"","Uninalysis","90337e6c-1ef3-4ab5-87f5-7ba44f227fc8","Activity","Uninalysis","Activity_22"
"","Plasma Specimen (Xanomeline)","ce4b5ce9-b691-4c92-aef8-9c300fa4ccae","Activity","Plasma Specimen (Xanomeline)","Activity_23"
"","Hemoglobin A1C","7e9d5e87-1d8c-4525-a1b0-624b441f89ac","Activity","Hemoglobin A1C","Activity_24"
"","Study drug record , Medications dispensed, Medications returned","87399100-7f99-417f-8422-1880726688d4","Activity","Study drug","Activity_25"
"","TTS Acceptability Survey","7ea63520-9d5e-40a7-8fa5-5341698cd643","Activity","TTS Acceptability Survey","Activity_26"
"","ADAS-Cog","cf653326-2ddb-4b92-ba3e-39f4c4dc241c","Activity","ADAS-Cog","Activity_27"
"","CIBIC+","3d85b531-57a4-42be-bb53-afde40b1e40b","Activity","CIBIC+","Activity_28"
"","DAD","a504248c-82d1-455d-a9b0-0a84229a2ec3","Activity","DAD","Activity_29"
"","NPI-X","805468b5-a353-4263-b2e5-3528eb5ce5b8","Activity","NPI-X","Activity_30"
"","Adverse events","8f158ed9-c4ee-4c62-955c-aab5e8c475be","Activity","Adverse events","Activity_31"
"","Check adverse events","36c92874-757d-4926-9e65-14fcd3a0211a","Activity","Check adverse events","Activity_32"
"","Subject supine","4f89b5c0-0a62-46a3-801f-230adf0d1fd5","Activity","Supine","Activity_33"
"","Vital signs while supine","71cdff48-c510-4a0f-85d4-a0bb9dce3203","Activity","Vital Signs Supine","Activity_34"
"","Subject Standing","27002989-0ebb-4348-92cf-078dc940e3fc","Activity","Stand","Activity_35"
"","Vital signs while standing","0e3b68f7-e4cc-4fbc-a55c-42484650acae","Activity","Vital Signs Standing","Activity_36"
