"description","label","text","purpose","uuid:ID","instanceType","name","id"
"","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","505e5ac8-0f2b-4b47-94b0-a831f0550ef9","Endpoint","END1","Endpoint_1"
"","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","4f556593-b575-4605-9618-f160b54b05c5","Endpoint","END2","Endpoint_2"
"","","Adverse events","","45a3b090-8b41-4392-8b0c-d4fbe933a57a","Endpoint","END3","Endpoint_3"
"","","Vital signs (weight, standing and supine blood pressure, heart rate)","","ca91ab96-f708-4cc3-82aa-59292d0132ff","Endpoint","END4","Endpoint_4"
"The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","Laboratory evaluations (Change from Baseline)","","8997c60c-6825-42ba-8338-c9fe708a15c3","Endpoint","END5","Endpoint_5"
"","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","fe0e5c5e-5934-49db-9773-601941ed7c36","Endpoint","END6","Endpoint_6"
"","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","9744d784-4809-4431-861c-32f3671be0d7","Endpoint","END7","Endpoint_7"
"","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","1415eebf-acb5-4a36-8b09-a30e922328bb","Endpoint","END8","Endpoint_8"
"","","*** To be determined from protocol ***","","7e2f5d0c-2659-4610-ae05-c41b8491636e","Endpoint","END9","Endpoint_9"
"","","*** To be determined from protocol ***","","b41c9bb0-b09c-40d9-b95a-68cb96e7556a","Endpoint","END10","Endpoint_10"
"","","*** To be determined from protocol ***","","bf93b48c-5ed6-4964-b8b2-583400feac92","Endpoint","END11","Endpoint_11"
