"description","label","uuid:ID","instanceType","name","id"
"Screening encounter","Screening 1","bfd12a49-aacb-4d58-9325-729474c332ae","Encounter","E1","Encounter_1"
"Screening encounter - Ambulatory ECG Placement","Screening 2","7d2a41b2-48fc-4d6d-a629-4bb8b18380d5","Encounter","E2","Encounter_2"
"Baseline encounter - Ambulatory ECG Removal","Baseline","0ab1b734-2da4-4676-86e2-4f319d9cfed6","Encounter","E3","Encounter_3"
"Day 14","Week 2","396e0212-7638-4861-8d51-4516b4c89bae","Encounter","E4","Encounter_4"
"Day 28","Week 4","04539dd9-9003-41c8-aadc-8aa66282dd61","Encounter","E5","Encounter_5"
"Day 42","Week 6","4810bc33-7bd2-475e-97d2-6a97a4916fc0","Encounter","E7","Encounter_6"
"Day 56","Week 8","02eca1d7-2107-4e9d-bd0d-9efd94a7ed1c","Encounter","E8","Encounter_7"
"Day 84","Week 12","9fd16a8d-81a0-4ce5-bd47-cfda7dca7f8c","Encounter","E9","Encounter_8"
"Day 112","Week 16","fb76a009-1e1b-4b72-8666-c5ece0ee9fb5","Encounter","E10","Encounter_9"
"Day 140","Week 20","daa69d51-5ce1-4aa4-a49b-f7bfae4729cf","Encounter","E11","Encounter_10"
"Day 168","Week 24","fabd6c03-94ff-4163-a6d6-27cc35bbf2f0","Encounter","E12","Encounter_11"
"Day 182","Week 26","824e0314-3162-4714-8af7-76369698fcb1","Encounter","E13","Encounter_12"
