"description","valueLabel","label","uuid:ID","windowLabel","value","windowUpper","instanceType","windowLower","name","id"
"Screening timing","2 weeks","Screening","d549acbe-ec3a-4075-b9fd-7e57feb6b10e","","P2W","","Timing","","TIM1","Timing_1"
"Pre dose timing","2 days","Pre dose","5cdf53f9-57d2-4ab1-a26c-bfc147913e16","-4..0 hours","P2D","PT0H","Timing","PT4H","TIM2","Timing_2"
"Dosing anchor","1 Day","Dosing","69ce79cc-b247-4b5f-abdd-fcb02d99ac60","","P1D","","Timing","","TIM3","Timing_3"
"Week 2 timing","2 Weeks","Week 2","0914a530-a05a-498c-b680-c6112aa0d3f8","-3..3 days","P2W","P3D","Timing","P3D","TIM4","Timing_4"
"Week 4 timing","4 Weeks","Week 4","b377f857-5df4-48cc-94a4-9077e5dc9142","-3..3 days","P4W","P3D","Timing","P3D","TIM5","Timing_5"
"Week 6 timing","6 Weeks","Week 6","a309ef4b-c518-4485-914a-05988baecb2b","-3..3 days","P6W","P3D","Timing","P3D","TIM6","Timing_6"
"Week 8 timing","8 Weeks","Week 8","7c1896ca-6594-44ee-82e1-2606f9329dd1","-3..3 days","P8W","P3D","Timing","P3D","TIM7","Timing_7"
"Week 12 timing","12 Weeks","Week 12","7a88f97f-49ab-4fcc-b322-c215e290916e","-4..4 days","P12W","P4D","Timing","P4D","TIM9","Timing_9"
"Week 16 timing","16 Weeks","Week 16","fe39e34c-5377-4ada-83e1-ae7bc11fa01f","-4..4 days","P16W","P4D","Timing","P4D","TIM11","Timing_11"
"Week 20 timing","20 Weeks","Week 20","b43f0d39-77c3-4d2b-88f6-536a514e154e","-4..4 days","P20W","P4D","Timing","P4D","TIM13","Timing_13"
"Week 24 timing","24 Weeks","Week 24","fe8d2558-a13d-4ac6-aef1-71b6e8d9c58e","-4..4 days","P24W","P4D","Timing","P4D","TIM15","Timing_15"
"Week 26 timing","26 Weeks","Week 26","8b3535b6-3798-4f05-b38e-905c13b1fb13","-3..3 days","P26W","P3D","Timing","P3D","TIM16","Timing_16"
"Week 8 at home timing","2 Weeks","Week 8 Home","81aae4a5-3f83-4ba7-af68-88dec9a768dc","","P2W","","Timing","","TIM8","Timing_8"
"Week 12 at home timing","2 Weeks","Week 12 Home","2911c3ac-c45d-4ca3-a4d7-42da428039d7","","P2W","","Timing","","TIM10","Timing_10"
"Week 16 at home timing","2 Weeks","Week 16 Home","59ceabbd-9cd6-4bf6-894e-e7b75e0a2884","","P2W","","Timing","","TIM12","Timing_12"
"Week 20 at home timing","2 Weeks","Week 20 Home","e764f5ee-bf58-478c-854a-cf384819eab4","","P2W","","Timing","","TIM14","Timing_14"
"Adverse Event","1 Day","Adverse Event","ba8dfc65-6da3-4ed1-9b24-158a576b55da","","P1D","","Timing","","TIM17","Timing_17"
"Early Termination","1 Day","Early Termination","e41dcc71-e4aa-4b64-977c-13576c0bfc34","","P1D","","Timing","","TIM18","Timing_18"
"Supine","0 mins","Supine","b9fdcd27-c0f1-4e42-8d5b-8bc3424d74ad","","PT0M","","Timing","","TIM19","Timing_19"
"VS while supine","5 mins","VS while supine","46504b69-3de7-452b-bf34-64819a0c06a8","","PT5M","","Timing","","TIM20","Timing_20"
"Standing","0 min","Standing","6685b49d-7353-49d8-8789-e024646c708e","","PT0M","","Timing","","TIM21","Timing_21"
"VS while standing","1 min","VS while standing","70eec14b-c5af-4dae-9b92-ed039ff233dd","","PT1M","","Timing","","TIM22","Timing_22"
"Standing","0 min","Standing","92b15bde-2e67-4098-aa7e-2bc22f20648e","","PT0M","","Timing","","TIM23","Timing_23"
"VS while standing","2 min","VS while standing","b1bb8777-54af-44fd-8346-69ffcb86ff1a","","PT2M","","Timing","","TIM24","Timing_24"
