"label","windowUpper","uuid:ID","value","window","windowLower","instanceType","id","name","description"
"Screening","","af498672-f222-4d32-b7d4-17fa5bbbc0dc","P2W","","","Timing","Timing_1","TIM1","Screening timing"
"Pre dose","PT0H","21d006f1-6110-4cf9-ba25-d9c24d44aa7c","P2D","-4..0 hours","PT4H","Timing","Timing_2","TIM2","Pre dose timing"
"Dosing","","b4b79f58-73f8-42fc-8ea4-833206f63552","P1D","","","Timing","Timing_3","TIM3","Dosing anchor"
"Week 2","P3D","11a12849-9261-4ca8-a7be-1d0a72c89ece","P2W","-3..3 days","P3D","Timing","Timing_4","TIM4","Week 2 timing"
"Week 4","P3D","568110fd-1a16-4ad7-bffe-02a2c0ea86fd","P4W","-3..3 days","P3D","Timing","Timing_5","TIM5","Week 4 timing"
"Week 6","P3D","0ddac5c1-190a-481f-b261-e56d3a1238cf","P6W","-3..3 days","P3D","Timing","Timing_6","TIM6","Week 6 timing"
"Week 8","P3D","fb4a5c2f-0fda-4987-a3c3-8785969028a8","P8W","-3..3 days","P3D","Timing","Timing_7","TIM7","Week 8 timing"
"Week 12","P4D","b3a4aef7-783b-4107-a586-8d42a294207f","P12W","-4..4 days","P4D","Timing","Timing_9","TIM9","Week 12 timing"
"Week 16","P4D","f4be9a40-371e-4dc4-a634-d9c6a5c5b38a","P16W","-4..4 days","P4D","Timing","Timing_11","TIM11","Week 16 timing"
"Week 20","P4D","faf94a1a-1500-4118-986b-1d9e4195f0bd","P20W","-4..4 days","P4D","Timing","Timing_13","TIM13","Week 20 timing"
"Week 24","P4D","9d8a0b85-de7b-4110-a01c-f46f5b1900de","P24W","-4..4 days","P4D","Timing","Timing_15","TIM15","Week 24 timing"
"Week 26","P3D","b927f943-4d6c-4bea-96ae-9762236f027a","P26W","-3..3 days","P3D","Timing","Timing_16","TIM16","Week 26 timing"
"Week 8 Home","","b5ca92d0-52bf-4a31-8f1b-e3ee1badfabc","P2W","","","Timing","Timing_8","TIM8","Week 8 at home timing"
"Week 12 Home","","ac7fb1e9-ec64-4e44-8dd1-1a30790eb3c3","P2W","","","Timing","Timing_10","TIM10","Week 12 at home timing"
"Week 16 Home","","f03ccf3c-3e82-4c3f-8258-69bc26a2a3c0","P2W","","","Timing","Timing_12","TIM12","Week 16 at home timing"
"Week 20 Home","","aeea7dc7-0fa3-418e-961f-a1d055dd0f7f","P2W","","","Timing","Timing_14","TIM14","Week 20 at home timing"
"Adverse Event","","7105058c-94ab-4aeb-9a92-b302c93fdbd2","P1D","","","Timing","Timing_17","TIM17","Adverse Event"
"Early Termination","","a97c9afc-e61a-4de6-9b61-fc4ce434ddb2","P1D","","","Timing","Timing_18","TIM18","Early Termination"
"Supine","","7b0f4c48-c7e4-4827-9b34-573fecbf5b34","PT0M","","","Timing","Timing_19","TIM19","Supine"
"VS while supine","","5bf2b8ee-22e6-4da5-adad-ca2dcb6b5e55","PT5M","","","Timing","Timing_20","TIM20","VS while supine"
"Standing","","c6768da5-9ae6-4b95-8f3c-708e01ef5763","PT0M","","","Timing","Timing_21","TIM21","Standing"
"VS while standing","","88bccb5f-5e7d-460e-9bde-d8a22daa3cbe","PT1M","","","Timing","Timing_22","TIM22","VS while standing"
"Standing","","202c5cfd-90eb-4504-907e-d6494c1c6357","PT0M","","","Timing","Timing_23","TIM23","Standing"
"VS while standing","","fd85d880-a849-40dc-aee5-01c2e009a5f3","PT2M","","","Timing","Timing_24","TIM24","VS while standing"
