"label","uuid:ID","instanceType","id","name","description"
"","3a8aa67c-c624-437f-b692-5b227bdf9b3b","Activity","Activity_1","Informed consent",""
"","d4bb62b6-a09e-49d5-b2b4-db833cdca1ce","Activity","Activity_2","Inclusion/exclusion criteria",""
"","4930fb99-c0c2-4b6b-9d4c-10a80b69606d","Activity","Activity_3","Patient number assigned",""
"Demographics","15774633-d748-46a1-8338-0997f1ad47ee","Activity","Activity_4","Demographics",""
"Hachinski","085d0ae3-b541-4f72-941e-9d8ee706a2c1","Activity","Activity_5","Hachinski",""
"MMSE","a6dd3561-2118-4813-8e09-2dded862cb3d","Activity","Activity_6","MMSE",""
"","b46d6d71-0be9-4122-b39d-e9b8318b232f","Activity","Activity_7","Physical examination",""
"","187c90c6-1f32-4a36-8367-c0a7feef9116","Activity","Activity_8","Medical history",""
"","ac8c7326-a71c-4cdc-8968-3c8ba87e6d5d","Activity","Activity_9","Habits",""
"","7e2ce0e4-965f-4250-bac7-caa608d4f572","Activity","Activity_10","Chest X-ray",""
"","8848ad4a-cf32-4ba0-b0cc-438d1b45d31f","Activity","Activity_11","Apo E genotyping",""
"","7d436719-309a-4a1c-a319-7bac8da9990c","Activity","Activity_12","Patient randomised",""
"Vital Signs and Temperature","716d090b-1f5f-4bd9-9f2d-b59ef05ac0c4","Activity","Activity_13","Vital signs / Temperature",""
"","ba5f2821-b05c-48e3-a31f-e483339359bb","Activity","Activity_14","Ambulatory ECG placed",""
"","e821e26d-d0fd-4166-bfe7-50d74554451b","Activity","Activity_15","Ambulatory ECG removed",""
"","757ef9f8-c30a-4737-90ae-11637ce38cd1","Activity","Activity_16","ECG",""
"","21683007-4d44-4748-bf65-67e69f0675fb","Activity","Activity_17","Placebo TTS test",""
"","3101a4be-a039-48f5-a13f-fb32c0114b21","Activity","Activity_18","CT scan",""
"","a3939022-e325-4f07-a2db-4a09bc7d7574","Activity","Activity_19","Concomitant medications",""
"","0de215b6-c994-47bd-9a99-f75e07308d65","Activity","Activity_20","Hematology",""
"","32d09ba4-f9a8-46b8-a41d-26016b9c9a15","Activity","Activity_21","Chemistry",""
"","d22c623d-01c3-467d-a57c-20078e259684","Activity","Activity_22","Uninalysis",""
"","097cdc01-f357-4292-abbc-ee5a9ef33a6d","Activity","Activity_23","Plasma Specimen (Xanomeline)",""
"","ad0c96c6-1dc1-4e1e-a8bb-d5224777eb5e","Activity","Activity_24","Hemoglobin A1C",""
"Study drug record , Medications dispensed, Medications returned","f9b92d13-143a-4297-afdc-3084b421924d","Activity","Activity_25","Study drug",""
"","cc34e94e-8e46-47d1-b551-3ac0bd480acd","Activity","Activity_26","TTS Acceptability Survey",""
"","c555b356-03d7-41fb-8538-88c0d0495eaf","Activity","Activity_27","ADAS-Cog",""
"","5e2c8334-8019-4ede-ae46-a2d4a70f430f","Activity","Activity_28","CIBIC+",""
"","db42c5da-4f0d-4568-abc4-e7171bbcba72","Activity","Activity_29","DAD",""
"","6c09cab1-5780-43ef-9c5b-c35f5e663f2d","Activity","Activity_30","NPI-X",""
"","c53b8a70-b525-436a-8bc5-bac70524f5df","Activity","Activity_31","Adverse events",""
"","a4f665cd-f0c7-4500-b499-35e4b4cdeafc","Activity","Activity_32","Check adverse events",""
"Subject supine","36dccbe6-259c-48b6-924c-0bfe81f767e4","Activity","Activity_33","Supine",""
"Vital signs while supine","65f7a4b0-d950-4ce8-aebb-3f6ecb88ecbc","Activity","Activity_34","Vital Signs Supine",""
"Subject Standing","3181b137-4bdf-4ff0-8996-15d3c99183f9","Activity","Activity_35","Stand",""
"Vital signs while standing","c1c434fc-9041-472c-8427-ed90777f2fc1","Activity","Activity_36","Vital Signs Standing",""
