"sectionTitle","sectionNumber","uuid:ID","instanceType","id","name","text"
"Root","0","dfbe69ac-e1eb-4ac5-ade0-138607db40a6","NarrativeContent","NarrativeContent_1","ROOT",""
"TITLE PAGE","0","b24d7bec-57b8-4daf-aa23-f2e370373b32","NarrativeContent","NarrativeContent_2","SECTION 0","<div><usdm:section name=""M11-title-page""></div>"
"PROTOCOL SUMMARY","1","b6629bbf-3d7f-4bf8-ab34-c897a0873e8a","NarrativeContent","NarrativeContent_3","SECTION 1","<div></div>"
"Protocol Synopsis","1.1","b0ff0d90-4fa2-4019-8e54-451c9c40836d","NarrativeContent","NarrativeContent_4","SECTION 1.1","<div></div>"
"Trial Schema","1.2","6ea299ad-b5c1-4292-9d67-66d98c324325","NarrativeContent","NarrativeContent_5","SECTION 1.2","<div></div>"
"Schedule of Activities","1.3","c8fa0ebd-3874-49b3-b35a-72ca9b2f0d8a","NarrativeContent","NarrativeContent_6","SECTION 1.3","<div></div>"
"INTRODUCTION","2","820cd6da-4964-41b4-b89e-b4f385785b6e","NarrativeContent","NarrativeContent_7","SECTION 2","<div></div>"
"Purpose of Trial","2.1","47a5dae3-9b13-43b9-af24-4f066e27369e","NarrativeContent","NarrativeContent_8","SECTION 2.1","<div></div>"
"Summary of Benefits and Risks","2.2","4c7e153e-24b7-4cf3-b2d8-588ef44f2945","NarrativeContent","NarrativeContent_9","SECTION 2.2","<div></div>"
"TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","3","4a1d7270-bb45-48c4-a11e-e3ef1b499b65","NarrativeContent","NarrativeContent_10","SECTION 3","<div></div>"
"Primary Objectives","3.1","5a18281f-504b-408a-9c6b-100061a4b210","NarrativeContent","NarrativeContent_11","SECTION 3.1","<div><usdm:section name=""M11-objective-endpoints""></div>"
"TRIAL DESIGN","4","15b533e6-9f1a-47de-adfd-3253f0da4837","NarrativeContent","NarrativeContent_12","SECTION 4","<div></div>"
