"label","uuid:ID","instanceType","id","name","description"
"Screening 1","23ab01ae-fa76-4837-a6b0-6ee08dcdd7c0","Encounter","Encounter_1","E1","Screening encounter"
"Screening 2","f2db1da7-468a-4c1d-9945-3f55bd5d3ce4","Encounter","Encounter_2","E2","Screening encounter - Ambulatory ECG Placement"
"Baseline","6cb6ddb9-2691-4bf4-b691-f61998f2d973","Encounter","Encounter_3","E3","Baseline encounter - Ambulatory ECG Removal"
"Week 2","c8488fa0-c4a3-4c17-b1c5-07547c057530","Encounter","Encounter_4","E4","Day 14"
"Week 4","29481571-5ec7-418f-8e34-b8c2a807dc5e","Encounter","Encounter_5","E5","Day 28"
"Week 6","2ba82e1f-dbdc-43ce-9d0e-8c35b788f815","Encounter","Encounter_6","E7","Day 42"
"Week 8","c309e7d8-a7f3-423f-9c97-6d88ee900b5f","Encounter","Encounter_7","E8","Day 56"
"Week 12","c5e914d9-852a-4583-b6dd-126877503fec","Encounter","Encounter_8","E9","Day 84"
"Week 16","a1e41b91-611b-435a-a4d4-479db8dff86b","Encounter","Encounter_9","E10","Day 112"
"Week 20","5fb01140-f92f-4591-8e3e-2d3ef58c6a3c","Encounter","Encounter_10","E11","Day 140"
"Week 24","817fe540-ca84-45d3-b1f0-2250ef8d6ee3","Encounter","Encounter_11","E12","Day 168"
"Week 26","2d2bd042-3c8b-4e60-b0d6-71a43d86b149","Encounter","Encounter_12","E13","Day 182"
