"label","uuid:ID","instanceType","isRequired","id","name","datatype","isEnabled"
"Vital Signs Result","06d89666-7738-48c8-9b62-49fa5ca9ce59","BiomedicalConceptProperty","True","BiomedicalConceptProperty_98","Vital Signs Result","decimal","True"
"Unit of Temperature","909eff04-3e2f-4a03-8b82-0844e5fa8efa","BiomedicalConceptProperty","True","BiomedicalConceptProperty_99","Unit of Temperature","string","True"
"Vital Signs Location","566ee9ce-fdce-45d7-a863-7711465bb50b","BiomedicalConceptProperty","True","BiomedicalConceptProperty_100","Vital Signs Location","string","True"
"Vital Signs Result","f1ecac8e-cad6-4db2-95c5-e21dda67053a","BiomedicalConceptProperty","True","BiomedicalConceptProperty_101","Vital Signs Result","decimal","True"
"Unit of Weight","9f475804-ef4a-47bf-809d-27f3bf82fedf","BiomedicalConceptProperty","True","BiomedicalConceptProperty_102","Unit of Weight","string","True"
"Vital Signs Result","c9758783-2331-4127-9f58-66b8c28ab402","BiomedicalConceptProperty","True","BiomedicalConceptProperty_103","Vital Signs Result","decimal","True"
"Unit of Height","a0feb886-c019-4297-a318-87d43e0464a5","BiomedicalConceptProperty","True","BiomedicalConceptProperty_104","Unit of Height","string","True"
"Laboratory Test Result","28033d61-5d84-4dd9-b6b1-75ae856f82a2","BiomedicalConceptProperty","True","BiomedicalConceptProperty_105","Laboratory Test Result","decimal","True"
"Laboratory Test Fasting Status","2dc23596-78f6-4f38-bf75-7a8607d4fa29","BiomedicalConceptProperty","True","BiomedicalConceptProperty_106","Laboratory Test Fasting Status","boolean","True"
"Unit of Catalytic Activity Concentration","0a6dcc2d-7c98-4757-a55d-f3dd264898fa","BiomedicalConceptProperty","True","BiomedicalConceptProperty_107","Unit of Catalytic Activity Concentration","string","True"
"Biospecimen Type","4bd31b6f-0908-4d1e-96e5-20d3674f6012","BiomedicalConceptProperty","True","BiomedicalConceptProperty_108","Biospecimen Type","string","True"
"Laboratory Test Result","b65eda4f-74b1-41ef-8e01-1970018c7367","BiomedicalConceptProperty","True","BiomedicalConceptProperty_109","Laboratory Test Result","string","True"
"Laboratory Test Fasting Status","0f8ba561-483f-4744-8bed-fbde452c1bf1","BiomedicalConceptProperty","True","BiomedicalConceptProperty_110","Laboratory Test Fasting Status","boolean","True"
"Unit of Concentration","d1fd9677-8c7d-4abc-a5c5-f45ad28fc07d","BiomedicalConceptProperty","True","BiomedicalConceptProperty_111","Unit of Concentration","string","True"
"Biospecimen Type","cc73bcaa-0481-4660-8cfe-077ec5d6130c","BiomedicalConceptProperty","True","BiomedicalConceptProperty_112","Biospecimen Type","string","True"
"Laboratory Test Result","fcaa78ca-ca5c-4f6d-afb8-5b9d6e46917b","BiomedicalConceptProperty","True","BiomedicalConceptProperty_113","Laboratory Test Result","decimal","True"
"Laboratory Test Fasting Status","a0d7d27a-fd70-453b-ada0-835a4ca73d72","BiomedicalConceptProperty","True","BiomedicalConceptProperty_114","Laboratory Test Fasting Status","boolean","True"
"Unit of Catalytic Activity Concentration","2e3239c5-ae7c-4f9c-8185-7beffafc0165","BiomedicalConceptProperty","True","BiomedicalConceptProperty_115","Unit of Catalytic Activity Concentration","string","True"
