"code","decode","codeSystemVersion","uuid:ID","codeSystem","instanceType","id"
"C98388","Interventional Study","2023-09-29","060d633b-55ad-4313-a818-b55c44c36e92","http://www.cdisc.org","Code","Code_1"
"C15601","Phase II Trial","2023-09-29","e2dc0e0e-e6f7-4421-925a-43b2b6090dd8","http://www.cdisc.org","Code","Code_2"
"C132352","Sponsor Approval Date","2023-09-29","dc0a4311-368c-4d5d-a2f3-7fe44041e7d9","http://www.cdisc.org","Code","Code_9"
"C68846","Global","2023-09-29","7dc89f0d-ceed-4be8-98c9-ebce320b7087","http://www.cdisc.org","Code","Code_10"
"C99904x3","IRB/IEC Feedback","2023-09-29","50d7a56a-885c-407a-b033-201816f96bed","http://www.cdisc.org","Code","Code_72"
"C17649","Other","2023-09-29","fa7f314e-53b8-45a8-86c2-af7ca9faf445","http://www.cdisc.org","Code","Code_73"
"C41129","Region","2023-09-29","c23c668b-c3aa-49ab-a520-d40ab0965db5","http://www.cdisc.org","Code","Code_75"
"150","Europe","2020-08","dd8ca23d-5b13-43fa-b83d-2a71d536c581","ISO 3166 1 alpha3","Code","Code_74"
"PHARMA","Eli Lilly","12","9ea956ff-c654-4018-881d-41e9065ecae1","SPONSOR","Code","Code_4"
"C70793","Clinical Study Sponsor","2023-09-29","6a9a18f2-1a6f-4b20-a64b-077678bd388d","http://www.cdisc.org","Code","Code_76"
"DNK","Denmark","2020-08","319fc7f8-b8a7-413f-ab5d-b716f5ef2920","ISO 3166 1 alpha3","Code","Code_77"
"C93453","Study Registry","2023-09-29","ca6a2a63-8007-458c-b555-731396830b6e","http://www.cdisc.org","Code","Code_78"
"C49656","Treatment Study","2023-09-29","e7dd0fbf-b477-4cb4-a136-f192040b1279","http://www.cdisc.org","Code","Code_136"
"C49666","Efficacy Study","2023-09-29","f52105d8-a0c6-4ba5-8fd1-f710cab5ee4d","http://www.cdisc.org","Code","Code_137"
"C49667","Safety Study","2023-09-29","8caeba3d-d0f9-4b83-bcf3-6e6e0d2e5a6e","http://www.cdisc.org","Code","Code_138"
"C49663","Pharmacokinetic Study","2023-09-29","3282c262-a924-4dfb-94e5-7d6f6eac8c58","http://www.cdisc.org","Code","Code_139"
"MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease","12","f60f8940-e088-4754-9526-5f4f29187743","SPONSOR","Code","Code_133"
"26929004","Alzheimer's disease","January 31, 2018","2a58d27b-6d22-4a31-8fc3-ce9dda83e0a8","SNOMED","Code","Code_134"
"C99907x1","EXTENSION","2023-09-29","47248828-a119-460c-b12d-4774531b5b44","http://www.cdisc.org","Code","Code_142"
"C98704","ADAPTIVE","2023-09-29","d0833320-bdba-45c6-836d-83bdd378ddd8","http://www.cdisc.org","Code","Code_143"
"C82639","Parallel Study","2023-09-29","c86b1724-522b-4b68-8d36-fb3ae22dabd9","http://www.cdisc.org","Code","Code_140"
"C25716","Visit","2023-09-29","c9f2f8bb-27b9-4aa2-b038-e7bc4860923e","http://www.cdisc.org","Code","Code_82"
"C51282","Clinic","2023-09-29","37223b28-7905-4d00-9b91-b4a46d101ed4","http://www.cdisc.org","Code","Code_83"
"C175574","In Person","2023-09-29","4b65008c-cfef-4901-8d15-717b4af3ee21","http://www.cdisc.org","Code","Code_84"
"C25716","Visit","2023-09-29","f45ca4ac-1b63-4304-b4b0-bfcd7373965b","http://www.cdisc.org","Code","Code_85"
"C51282","Clinic","2023-09-29","c1721966-3f3c-4f4c-a74b-afd09d2ec71c","http://www.cdisc.org","Code","Code_86"
"C175574","In Person","2023-09-29","cbd84829-c278-4520-8c64-3d7847b70551","http://www.cdisc.org","Code","Code_87"
"C25716","Visit","2023-09-29","0909dedb-4101-4655-99ee-4ee06bc710d7","http://www.cdisc.org","Code","Code_88"
"C51282","Clinic","2023-09-29","864bd3a0-60de-4e2b-b1dc-7ec7a1b977a1","http://www.cdisc.org","Code","Code_89"
"C175574","In Person","2023-09-29","a29c3dc9-f895-48e1-a4e0-dffa558651c3","http://www.cdisc.org","Code","Code_90"
"C25716","Visit","2023-09-29","a6609c30-4912-4b84-9ef9-3d0bc1b332cf","http://www.cdisc.org","Code","Code_91"
"C51282","Clinic","2023-09-29","818e3667-f6ff-477d-987e-96bbf3cd5f70","http://www.cdisc.org","Code","Code_92"
"C175574","In Person","2023-09-29","8f9c663d-c5f2-4867-8500-4e3c8847b8cc","http://www.cdisc.org","Code","Code_93"
"C25716","Visit","2023-09-29","5b344bda-126d-4a43-974a-de8aa308a06d","http://www.cdisc.org","Code","Code_94"
"C51282","Clinic","2023-09-29","ede30072-3bde-42f6-ab1b-9e05bca8d1da","http://www.cdisc.org","Code","Code_95"
"C175574","In Person","2023-09-29","2fd85018-e174-43f2-b77d-2f4c4f460744","http://www.cdisc.org","Code","Code_96"
"C25716","Visit","2023-09-29","8bef7d98-1f8c-4e63-98a9-47ca6a0c69a9","http://www.cdisc.org","Code","Code_97"
"C51282","Clinic","2023-09-29","36c881c8-492e-42bd-9dde-9cf748b19136","http://www.cdisc.org","Code","Code_98"
"C175574","In Person","2023-09-29","962c98db-4419-4396-8c66-8ef844049724","http://www.cdisc.org","Code","Code_99"
"C25716","Visit","2023-09-29","e07d889d-8d3a-4a31-b6a7-ad8402a7f517","http://www.cdisc.org","Code","Code_100"
"C51282","Clinic","2023-09-29","64916386-2312-481c-9603-9217cfab511f","http://www.cdisc.org","Code","Code_101"
"C175574","In Person","2023-09-29","3824af67-2a59-4d4f-8cd4-dd78d8a750fa","http://www.cdisc.org","Code","Code_102"
"C171537","Telephone Call","2023-09-29","ddf4665e-7766-454d-9e6f-591258e62ef1","http://www.cdisc.org","Code","Code_103"
"C25716","Visit","2023-09-29","d0ce11ae-d76e-4cb7-985d-cedc5a6be0a3","http://www.cdisc.org","Code","Code_104"
"C51282","Clinic","2023-09-29","d1d506af-13b5-48fa-94fb-45fde45b9bb2","http://www.cdisc.org","Code","Code_105"
"C175574","In Person","2023-09-29","f229ad3d-da03-4ac9-8388-36578e381b9a","http://www.cdisc.org","Code","Code_106"
"C171537","Telephone Call","2023-09-29","4ddc6703-84e2-4313-93da-799afd2100df","http://www.cdisc.org","Code","Code_107"
"C25716","Visit","2023-09-29","badf9fe5-c733-43f4-8a23-b9d3d1075feb","http://www.cdisc.org","Code","Code_108"
"C51282","Clinic","2023-09-29","89648594-f7e4-445a-ab5b-2e19dce69e03","http://www.cdisc.org","Code","Code_109"
"C175574","In Person","2023-09-29","c9a39800-ceba-4634-8b65-8c1e2941d3ad","http://www.cdisc.org","Code","Code_110"
"C171537","Telephone Call","2023-09-29","65b097ce-a5c1-4441-97f3-97661c580ca4","http://www.cdisc.org","Code","Code_111"
"C25716","Visit","2023-09-29","c4832014-1342-4a22-be69-bccd816c43ad","http://www.cdisc.org","Code","Code_112"
"C51282","Clinic","2023-09-29","6c94569a-c0ff-4de8-a855-491f8dc36f98","http://www.cdisc.org","Code","Code_113"
"C175574","In Person","2023-09-29","51d079a4-ff78-4304-a55c-bd5bb648a7f6","http://www.cdisc.org","Code","Code_114"
"C171537","Telephone Call","2023-09-29","99422431-1abe-4f9e-9614-15c120d002ab","http://www.cdisc.org","Code","Code_115"
"C25716","Visit","2023-09-29","981761f4-2c2c-4307-afa3-fd61cebe50d3","http://www.cdisc.org","Code","Code_116"
"C51282","Clinic","2023-09-29","9f54131c-d339-4e17-8685-249e0801613f","http://www.cdisc.org","Code","Code_117"
"C175574","In Person","2023-09-29","85fafe89-e8b5-4969-b165-3c93269e06e3","http://www.cdisc.org","Code","Code_118"
"C25716","Visit","2023-09-29","575360ef-c3f1-40a6-a45c-8b98e64a63a9","http://www.cdisc.org","Code","Code_119"
"C51282","Clinic","2023-09-29","2b022184-f118-41b7-a80b-13de459b07ee","http://www.cdisc.org","Code","Code_120"
"C175574","In Person","2023-09-29","cef3da6b-4c6b-4641-b078-77bce5277e14","http://www.cdisc.org","Code","Code_121"
"383371000119108","CT of head without contrast","January 31, 2018","82b60537-a77f-4a8d-9153-3deef46f40e3","SNOMED","Code","Code_79"
"123","Subject Supine","12","88e656ce-42cc-482b-9463-8606435cdc76","SPONSOR","Code","Code_80"
"124","Subject Standing","12","6a82edd8-59fe-4bec-8efd-6f9507584b9b","SPONSOR","Code","Code_81"
