"id:ID","bcPropertyDatatype","id","name","uuid","label","bcPropertyRequired","bcPropertyEnabled","bcPropertyResponseCodes"
"546","decimal","BiomedicalConceptProperty_86","Vital Signs Result","0387ee65-7c12-4605-90ed-76c8f94d4b8c","Vital Signs Result","True","True","[]"
"547","string","BiomedicalConceptProperty_87","Unit of Temperature","042cb269-bbcb-43e5-9b34-c20a03ac20dc","Unit of Temperature","True","True",""
"548","string","BiomedicalConceptProperty_88","Vital Signs Location","3fdeda2d-405d-467c-8fc3-263dbbd242c9","Vital Signs Location","True","True","[]"
"549","decimal","BiomedicalConceptProperty_89","Vital Signs Result","53b132d0-23c3-483d-b148-7a72b84f3a79","Vital Signs Result","True","True","[]"
"550","string","BiomedicalConceptProperty_90","Unit of Weight","79068977-0a9f-4b0e-aa3d-123968f12dcf","Unit of Weight","True","True",""
"551","decimal","BiomedicalConceptProperty_91","Vital Signs Result","16caf6fc-3dc7-4f1c-b31f-76dc73a0b652","Vital Signs Result","True","True","[]"
"552","string","BiomedicalConceptProperty_92","Unit of Height","272416e8-09a2-405d-9692-1937978a14b0","Unit of Height","True","True",""
"553","decimal","BiomedicalConceptProperty_93","Laboratory Test Result","f61d8528-de46-4112-8eca-f9be241b90ed","Laboratory Test Result","True","True","[]"
"554","boolean","BiomedicalConceptProperty_94","Laboratory Test Fasting Status","1d913fbe-5692-4281-8303-bdf93d819c9a","Laboratory Test Fasting Status","True","True","[]"
"555","string","BiomedicalConceptProperty_95","Unit of Catalytic Activity Concentration","b7ea1cb8-02f9-4501-ad05-fe099cbd34bc","Unit of Catalytic Activity Concentration","True","True","[]"
"556","string","BiomedicalConceptProperty_96","Biospecimen Type","84449537-0e5b-4979-836b-1be8893fa254","Biospecimen Type","True","True","[]"
"557","string","BiomedicalConceptProperty_97","Laboratory Test Result","5c2a4194-497e-4dd8-a765-3d1c3c4a56e7","Laboratory Test Result","True","True","[]"
"558","boolean","BiomedicalConceptProperty_98","Laboratory Test Fasting Status","c86c14f4-26b4-478f-bcb1-b516c89f77fc","Laboratory Test Fasting Status","True","True","[]"
"559","string","BiomedicalConceptProperty_99","Unit of Concentration","93f717db-40a6-4037-a5e0-826834862902","Unit of Concentration","True","True","[]"
"560","string","BiomedicalConceptProperty_100","Biospecimen Type","a758a4b5-509c-4af0-971a-09a580e75639","Biospecimen Type","True","True","[]"
"561","decimal","BiomedicalConceptProperty_101","Laboratory Test Result","5bc19428-9f78-496c-8ceb-526aaeb5caaf","Laboratory Test Result","True","True","[]"
"562","boolean","BiomedicalConceptProperty_102","Laboratory Test Fasting Status","f244eabc-0bd9-4fb2-b101-e73ae6fe6ead","Laboratory Test Fasting Status","True","True","[]"
"563","string","BiomedicalConceptProperty_103","Unit of Catalytic Activity Concentration","c527249c-9e97-4adf-a642-becec3d53c8c","Unit of Catalytic Activity Concentration","True","True","[]"
"564","string","BiomedicalConceptProperty_104","Biospecimen Type","d2f0807c-8e38-4e2a-a016-bb40ed783574","Biospecimen Type","True","True","[]"
"565","decimal","BiomedicalConceptProperty_105","Laboratory Test Result","e29e6f6e-526b-497f-be0e-4fbb240ec85f","Laboratory Test Result","True","True","[]"
"566","boolean","BiomedicalConceptProperty_106","Laboratory Test Fasting Status","f94db839-2f00-4adc-8ca9-a129e0b2cef0","Laboratory Test Fasting Status","True","True","[]"
"567","string","BiomedicalConceptProperty_107","Unit of Catalytic Activity Concentration","483fba74-70d7-4c85-8f19-9245b81423bd","Unit of Catalytic Activity Concentration","True","True","[]"
"568","string","BiomedicalConceptProperty_108","Biospecimen Type","eb04326e-5fd9-4805-8665-e02037ac791a","Biospecimen Type","True","True","[]"
"569","string","BiomedicalConceptProperty_109","Laboratory Test Result","61020fea-8fd4-422c-9d89-1be1ab57e355","Laboratory Test Result","True","True","[]"
"570","boolean","BiomedicalConceptProperty_110","Laboratory Test Fasting Status","32354628-e283-4add-a9be-786c0895e410","Laboratory Test Fasting Status","True","True","[]"
"571","string","BiomedicalConceptProperty_111","Unit of Concentration","d5fabf25-fd3e-4cc9-855e-fc4d4304c8b4","Unit of Concentration","True","True","[]"
"572","string","BiomedicalConceptProperty_112","Biospecimen Type","7f9330a4-9199-442b-a7be-d9ef35702519","Biospecimen Type","True","True","[]"
"573","decimal","BiomedicalConceptProperty_113","Laboratory Test Result","c6cac819-d71c-4dd9-8f16-fb1fd31c8d3d","Laboratory Test Result","True","True","[]"
"574","boolean","BiomedicalConceptProperty_114","Laboratory Test Fasting Status","d04e7c4a-469e-4c88-a203-02dc616986ae","Laboratory Test Fasting Status","True","True","[]"
"575","string","BiomedicalConceptProperty_115","Molarity Unit","65a0f388-e06f-4e22-b73d-ab646351db78","Molarity Unit","True","True","[]"
"576","string","BiomedicalConceptProperty_116","Biospecimen Type","6fb4238b-f9a0-4938-b1f9-6e7bd425bae6","Biospecimen Type","True","True","[]"
"577","decimal","BiomedicalConceptProperty_117","Laboratory Test Result","cd842948-504e-441a-ae02-fef7b5f49026","Laboratory Test Result","True","True","[]"
"578","boolean","BiomedicalConceptProperty_118","Laboratory Test Fasting Status","21f38998-c25c-4671-aab1-d9a1c87f3a80","Laboratory Test Fasting Status","True","True","[]"
"579","string","BiomedicalConceptProperty_119","Molarity Unit","3d94a4fd-848f-4728-b35b-d2053c14161a","Molarity Unit","True","True","[]"
"580","string","BiomedicalConceptProperty_120","Biospecimen Type","664a6a89-27bf-43aa-a8c7-7df35d028f4f","Biospecimen Type","True","True","[]"
"581","string","BiomedicalConceptProperty_1","Adverse Event Verbatim Description","570145eb-e34d-4cd7-8be7-2c9de32ab7f1","Adverse Event Verbatim Description","True","True","[]"
"582","string","BiomedicalConceptProperty_2","Adverse Event Dictionary Derived Term","c0e92bd0-1bba-4b74-b67b-461430b987f0","Adverse Event Dictionary Derived Term","True","True","[]"
"583","string","BiomedicalConceptProperty_3","Adverse Event Category","9f04b535-29ef-4dc6-984f-ec95975660c5","Adverse Event Category","True","True","[]"
"584","string","BiomedicalConceptProperty_4","Adverse Event Subcategory","4e283b5b-38a2-4844-9e37-aff803240982","Adverse Event Subcategory","True","True","[]"
"585","boolean","BiomedicalConceptProperty_5","Adverse Event Pre-specified","b415845a-dfa6-41bc-9335-071702a368cf","Adverse Event Pre-specified","True","True","[]"
"586","string","BiomedicalConceptProperty_6","Severity of Adverse Event","2ee2cbcf-b90a-4b93-9329-eb9ff3cc7ad4","Severity of Adverse Event","True","True","[]"
"587","string","BiomedicalConceptProperty_7","Adverse Event Toxicity Grade","8356f2db-ca96-4d13-a4f3-0d1bcc82e24b","Adverse Event Toxicity Grade","True","True","[]"
"588","boolean","BiomedicalConceptProperty_8","Seriousness of Adverse Event","fac0b874-8154-4503-bbdd-dd71b165a848","Seriousness of Adverse Event","True","True","[]"
"589","string","BiomedicalConceptProperty_9","Adverse Event Action Taken with Study Treatment","053567a6-58dd-4443-9ba3-4f508935801c","Adverse Event Action Taken with Study Treatment","True","True",""
"590","string","BiomedicalConceptProperty_10","Adverse Event Attribution to Product or Procedure","215143a3-0615-462f-af2a-9f79d6721c10","Adverse Event Attribution to Product or Procedure","True","True","[]"
"591","string","BiomedicalConceptProperty_11","Adverse Event Pattern","abbf7c03-84bf-43ea-880f-910b9dbc3056","Adverse Event Pattern","True","True","[]"
"592","string","BiomedicalConceptProperty_12","Adverse Event Outcome","fa65a5c8-f046-46e3-af7c-3dbc9f17a6bb","Adverse Event Outcome","True","True",""
"593","datetime","BiomedicalConceptProperty_13","Adverse Event Start Date Time","8816b6e0-1c6f-4f1f-8aa0-5ef9aefb353c","Adverse Event Start Date Time","True","True","[]"
"594","datetime","BiomedicalConceptProperty_14","Adverse Event End Date Time","f6aa6e6f-e6d7-45ff-a8e1-9c96e50c78fb","Adverse Event End Date Time","True","True","[]"
"595","decimal","BiomedicalConceptProperty_15","Vital Signs Result","ac3a61fe-495e-4d4f-8a32-3ff34365a2ca","Vital Signs Result","True","True","[]"
"596","string","BiomedicalConceptProperty_16","Unit of Pressure","12ea006e-43d2-4278-9bad-663d8ff00cfe","Unit of Pressure","True","True",""
"597","string","BiomedicalConceptProperty_17","Vital Signs Location","ca23b459-6188-4c25-be99-224a8b2f828d","Vital Signs Location","True","True","[]"
"598","string","BiomedicalConceptProperty_18","Vital Signs Laterality","bd1a6772-f8c1-4425-9d0b-efe2b683208f","Vital Signs Laterality","True","True","[]"
"599","string","BiomedicalConceptProperty_19","Test Method","c8bd2a7c-34f7-49e0-8dc1-654365ab44f0","Test Method","True","True","[]"
"600","string","BiomedicalConceptProperty_20","Vital Signs Position","8a6df636-58d4-4073-b990-4c193b03a5a1","Vital Signs Position","True","True","[]"
"601","decimal","BiomedicalConceptProperty_21","Vital Signs Result","88146e18-3f60-4155-b234-4dd7fddfee0e","Vital Signs Result","True","True","[]"
"602","string","BiomedicalConceptProperty_22","Unit of Pressure","06fd3dab-7f62-4999-9ba6-6dd6c68293de","Unit of Pressure","True","True",""
"603","string","BiomedicalConceptProperty_23","Vital Signs Location","51772253-8bc1-488d-8c7d-08ecbe60032b","Vital Signs Location","True","True","[]"
"604","string","BiomedicalConceptProperty_24","Vital Signs Laterality","9ad0dcb4-6c51-40f5-b67b-9bbe5a21cd4e","Vital Signs Laterality","True","True","[]"
"605","string","BiomedicalConceptProperty_25","Test Method","908f1a57-f249-4bdc-a5da-ed080a5fb98c","Test Method","True","True","[]"
"606","string","BiomedicalConceptProperty_26","Vital Signs Position","f7af87d1-141a-451f-bb20-c7771cef8cc2","Vital Signs Position","True","True","[]"
"607","decimal","BiomedicalConceptProperty_27","Vital Signs Result","aa33194e-9dde-4018-a4bb-dcb495b96204","Vital Signs Result","True","True","[]"
"608","string","BiomedicalConceptProperty_28","Unit of Temperature","815cfaf6-b6a8-45ad-baf1-3c0ffbf62774","Unit of Temperature","True","True",""
"609","string","BiomedicalConceptProperty_29","Vital Signs Location","65ba981c-53e9-4fd0-8925-f5a48223c0a6","Vital Signs Location","True","True","[]"
"610","decimal","BiomedicalConceptProperty_30","Vital Signs Result","3753bbe3-2bd8-4fc4-bddb-b8aada9aea53","Vital Signs Result","True","True","[]"
"611","string","BiomedicalConceptProperty_31","Unit of Weight","f037d091-09e0-45a1-9c53-8cee556759e4","Unit of Weight","True","True",""
"612","decimal","BiomedicalConceptProperty_32","Vital Signs Result","879a686c-078c-4312-82ba-d2b166bd259f","Vital Signs Result","True","True","[]"
"613","string","BiomedicalConceptProperty_33","Unit of Height","9b9f1e75-6401-44cb-9ecc-af885018d99d","Unit of Height","True","True",""
"614","decimal","BiomedicalConceptProperty_34","Laboratory Test Result","c92dd781-1508-4f12-a53e-baf3a27102d0","Laboratory Test Result","True","True","[]"
"615","boolean","BiomedicalConceptProperty_35","Laboratory Test Fasting Status","42e65a7d-67cb-4f94-8f27-4051ce15713f","Laboratory Test Fasting Status","True","True","[]"
"616","string","BiomedicalConceptProperty_36","Unit of Catalytic Activity Concentration","986f9d44-06d1-4621-839e-76ccd3976eca","Unit of Catalytic Activity Concentration","True","True","[]"
