"id:ID","id","code","codeSystem","uuid","codeSystemVersion","decode"
"1","Code_1","C98388","http://www.cdisc.org","0f2f847e-8f4d-4551-9460-cd05ac7eb3bb","2023-09-29","Interventional Study"
"2","Code_2","C15601","http://www.cdisc.org","713b772d-35bb-4ade-acad-cec5fda6010a","2023-09-29","Phase II Trial"
"3","Code_5","C132352","http://www.cdisc.org","84abdb4d-36ff-4443-8021-3b506813ab3d","2023-09-29","Sponsor Approval Date"
"4","Code_6","C68846","http://www.cdisc.org","b4d2ad26-85e0-459a-90d9-9755f18857bc","2023-09-29","Global"
"5","Code_54","C99904x3","http://www.cdisc.org","c35beebb-02dd-4eda-aafc-14a6ae077073","2023-09-29","IRB/IEC Feedback"
"6","Code_55","C17649","http://www.cdisc.org","c6c5f64e-b841-482f-ac37-cf427cc35c1c","2023-09-29","Other"
"7","Code_57","C41129","http://www.cdisc.org","61f21657-3706-4fa7-ba8f-933bf4237c85","2023-09-29","Region"
"8","Code_56","150","ISO 3166 1 alpha3","4dfc67e6-6bb6-4af4-9710-a543fe381bf2","2020-08","Europe"
"9","Code_59","C25464","http://www.cdisc.org","abd06186-b206-4025-b501-a53e6043f6f7","2023-09-29","Country"
"10","Code_58","DNK","ISO 3166 1 alpha3","c78fc6ca-c275-448e-b848-fc71f35faea4","2020-08","Denmark"
"11","Code_3","PHARMA","SPONSOR","3fbeaa49-f284-4930-9414-bba998a55898","12","Eli Lilly"
"12","Code_60","C70793","http://www.cdisc.org","f64f95c3-49a6-4a29-b819-4c8ce9e0c12c","2023-09-29","Clinical Study Sponsor"
"13","Code_61","USA","ISO 3166 1 alpha3","2f3166d7-ae8b-4bad-b64a-15b7b543a478","2020-08","United States of America"
"14","Code_62","C93453","http://www.cdisc.org","3b8e8402-c9db-47da-986a-7b240fa8b388","2023-09-29","Study Registry"
"15","Code_120","C49656","http://www.cdisc.org","d44efb06-0c0c-45f5-be80-7e9bb792e7df","2023-09-29","Treatment Study"
