"id:ID","id","name","timingValue","timingWindowUpper","uuid","label","timingWindowLower","description","timingWindow"
"766","Timing_1","TIM1","P2W","","942ca6b3-1782-45ed-b2e5-70d06e4d3e13","Screening","","Screening timing",""
"767","Timing_2","TIM2","P2D","PT0H","b7d77a99-975c-47d1-8105-231704a078fb","Pre dose","PT4H","Pre dose timing","-4..0 hours"
"768","Timing_3","TIM3","P1D","","b64e893e-a08b-44a6-a999-548c27e1a441","Dosing","","Dosing anchor",""
"769","Timing_4","TIM4","P2W","P3D","4052c6a6-6a6b-4559-9b87-b5c2baea10ff","Week 2","P3D","Week 2 timing","-3..3 days"
"770","Timing_5","TIM5","P4W","P3D","526ed1f6-286e-4595-a28e-6a053863da2d","Week 4","P3D","Week 4 timing","-3..3 days"
"771","Timing_6","TIM6","P6W","P3D","93d61969-24f0-4326-b08f-dc6a2778092e","Week 6","P3D","Week 6 timing","-3..3 days"
"772","Timing_7","TIM7","P8W","P3D","3884dc0f-393e-4688-ad2d-33f2c0db0554","Week 8","P3D","Week 8 timing","-3..3 days"
"773","Timing_8","TIM8","P2W","","1d21657e-bb10-47f5-b501-0fe898e468a5","Week 8 Home","","Week 8 at home timing",""
"774","Timing_9","TIM9","P12W","P4D","562729c3-b239-4bcb-a767-251fc4cb002b","Week 12","P4D","Week 12 timing","-4..4 days"
"775","Timing_10","TIM10","P2W","","19600d96-dabf-476e-9d53-426949fafd2c","Week 12 Home","","Week 12 at home timing",""
"776","Timing_11","TIM11","P16W","P4D","214a1b52-3b3d-4f68-9250-fa1c9bead328","Week 16","P4D","Week 16 timing","-4..4 days"
"777","Timing_12","TIM12","P2W","","df772292-355f-499c-9e7b-0e8a68800d06","Week 16 Home","","Week 16 at home timing",""
"778","Timing_13","TIM13","P20W","P4D","9464fec0-32a2-493b-93d2-d5ef212d3088","Week 20","P4D","Week 20 timing","-4..4 days"
"779","Timing_14","TIM14","P2W","","99eb808b-1d83-4176-a3ae-097f90f15859","Week 20 Home","","Week 20 at home timing",""
"780","Timing_15","TIM15","P24W","P4D","ab7ef94c-cb31-4052-b846-6cbffa4c0be3","Week 24","P4D","Week 24 timing","-4..4 days"
"781","Timing_16","TIM16","P26W","P3D","7710add3-5885-4c58-8ef1-ade37b8e18ca","Week 26","P3D","Week 26 timing","-3..3 days"
"782","Timing_17","TIM17","P1D","","74764196-5538-4ecb-aca4-5d7e0cb406d1","Adverse Event","","Adverse Event",""
"783","Timing_18","TIM18","P1D","","2ec48b85-af8c-4c20-b9d6-a02516201d0d","Early Termination","","Early Termination",""
"784","Timing_19","TIM19","PT0M","","f99f9d49-fa96-49cf-bee2-cb1d5b60bd5b","BP Anchor","","BP Anchor",""
"785","Timing_20","TIM20","PT5M","","230fcccc-f48d-49a6-b28c-2b8a728ffc40","BP while Supine","","BP while Supine",""
"786","Timing_21","TIM21","PT3M","PT0M","69648f34-9baa-4a2d-8243-9ddcf5ad7f92","BP Stand Up","PT2M","BP Stand Up","-2..0 mins"
"787","Timing_22","TIM22","PT0M","","07e1af1b-402a-483f-844b-85b916dab9e8","BP while standing","","BP while standing",""
