"id:ID","id","name","bcReference","bcSynonyms","uuid","label"
"690","BiomedicalConcept_18","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","7b913cfb-ebe7-4d61-86b0-8d70993c1a14","Body Temperature"
"691","BiomedicalConcept_19","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","4915c717-6963-45d3-8326-c4bffe666aeb","Body Weight"
"692","BiomedicalConcept_20","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","58597b8f-5b9b-41ab-80ed-c14811136798","Body Height"
"693","BiomedicalConcept_21","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","00bc239a-c84e-474b-9f03-e8403e44e487","Alanine Aminotransferase Measurement"
"694","BiomedicalConcept_22","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","d998e04f-9141-45f4-ba14-14a7c4a88663","Albumin Measurement"
"695","BiomedicalConcept_23","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","bb047a25-90e6-4eee-a993-6327b8e81446","Alkaline Phosphatase Measurement"
"696","BiomedicalConcept_24","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","b8fa6f88-f538-4b6b-a6a5-8c0c8af22448","Aspartate Aminotransferase Measurement"
"697","BiomedicalConcept_25","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","cebda23d-a7c4-4d66-a773-64c737426b00","Creatinine Measurement"
"698","BiomedicalConcept_26","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","df586751-e62d-41b2-be45-6d3f80f8e6d5","Potassium Measurement"
"699","BiomedicalConcept_27","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","dfa7cd1a-fa59-4d07-8e84-8b92a2322e25","Sodium Measurement"
"700","BiomedicalConcept_1","Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","['Adverse Event Reported Term', 'AETERM']","1add4d12-e1a4-4340-aa1b-9b2f6a5edd19","Adverse Event"
"701","BiomedicalConcept_2","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","1e992bb7-ca9c-4dee-ac13-7412238c5b1b","Systolic Blood Pressure"
"702","BiomedicalConcept_3","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","6f1e256e-14b6-471d-9cc4-877bfab1ce7f","Diastolic Blood Pressure"
"703","BiomedicalConcept_4","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","9e9812d5-4f34-473e-ae6d-cf75cc753b93","Body Temperature"
"704","BiomedicalConcept_5","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","78337307-0d6f-4803-b4b7-9df8aaff3fc5","Body Weight"
"705","BiomedicalConcept_6","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","71cb17f4-f042-444c-90a3-cd5c9f654a22","Body Height"
"706","BiomedicalConcept_7","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","b3c9b74f-975b-47d6-8048-5b58c40c38e3","Alanine Aminotransferase Measurement"
"707","BiomedicalConcept_8","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","f1e8c4b0-cef1-4b12-89a1-88d7acf1cae7","Albumin Measurement"
"708","BiomedicalConcept_9","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","3abd3e57-dfd4-47b7-9f58-86c433f05144","Alkaline Phosphatase Measurement"
"709","BiomedicalConcept_10","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","0f2f106e-ab19-4f87-9429-200a25d6022c","Aspartate Aminotransferase Measurement"
"710","BiomedicalConcept_11","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","67de1434-11ce-4ca2-8ee1-b6563b77615b","Creatinine Measurement"
"711","BiomedicalConcept_12","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","78ca37b4-b0c8-4edb-98d2-6a46a68b0dbd","Potassium Measurement"
"712","BiomedicalConcept_13","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","5cf5739b-393d-4fac-859b-e77c42094d3f","Sodium Measurement"
"713","BiomedicalConcept_14","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","d2c2f560-52bf-4f65-a028-8a832f77194d","Systolic Blood Pressure"
"714","BiomedicalConcept_15","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","29ddc1c6-21a2-4d85-8f9d-0692676c215b","Diastolic Blood Pressure"
"715","BiomedicalConcept_16","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","87159581-e0f8-4ca7-bd02-5164dbca6dba","Systolic Blood Pressure"
"716","BiomedicalConcept_17","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","1d27db5d-1d84-467f-a28b-22494255e799","Diastolic Blood Pressure"
