"label","name","instanceType","description","uuid:ID","id"
"Screening 1","E1","Encounter","Screening encounter","15bb36f8-c38a-4ae9-941d-f073ab950697","Encounter_1"
"Screening 2","E2","Encounter","Screening encounter - Ambulatory ECG Placement","32021d36-94dd-4649-9505-9cd29b15a7d9","Encounter_2"
"Baseline","E3","Encounter","Baseline encounter - Ambulatory ECG Removal","32dfd4f9-642e-4dcc-8344-25c1d172d948","Encounter_3"
"Week 2","E4","Encounter","Day 14","d07a026e-31c8-4cc8-937f-15828ed0842a","Encounter_4"
"Week 4","E5","Encounter","Day 28","bc800c4e-015c-4ec3-9cb7-7860ae60945d","Encounter_5"
"Week 6","E7","Encounter","Day 42","f1a64102-6d3f-4e4d-bd7b-1ae6f4fde7be","Encounter_6"
"Week 8","E8","Encounter","Day 56","c403a3b4-088d-44d8-8c7e-9cb88ce8e39e","Encounter_7"
"Week 12","E9","Encounter","Day 84","8b0110e4-3ba9-47d1-85ad-748b41ba58ef","Encounter_8"
"Week 16","E10","Encounter","Day 112","ab84168e-e30e-45be-9a49-1131db5e43d4","Encounter_9"
"Week 20","E11","Encounter","Day 140","227bc9d0-d128-4667-ad69-146979ae65aa","Encounter_10"
"Week 24","E12","Encounter","Day 168","866dc1da-4c9d-4cdb-98e8-a621ade79eb4","Encounter_11"
"Week 26","E13","Encounter","Day 182","319ed63c-bdc0-481c-9b05-1eb037e17173","Encounter_12"
