"label","name","instanceType","description","uuid:ID","id"
"","Informed consent","Activity","","cff8486b-bd38-4208-b292-71d24f6f1044","Activity_1"
"","Inclusion/exclusion criteria","Activity","","c2a8831c-7dde-4d8c-b2ed-e97dc3c093fb","Activity_2"
"","Patient number assigned","Activity","","3d413b9e-ee52-4ec8-ab93-e2d9f34b7069","Activity_3"
"Demographics","Demographics","Activity","","2cf6eede-6354-40a3-b067-a08be5bc6bfd","Activity_4"
"Hachinski","Hachinski","Activity","","9f9689f3-f90b-4169-8acf-bc5b2023d7b8","Activity_5"
"MMSE","MMSE","Activity","","da69f736-d10a-498f-b94b-aa33eebb19ee","Activity_6"
"","Physical examination","Activity","","e34badba-df97-454d-96c3-bec140670088","Activity_7"
"","Medical history","Activity","","d7188398-bae9-4b45-89e3-4ae84de785c5","Activity_8"
"","Habits","Activity","","2c26717b-5024-471e-b3c8-4d9c8bc1bdd1","Activity_9"
"","Chest X-ray","Activity","","a11ed5af-1c0d-414e-95ea-e6e338f1d791","Activity_10"
"","Apo E genotyping","Activity","","a2447c13-c118-4b07-b85e-bdcc7e543a59","Activity_11"
"","Patient randomised","Activity","","ea22a500-c0cd-49fc-b475-d5752a91f15e","Activity_12"
"Vital Signs and Temperature","Vital signs / Temperature","Activity","","1670807c-61e4-48b0-ba65-039c1897f1fc","Activity_13"
"","Ambulatory ECG placed","Activity","","cc2a44ba-ba2d-488f-833d-975103748c60","Activity_14"
"","Ambulatory ECG removed","Activity","","fa0778e8-2f03-4c2f-a7dd-e3647c057167","Activity_15"
"","ECG","Activity","","25aae2ad-8c8a-414f-92aa-89e9f2f40f86","Activity_16"
"","Placebo TTS test","Activity","","232077fd-a653-45ac-b9d8-5b1ea7718c9d","Activity_17"
"","CT scan","Activity","","fc4da286-fc07-4c5b-8696-f2e594c40a19","Activity_18"
"","Concomitant medications","Activity","","a83f9fa1-a6ba-4ec4-8280-f6bd5375a054","Activity_19"
"","Hematology","Activity","","3aaf8480-a83f-4bff-8535-4a92f9e2064a","Activity_20"
"","Chemistry","Activity","","b878680d-2f54-4dad-8f2c-05d83e2178f5","Activity_21"
"","Uninalysis","Activity","","648aa1b3-73c3-4a7a-bb68-3b5ce2d3c121","Activity_22"
"","Plasma Specimen (Xanomeline)","Activity","","e65fa32c-9fc3-48dd-bab2-b9be8bd28b68","Activity_23"
"","Hemoglobin A1C","Activity","","0a329c22-df01-4c14-aa76-6dc9c8c0c9bb","Activity_24"
"Study drug record , Medications dispensed, Medications returned","Study drug","Activity","","2afc4ef9-715c-416a-bea9-78fef8e4dfb4","Activity_25"
"","TTS Acceptability Survey","Activity","","12bb5e6c-2538-4dfe-96fb-fab5e674a364","Activity_26"
"","ADAS-Cog","Activity","","a479f36e-5932-4c59-b83b-78bf2ab69f2e","Activity_27"
"","CIBIC+","Activity","","8aaa9e2f-0e38-46bb-86eb-cf9085e75f67","Activity_28"
"","DAD","Activity","","d0a844c9-bc28-40bb-b6f9-21d26e44e00b","Activity_29"
"","NPI-X","Activity","","910a7e29-8c58-45d9-aa24-59b91345a503","Activity_30"
"","Adverse events","Activity","","76b63466-5f42-42c6-a557-cf450294df2b","Activity_31"
"","Check adverse events","Activity","","85cdfc3a-9c03-4188-a6d9-a59e2172ce89","Activity_32"
"Subject supine","Supine","Activity","","032497db-fe70-46cd-99be-174d00819a09","Activity_33"
"Vital signs while supine","Vital Signs Supine","Activity","","8df67741-a819-4f68-ae98-f2395f51b3ce","Activity_34"
"Subject Standing","Stand","Activity","","38c733fb-f9ef-4951-8917-b87d639eabcc","Activity_35"
"Vital signs while standing","Vital Signs Standing","Activity","","bdae7c3b-5648-4026-8fa1-ee145ae5a8f1","Activity_36"
