"text","sectionNumber","sectionTitle","name","instanceType","uuid:ID","id"
"","0","Root","ROOT","NarrativeContent","5d2a76b9-4fdf-45d6-ac70-706ffcd4d188","NarrativeContent_1"
"<div><usdm:section name=""M11-title-page""></div>","0","TITLE PAGE","SECTION 0","NarrativeContent","60683db1-1b36-44ad-bc75-4824de8104ff","NarrativeContent_2"
"<div></div>","1","PROTOCOL SUMMARY","SECTION 1","NarrativeContent","20098b1e-5a5a-47b2-9c0f-7119a1bb18b2","NarrativeContent_3"
"<div></div>","1.1","Protocol Synopsis","SECTION 1.1","NarrativeContent","e24efbc1-4d3c-43ec-aa3d-9abff51566fb","NarrativeContent_4"
"<div></div>","1.2","Trial Schema","SECTION 1.2","NarrativeContent","9acb4c71-e1d3-4e22-8a52-6c1f163bd8ae","NarrativeContent_5"
"<div></div>","1.3","Schedule of Activities","SECTION 1.3","NarrativeContent","6cdf051d-e661-4c6b-910c-34ee28b8d5a2","NarrativeContent_6"
"<div></div>","2","INTRODUCTION","SECTION 2","NarrativeContent","7953588a-1332-4256-93ee-78843cb08061","NarrativeContent_7"
"<div></div>","2.1","Purpose of Trial","SECTION 2.1","NarrativeContent","6012a536-2a43-4c9f-92b0-4c58ce7ef44f","NarrativeContent_8"
"<div></div>","2.2","Summary of Benefits and Risks","SECTION 2.2","NarrativeContent","e7827f00-847a-444f-b39c-5d4a036524c7","NarrativeContent_9"
"<div></div>","3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","NarrativeContent","3e9fd885-edbb-42e0-a772-ce4952f05a00","NarrativeContent_10"
"<div><usdm:section name=""M11-objective-endpoints""></div>","3.1","Primary Objectives","SECTION 3.1","NarrativeContent","007b3966-a8b2-42e2-9f1b-fed05102a167","NarrativeContent_11"
"<div></div>","4","TRIAL DESIGN","SECTION 4","NarrativeContent","299830b4-4877-462b-b8a1-69dc22eaad26","NarrativeContent_12"
"<div></div>","4.1","Description of Trial Design","SECTION 4.1","NarrativeContent","6f8738c5-d49f-4d9d-85cb-df2411954294","NarrativeContent_13"
"<div></div>","4.1.1","Participant Input into Design","SECTION 4.1.1","NarrativeContent","0ede2360-2bf4-42d6-a94e-1e5414ae4976","NarrativeContent_14"
"<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","4.2","Rationale for Trial Design","SECTION 4.2","NarrativeContent","cd31344c-15dd-4d85-a487-cb60a646fb75","NarrativeContent_15"
"<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","4.2.1","Rationale for Comparator","SECTION 4.2.1","NarrativeContent","30f1075f-10de-463d-bdec-8fe7f1385377","NarrativeContent_16"
"<div></div>","4.2.2","Rationale for Adaptive or Novel Trial Design","SECTION 4.2.2","NarrativeContent","70ffd264-5165-48f1-9dbf-985f28a8eab9","NarrativeContent_17"
"<div></div>","4.2.3","Other Trial Design Considerations","SECTION 4.2.3","NarrativeContent","b9260193-aabc-48d1-8251-abab4651ebcf","NarrativeContent_18"
"<div></div>","4.3","Access to Trial Intervention After End of Trial","SECTION 4.3","NarrativeContent","8c50af91-0ad4-465e-baad-7e35b8d1b861","NarrativeContent_19"
"<div></div>","4.4","Start of Trial and End of Trial","SECTION 4.4","NarrativeContent","46d8ce3e-f1c3-412d-acf5-8c9f5ec57ba6","NarrativeContent_20"
"<div></div>","5","TRIAL POPULATION","SECTION 5","NarrativeContent","a47a4bba-8f3f-4cd1-8d98-cbbd78c05719","NarrativeContent_21"
"<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","5.1","Selection of Trial Population","SECTION 5.1","NarrativeContent","3975c659-7dce-472c-8615-be47dd5a4282","NarrativeContent_22"
"<div></div>","5.2","Rationale for Trial Population","SECTION 5.2","NarrativeContent","1d13e504-82da-4822-beff-f7347b52f59d","NarrativeContent_23"
"<div><usdm:section name=""M11-inclusion""></div>","5.3","Inclusion Criteria","SECTION 5.3","NarrativeContent","3a09ed18-cac6-4fc6-8342-8a74d11a0da1","NarrativeContent_24"
"<div><usdm:section name=""M11-exclusion""></div>","5.4","Exclusion Criteria","SECTION 5.4","NarrativeContent","679b4a3b-e824-4303-9572-356bb0165b68","NarrativeContent_25"
"<div></div>","5.5","Lifestyle Considerations","SECTION 5.5","NarrativeContent","9ea81230-a5dd-4039-923b-4eebc4c997f7","NarrativeContent_26"
"<div></div>","5.5.1","Meals and Dietary Restrictions","SECTION 5.5.1","NarrativeContent","f0fc6092-949e-4445-8058-5e33b334859e","NarrativeContent_27"
"<div><p>Not applicable</p></div>","5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits","SECTION 5.5.2","NarrativeContent","7d26d496-254e-4ea4-bc29-72d289672a06","NarrativeContent_28"
"<div></div>","5.5.3","Physical Activity","SECTION 5.5.3","NarrativeContent","84a98dc6-fb59-472c-9b84-7ead22044ca2","NarrativeContent_29"
"<div></div>","5.5.4","Other Activity","SECTION 5.5.4","NarrativeContent","449fb1b3-c331-41c0-b5a1-ea918c59ec2c","NarrativeContent_30"
"<div></div>","5.6","Screen Failures","SECTION 5.6","NarrativeContent","1c521f57-d1c2-43fb-af45-99d541a22711","NarrativeContent_31"
"<div></div>","6","TRIAL INTERVENTION AND CONCOMITANT THERAPY","SECTION 6","NarrativeContent","65efa1a8-215b-4754-b012-c536a272c1af","NarrativeContent_32"
"<div></div>","6.1","Description of Trial Intervention","SECTION 6.1","NarrativeContent","8d778b57-9cca-4d7b-92b7-20aeb61dce99","NarrativeContent_33"
"<div></div>","6.2","Rationale for Trial Intervention","SECTION 6.2","NarrativeContent","637e3eb6-9f14-4ea8-b8b9-c229b1e530e0","NarrativeContent_34"
"<div></div>","6.3","Dosing and Administration","SECTION 6.3","NarrativeContent","c46f80b1-f3fd-4807-b62a-bae591e3ed17","NarrativeContent_35"
"<div></div>","6.3.1","Trial Intervention Dose Modification","SECTION 6.3.1","NarrativeContent","706a10f6-6317-4c61-b045-12ae894c940d","NarrativeContent_36"
"<div></div>","6.4","Treatment of Overdose","SECTION 6.4","NarrativeContent","17e42ad0-8544-48f6-add5-bf8cb218b6f0","NarrativeContent_37"
"<div></div>","6.5","Preparation, Handling, Storage and Accountability","SECTION 6.5","NarrativeContent","a40bad1e-9ad7-48af-af93-73b19757104d","NarrativeContent_38"
"<div></div>","6.5.1","Preparation of Trial Intervention","SECTION 6.5.1","NarrativeContent","8fb09fd8-fb3e-4020-89ad-5d7bfd6ed292","NarrativeContent_39"
"<div></div>","6.5.2","Handling and Storage of Trial Intervention","SECTION 6.5.2","NarrativeContent","a33b9a73-e528-4b9a-860b-25fc278cd67c","NarrativeContent_40"
"<div></div>","6.5.3","Accountability of Trial Intervention","SECTION 6.5.3","NarrativeContent","3ecef8dc-6962-4543-8f52-9f33063c7f96","NarrativeContent_41"
"<div></div>","6.6","Participant Assignment, Randomisation and Blinding","SECTION 6.6","NarrativeContent","2614681d-d71e-4d57-90ab-74f6ff47d4fe","NarrativeContent_42"
"<div></div>","6.6.1","Participant Assignment","SECTION 6.6.1","NarrativeContent","3fa92d54-fbab-483f-9aaf-487fad591199","NarrativeContent_43"
"<div></div>","6.6.2","Randomisation","SECTION 6.6.2","NarrativeContent","b6a82a61-7d65-4153-a8b3-38ea3fd43685","NarrativeContent_44"
"<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","6.6.3","Blinding and Unblinding","SECTION 6.6.3","NarrativeContent","9227296d-7269-479f-9fb7-649c3212106f","NarrativeContent_45"
"<div></div>","6.7","Trial Intervention Compliance","SECTION 6.7","NarrativeContent","00e9a4f7-e22b-4ba9-97f6-7adeb42a999b","NarrativeContent_46"
"<div></div>","6.8","Concomitant Therapy","SECTION 6.8","NarrativeContent","e8745331-7e21-441e-bc86-70b4434b378e","NarrativeContent_47"
"<div></div>","6.8.1","Prohibited Concomitant Therapy","SECTION 6.8.1","NarrativeContent","4b991b52-ac51-481a-8346-b6d9966f6f57","NarrativeContent_48"
"<div></div>","6.8.2","Permitted Concomitant Therapy","SECTION 6.8.2","NarrativeContent","8896c3a3-2d21-4755-b01f-cdcdb6dcb927","NarrativeContent_49"
"<div></div>","6.8.3","Rescue Therapy","SECTION 6.8.3","NarrativeContent","1787953b-d365-4592-88ee-068827db84a9","NarrativeContent_50"
"<div></div>","6.8.4","Other Therapy","SECTION 6.8.4","NarrativeContent","29048802-4c87-442f-9664-2574010f52db","NarrativeContent_51"
"<div></div>","7","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","SECTION 7","NarrativeContent","dcd8a9e1-aed4-4e83-a867-559e86f444e1","NarrativeContent_52"
"<div></div>","7.1","Discontinuation of Trial Intervention","SECTION 7.1","NarrativeContent","cc2b118e-c886-4029-b641-63c8084be197","NarrativeContent_53"
"<div></div>","7.1.1","Criteria for Permanent Discontinuation of Trial Intervention","SECTION 7.1.1","NarrativeContent","6be29ab7-5d10-4569-af20-6faa3f8d1ee4","NarrativeContent_54"
"<div></div>","7.1.2","Temporary Discontinuation or Interruption of Trial Intervention","SECTION 7.1.2","NarrativeContent","bfdbbcd7-7bcf-4d11-97d6-dc601bb092b6","NarrativeContent_55"
"<div></div>","7.1.3","Rechallenge","SECTION 7.1.3","NarrativeContent","5579e958-dfe6-40e9-a282-1be79b327f3b","NarrativeContent_56"
"<div></div>","7.2","Participant Withdrawal from the Trial","SECTION 7.2","NarrativeContent","2f3b2865-7a22-47a1-ae7c-67022d95677c","NarrativeContent_57"
"<div></div>","7.3","Lost to Follow-Up","SECTION 7.3","NarrativeContent","c9868fd8-731d-46ae-8066-1533ca9e8850","NarrativeContent_58"
"<div></div>","7.4","Trial Stopping Rules","SECTION 7.4","NarrativeContent","179b58a8-32c9-4a94-8640-5dfd51db3dd2","NarrativeContent_59"
"<div></div>","8","TRIAL ASSESSMENTS AND PROCEDURES","SECTION 8","NarrativeContent","d7ae5613-5183-4f6f-ba40-78bbf0ac445f","NarrativeContent_60"
"<div></div>","8.1","Screening/Baseline Assessments and Procedures","SECTION 8.1","NarrativeContent","86398a2e-d712-4b95-9189-f95dbfa9302c","NarrativeContent_61"
"<div></div>","8.2","Efficacy Assessments and Procedures","SECTION 8.2","NarrativeContent","d6ff0a59-5706-4fec-8da5-2ad716d63a47","NarrativeContent_62"
"<div></div>","8.3","Safety Assessments and Procedures","SECTION 8.3","NarrativeContent","a6c806ef-3de7-4bf2-af4a-2271da445598","NarrativeContent_63"
