"label","reference","name","instanceType","synonyms","uuid:ID","id"
"Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","BiomedicalConcept","['Temperature']","71cf3b5e-1f20-431f-8217-577168be97f7","BiomedicalConcept_20"
"Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","BiomedicalConcept","['Weight']","cbae5f3f-dba3-40e3-9b7f-9ad44f68fb32","BiomedicalConcept_21"
"Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","BiomedicalConcept","['Height']","1cfdeb65-fab1-4142-bebb-1b77b6d49a9f","BiomedicalConcept_22"
"Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","BiomedicalConcept","['ALT', 'SGPT']","a7bd9b4b-1dd0-4b4e-80c4-2d707164aa8a","BiomedicalConcept_23"
"Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","BiomedicalConcept","['Albumin']","1818024b-1155-46b5-9608-e39e055e7d36","BiomedicalConcept_24"
"Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","BiomedicalConcept","['Alkaline Phosphatase']","1770460b-7c1a-4d82-9e57-ca660a9f9958","BiomedicalConcept_25"
"Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","BiomedicalConcept","['AST', 'SGOT']","796860c0-4cf9-4814-87fe-2fec781c978e","BiomedicalConcept_26"
"Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","BiomedicalConcept","['Creatinine']","33b83b2a-1013-4358-ba0e-6b6d59aaef89","BiomedicalConcept_27"
"Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","BiomedicalConcept","['Potassium', 'K']","f8f4e001-7f94-4642-9155-4f8f94753f92","BiomedicalConcept_28"
"Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","BiomedicalConcept","['Sodium', 'NA']","8263c5b7-742d-4ac9-91f9-a09a35ac01ee","BiomedicalConcept_29"
"Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","Adverse Event","BiomedicalConcept","['Adverse Event Reported Term', 'AETERM']","08a1dd96-f31b-41e3-a98f-7ad60827c1dc","BiomedicalConcept_1"
"Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","BiomedicalConcept","['SYSBP']","ecd8fdca-3dcd-43d8-9cec-03a80359400e","BiomedicalConcept_2"
"Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","BiomedicalConcept","['DIABP']","6fd0e90f-7d2f-492e-a0a2-cba72b104f49","BiomedicalConcept_3"
"Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","BiomedicalConcept","['Temperature']","5c4d80a7-4418-49d6-a996-813b2ec61f01","BiomedicalConcept_4"
"Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","BiomedicalConcept","['Weight']","172d7377-b872-404f-b7ae-49ee2b9e59f1","BiomedicalConcept_5"
"Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","BiomedicalConcept","['Height']","f764fbd0-444e-4973-899b-2f0435274bfe","BiomedicalConcept_6"
"Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","BiomedicalConcept","['ALT', 'SGPT']","b944978c-1159-4454-8987-94cef3e208b9","BiomedicalConcept_7"
"Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","BiomedicalConcept","['Albumin']","acacf5b7-1b32-4366-a7f0-0c72d0687f39","BiomedicalConcept_8"
"Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","BiomedicalConcept","['Alkaline Phosphatase']","645c84cc-acaa-4e12-b732-098bce7a0782","BiomedicalConcept_9"
"Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","BiomedicalConcept","['AST', 'SGOT']","522bc1e7-b039-4ac7-8516-77bd48f83963","BiomedicalConcept_10"
"Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","BiomedicalConcept","['Creatinine']","7d8bcc67-b040-42c3-acf2-e08984fa2f3f","BiomedicalConcept_11"
"Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","BiomedicalConcept","['Potassium', 'K']","ab989633-bdb9-45df-8d53-c9150ee00371","BiomedicalConcept_12"
"Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","BiomedicalConcept","['Sodium', 'NA']","00656ef2-c8b1-4c21-a250-b74a369871be","BiomedicalConcept_13"
"Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","BiomedicalConcept","['SYSBP']","e0371c62-956b-4c3c-8324-47bb591d0608","BiomedicalConcept_14"
"Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","BiomedicalConcept","['DIABP']","db9af972-df74-4cf4-a866-479fee550772","BiomedicalConcept_15"
"Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","Heart Rate","BiomedicalConcept","","8e0ce119-6ac4-4013-971f-61c28ea1c478","BiomedicalConcept_16"
"Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","BiomedicalConcept","['SYSBP']","a8395cfa-263d-4d33-abbb-43fee4a9b5a8","BiomedicalConcept_17"
"Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","BiomedicalConcept","['DIABP']","eae15083-0c7c-4525-8fb4-6bfde7a5dd89","BiomedicalConcept_18"
"Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","Heart Rate","BiomedicalConcept","","2423409f-e2f4-42a5-8107-313110dabf21","BiomedicalConcept_19"
