"datatype","isRequired","label","name","instanceType","uuid:ID","id","isEnabled"
"decimal","True","Vital Signs Result","Vital Signs Result","BiomedicalConceptProperty","9c7e0f81-b4b4-4c31-9303-7599e4ae31d5","BiomedicalConceptProperty_98","True"
"string","True","Unit of Temperature","Unit of Temperature","BiomedicalConceptProperty","adc031da-df3e-41dd-a9b4-50b049c77042","BiomedicalConceptProperty_99","True"
"string","True","Vital Signs Location","Vital Signs Location","BiomedicalConceptProperty","5294cb6f-b20b-4ea2-a11b-d7d70a80cdb0","BiomedicalConceptProperty_100","True"
"decimal","True","Vital Signs Result","Vital Signs Result","BiomedicalConceptProperty","515bfb09-e289-4634-8c69-2c78d705be10","BiomedicalConceptProperty_101","True"
"string","True","Unit of Weight","Unit of Weight","BiomedicalConceptProperty","69b7864a-2cfc-4a8a-bd9a-afedf9fe9053","BiomedicalConceptProperty_102","True"
"decimal","True","Vital Signs Result","Vital Signs Result","BiomedicalConceptProperty","60b585e1-12c7-4607-93e1-d507202cac28","BiomedicalConceptProperty_103","True"
"string","True","Unit of Height","Unit of Height","BiomedicalConceptProperty","fe48af7f-a6c9-4fad-a22e-1c2bd11e4170","BiomedicalConceptProperty_104","True"
"decimal","True","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty","1c94d119-c03f-4021-a6ff-7abe01d9ff44","BiomedicalConceptProperty_105","True"
"boolean","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty","29bc2f08-147e-4100-ae59-944bd6b0c7a8","BiomedicalConceptProperty_106","True"
"string","True","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","6f5727d1-720f-4a53-acd3-239c9c2f4ba6","BiomedicalConceptProperty_107","True"
"string","True","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty","f84d5a55-6a36-4195-ba5d-57e36da9a1fb","BiomedicalConceptProperty_108","True"
"string","True","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty","0cd34c3e-43ae-4375-8b5b-4ff8aa0d6d11","BiomedicalConceptProperty_109","True"
"boolean","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty","5cb935d9-f16e-4df9-ba5e-f5595c4e8565","BiomedicalConceptProperty_110","True"
"string","True","Unit of Concentration","Unit of Concentration","BiomedicalConceptProperty","a3b4550d-312f-45bc-a862-556d34f5039a","BiomedicalConceptProperty_111","True"
"string","True","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty","051b8b54-d257-480d-9204-9a64e022f4f5","BiomedicalConceptProperty_112","True"
"decimal","True","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty","ea84d8bf-b6d3-42d1-959d-f116b6bc55fe","BiomedicalConceptProperty_113","True"
"boolean","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty","ff9f2167-0af2-40f6-951f-1c488c960e6b","BiomedicalConceptProperty_114","True"
"string","True","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","077324f2-2ac2-4fd7-945a-952851784a29","BiomedicalConceptProperty_115","True"
"string","True","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty","339862f4-64b2-4345-b965-eb16a1f07087","BiomedicalConceptProperty_116","True"
"decimal","True","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty","4a2da03c-215a-48b7-af1b-6dfd1e706695","BiomedicalConceptProperty_117","True"
"boolean","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty","f996efba-75f8-4ac1-9df5-fd4eb32bfb28","BiomedicalConceptProperty_118","True"
"string","True","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","da05ecec-e2d7-4c7b-9bc6-478c2da6a984","BiomedicalConceptProperty_119","True"
"string","True","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty","c4c78d9b-88a3-4c3a-80fc-edc024481d65","BiomedicalConceptProperty_120","True"
"string","True","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty","79922781-6feb-48bc-ba30-98159489109c","BiomedicalConceptProperty_121","True"
"boolean","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty","1f312a72-a503-4529-aff4-e4a509ef8a1d","BiomedicalConceptProperty_122","True"
"string","True","Unit of Concentration","Unit of Concentration","BiomedicalConceptProperty","2824af37-c28d-4eb0-8211-eba5272b4a1e","BiomedicalConceptProperty_123","True"
"string","True","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty","a4733ff4-0e75-49b7-8f10-bb68019c5d3d","BiomedicalConceptProperty_124","True"
"decimal","True","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty","e0f72b17-b98b-4031-94c0-0c2b4abee808","BiomedicalConceptProperty_125","True"
"boolean","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty","59bb918a-4271-4ca6-a7e1-977a9c017286","BiomedicalConceptProperty_126","True"
"string","True","Molarity Unit","Molarity Unit","BiomedicalConceptProperty","f5a2a7e2-52a1-4d49-9111-8f64b3ff3198","BiomedicalConceptProperty_127","True"
"string","True","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty","2b9970a8-5c8e-49a2-98af-b0d63c54c0aa","BiomedicalConceptProperty_128","True"
"decimal","True","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty","e2f752c1-08fc-4f79-8b2e-7183a19c1fb7","BiomedicalConceptProperty_129","True"
"boolean","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty","19a602f6-793e-48ed-8719-20ec31cc90d0","BiomedicalConceptProperty_130","True"
"string","True","Molarity Unit","Molarity Unit","BiomedicalConceptProperty","9376d1ca-830f-4994-b4db-847015b693bb","BiomedicalConceptProperty_131","True"
"string","True","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty","f1586b03-9f8d-4cfd-990d-02a73b569104","BiomedicalConceptProperty_132","True"
"string","True","Adverse Event Verbatim Description","Adverse Event Verbatim Description","BiomedicalConceptProperty","7e4539a4-e116-4cea-b616-b05b7ecb05af","BiomedicalConceptProperty_1","True"
"string","True","Adverse Event Dictionary Derived Term","Adverse Event Dictionary Derived Term","BiomedicalConceptProperty","6c54095b-087b-46a8-9ed9-42803134fcf2","BiomedicalConceptProperty_2","True"
"string","True","Adverse Event Category","Adverse Event Category","BiomedicalConceptProperty","339a8169-c677-4329-99a7-725b7f179f4a","BiomedicalConceptProperty_3","True"
"string","True","Adverse Event Subcategory","Adverse Event Subcategory","BiomedicalConceptProperty","a6f6f992-39d1-4b53-bbea-5c51d029fde4","BiomedicalConceptProperty_4","True"
"boolean","True","Adverse Event Pre-specified","Adverse Event Pre-specified","BiomedicalConceptProperty","dad590d1-437c-4d91-b56e-09b1420eec7c","BiomedicalConceptProperty_5","True"
"string","True","Severity of Adverse Event","Severity of Adverse Event","BiomedicalConceptProperty","c01ea1bb-cd42-46e0-99a1-58f0ec630fb9","BiomedicalConceptProperty_6","True"
"string","True","Adverse Event Toxicity Grade","Adverse Event Toxicity Grade","BiomedicalConceptProperty","a5a0b1bb-ca2e-4d85-9eaa-a38f640093ce","BiomedicalConceptProperty_7","True"
"boolean","True","Seriousness of Adverse Event","Seriousness of Adverse Event","BiomedicalConceptProperty","0f904b28-ec55-4b6c-b30a-35a5e283a671","BiomedicalConceptProperty_8","True"
"string","True","Adverse Event Action Taken with Study Treatment","Adverse Event Action Taken with Study Treatment","BiomedicalConceptProperty","4c27ef62-2d50-444a-a746-620f70858c1c","BiomedicalConceptProperty_9","True"
"string","True","Adverse Event Attribution to Product or Procedure","Adverse Event Attribution to Product or Procedure","BiomedicalConceptProperty","b74faba1-8cfa-4e1e-bf10-dbedc2384bcb","BiomedicalConceptProperty_10","True"
"string","True","Adverse Event Pattern","Adverse Event Pattern","BiomedicalConceptProperty","eaa12fe4-d129-4897-addd-1123713b4e9e","BiomedicalConceptProperty_11","True"
"string","True","Adverse Event Outcome","Adverse Event Outcome","BiomedicalConceptProperty","34ce2d8e-d193-4909-9dd9-517a5b821e82","BiomedicalConceptProperty_12","True"
"datetime","True","Adverse Event Start Date Time","Adverse Event Start Date Time","BiomedicalConceptProperty","0a12ce24-745b-4b60-a0da-9f64b9a5073c","BiomedicalConceptProperty_13","True"
"datetime","True","Adverse Event End Date Time","Adverse Event End Date Time","BiomedicalConceptProperty","fa15c9fa-25e3-461c-a123-578ecdf3d786","BiomedicalConceptProperty_14","True"
"decimal","True","Vital Signs Result","Vital Signs Result","BiomedicalConceptProperty","bebacf97-4639-4749-bdaa-4fd52baee247","BiomedicalConceptProperty_15","True"
