"label","windowUpper","windowLower","window","name","instanceType","value","description","uuid:ID","id"
"Screening","","","","TIM1","Timing","P2W","Screening timing","e474c136-67ca-4a68-a80c-eead33081a9e","Timing_1"
"Pre dose","PT0H","PT4H","-4..0 hours","TIM2","Timing","P2D","Pre dose timing","d2083975-1f9c-48fb-9719-6c6f064e9b95","Timing_2"
"Dosing","","","","TIM3","Timing","P1D","Dosing anchor","ca35d485-1836-40c0-954b-8ddb4d7db953","Timing_3"
"Week 2","P3D","P3D","-3..3 days","TIM4","Timing","P2W","Week 2 timing","badd9040-c255-46ee-b170-1e68f5019091","Timing_4"
"Week 4","P3D","P3D","-3..3 days","TIM5","Timing","P4W","Week 4 timing","43ed52d2-cb30-4dde-89f8-3f7dbdd972b9","Timing_5"
"Week 6","P3D","P3D","-3..3 days","TIM6","Timing","P6W","Week 6 timing","0f3f5956-ee77-4abb-a887-fd0b4a4d6957","Timing_6"
"Week 8","P3D","P3D","-3..3 days","TIM7","Timing","P8W","Week 8 timing","e8ded627-afc1-43cf-b0cd-1b96eb9cf30a","Timing_7"
"Week 12","P4D","P4D","-4..4 days","TIM9","Timing","P12W","Week 12 timing","deef307e-e91c-4324-b80f-b641943f72a6","Timing_9"
"Week 16","P4D","P4D","-4..4 days","TIM11","Timing","P16W","Week 16 timing","47cdd724-7496-428f-8586-6042ee2e1cfb","Timing_11"
"Week 20","P4D","P4D","-4..4 days","TIM13","Timing","P20W","Week 20 timing","9916e685-9de3-4e2b-bc43-0cc48303a41a","Timing_13"
"Week 24","P4D","P4D","-4..4 days","TIM15","Timing","P24W","Week 24 timing","41b3dad8-736e-43b8-ab70-8d0f6eba37f6","Timing_15"
"Week 26","P3D","P3D","-3..3 days","TIM16","Timing","P26W","Week 26 timing","a14bc133-8a5e-499b-9114-4134fe5b0e50","Timing_16"
"Week 8 Home","","","","TIM8","Timing","P2W","Week 8 at home timing","57f6b089-004a-4419-a731-fa72259de2b0","Timing_8"
"Week 12 Home","","","","TIM10","Timing","P2W","Week 12 at home timing","e11333e8-cbf2-49b3-a0a1-b95ee162d644","Timing_10"
"Week 16 Home","","","","TIM12","Timing","P2W","Week 16 at home timing","b538460a-3cd7-4221-9baf-7c7222f805b5","Timing_12"
"Week 20 Home","","","","TIM14","Timing","P2W","Week 20 at home timing","5fe2a0aa-ab4b-42ae-b6ec-de9772a751c5","Timing_14"
"Adverse Event","","","","TIM17","Timing","P1D","Adverse Event","44e4ee36-f556-4a9b-abe9-88a893c64d99","Timing_17"
"Early Termination","","","","TIM18","Timing","P1D","Early Termination","785b686a-b473-40f6-9bf8-e8c510026409","Timing_18"
"Supine","","","","TIM19","Timing","PT0M","Supine","07738fdd-8798-483f-9e62-cd1f3191e970","Timing_19"
"VS while supine","","","","TIM20","Timing","PT5M","VS while supine","807e1c4e-6daa-41f5-b215-18d53179fca9","Timing_20"
"Standing","","","","TIM21","Timing","PT0M","Standing","de08c803-1dce-4d86-8203-2e37515eb3ac","Timing_21"
"VS while standing","","","","TIM22","Timing","PT1M","VS while standing","ded2318f-33e5-4383-a654-52dd1ca4098a","Timing_22"
"Standing","","","","TIM23","Timing","PT0M","Standing","4d29f429-c018-47e1-8e42-0815739be182","Timing_23"
"VS while standing","","","","TIM24","Timing","PT2M","VS while standing","3b3acd5c-f7bf-4492-bb49-8ff4e447da2d","Timing_24"
