"text","name","instanceType","uuid:ID","id"
"Subject identifier","ENCOUNTER_START_RULE_1","TransitionRule","4e5ffa88-5b11-4b65-8a70-c834b2887cae","TransitionRule_1"
"completion of screening activities","ENCOUNTER_START_RULE_1","TransitionRule","dfc40c37-7296-45d5-9501-19b641c997e0","TransitionRule_2"
"subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2","TransitionRule","227b7336-6c6b-42ab-ba10-04cea32d5ed2","TransitionRule_3"
"subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3","TransitionRule","adac72b6-2559-4ba5-8040-1d078178868f","TransitionRule_4"
"Radomized","ENCOUNTER_START_RULE_3","TransitionRule","219976a1-2561-41b2-aa1d-b9bd77b3ae5a","TransitionRule_5"
"End of treatment","ENCOUNTER_START_RULE_12","TransitionRule","491a126e-cbf6-4626-b4f4-f0c8ba40ad19","TransitionRule_6"
"Informed consent","ELEMENT_START_RULE_1","TransitionRule","b0afbc0e-91df-4e94-9507-40b1ca722d3b","TransitionRule_7"
"Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1","TransitionRule","ee860f3d-740d-40ae-b30d-4d1a87fd1616","TransitionRule_8"
"Administration of first dose","ELEMENT_START_RULE_2","TransitionRule","1a6f8d41-2a40-4e40-8dd3-b909ee517a31","TransitionRule_9"
"End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7","TransitionRule","7163158b-6f32-4a4e-b474-b554a6122fb0","TransitionRule_14"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7","TransitionRule","8ba224e5-94cd-4822-bcdf-122e9da6af52","TransitionRule_15"
"Administration of first dose","ELEMENT_START_RULE_3","TransitionRule","c02e22d0-a59a-4e19-b583-6c5420733b6c","TransitionRule_10"
"Randomized","ELEMENT_START_RULE_4","TransitionRule","89a8e302-35fd-4ad7-9c1e-53e848ee906f","TransitionRule_11"
"Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5","TransitionRule","456b0b8c-13f8-4688-96e2-6062f3eb3c54","TransitionRule_12"
"Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6","TransitionRule","a3f9c90a-8569-43f6-b4bc-b18f3ffa4f91","TransitionRule_13"
