"uuid:ID","id","sectionTitle","name","text","sectionNumber"
"ba1522ad-a13d-44ff-a04f-0b3db9d35177","NarrativeContent_1","Root","ROOT","","0"
"6b5db1bc-e08a-4457-8ab5-6f7a694d3ca7","NarrativeContent_2","TITLE PAGE","SECTION 0","<div><usdm:section name=""M11-title-page""></div>","0"
"d9f02065-596a-4718-8ac6-d4173b2d866b","NarrativeContent_3","PROTOCOL SUMMARY","SECTION 1","<div></div>","1"
"82b84230-b7c9-4ef1-b504-a99368f250f8","NarrativeContent_4","Protocol Synopsis","SECTION 1.1","<div></div>","1.1"
"477274bc-afe3-47f3-86d4-ccd455833291","NarrativeContent_5","Trial Schema","SECTION 1.2","<div></div>","1.2"
"f4247531-4afc-46c2-8db6-79ec62aa609f","NarrativeContent_6","Schedule of Activities","SECTION 1.3","<div></div>","1.3"
"c562392f-93f9-43cb-bfb0-5220211aa824","NarrativeContent_7","INTRODUCTION","SECTION 2","<div></div>","2"
"93e3c81b-b432-4a50-bc65-04d54c17e8cf","NarrativeContent_8","Purpose of Trial","SECTION 2.1","<div></div>","2.1"
"6d03ee11-c27b-4f53-814d-588b8eb071f9","NarrativeContent_9","Summary of Benefits and Risks","SECTION 2.2","<div></div>","2.2"
"8e4318ca-a340-4b1d-8929-300a9046a93f","NarrativeContent_10","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","<div></div>","3"
"f8eea7c4-3b46-4686-9a3f-28357bcf5a35","NarrativeContent_11","Primary Objectives","SECTION 3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","3.1"
"fe373042-7135-4773-9fb4-1914e2bebab4","NarrativeContent_12","TRIAL DESIGN","SECTION 4","<div></div>","4"
"26cc1189-0862-41f7-9a7f-81cf119ecfd8","NarrativeContent_13","Description of Trial Design","SECTION 4.1","<div></div>","4.1"
"fbde54ad-9ffa-4c7b-a9e9-60840908a688","NarrativeContent_14","Participant Input into Design","SECTION 4.1.1","<div></div>","4.1.1"
"f14c45f9-d43e-41fe-ae8e-ac4d1628eccc","NarrativeContent_15","Rationale for Trial Design","SECTION 4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","4.2"
"93b7dbab-3ac5-4b85-a7eb-4f8edb884eb5","NarrativeContent_16","Rationale for Comparator","SECTION 4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","4.2.1"
"4facd8f4-6c6f-4466-8a9b-e2bfc56770d1","NarrativeContent_17","Rationale for Adaptive or Novel Trial Design","SECTION 4.2.2","<div></div>","4.2.2"
"d0299da4-3aee-4782-beaf-4e0b690c4cc0","NarrativeContent_18","Other Trial Design Considerations","SECTION 4.2.3","<div></div>","4.2.3"
"395824ab-c95d-439f-a107-652412d83d26","NarrativeContent_19","Access to Trial Intervention After End of Trial","SECTION 4.3","<div></div>","4.3"
"afbc77b8-801a-4e65-8683-81500c88d5d0","NarrativeContent_20","Start of Trial and End of Trial","SECTION 4.4","<div></div>","4.4"
"4618607d-1a10-4ecf-ac4d-6965f7db0a72","NarrativeContent_21","TRIAL POPULATION","SECTION 5","<div></div>","5"
