"description","uuid:ID","label","id","name"
"Screening encounter","537d0e7b-1f2c-4f5f-8cec-b0e825fb4a83","Screening 1","Encounter_1","E1"
"Screening encounter - Ambulatory ECG Placement","034c6c9e-97bb-4e0b-b42d-e4ca6582a0ff","Screening 2","Encounter_2","E2"
"Baseline encounter - Ambulatory ECG Removal","4381ef56-d174-4b80-8cba-76331eb3abdf","Baseline","Encounter_3","E3"
"Day 14","8b1409b0-266d-48c0-ab07-e182341a0e07","Week 2","Encounter_4","E4"
"Day 28","3c4b6409-5bd0-4cfa-9299-2e9132708a6a","Week 4","Encounter_5","E5"
"Day 42","7b181ea6-88e8-41bf-ad35-b807fc213258","Week 6","Encounter_6","E7"
"Day 56","c835cd6d-2eec-4f8c-b145-3f6f599e4842","Week 8","Encounter_7","E8"
"Day 84","1415210b-1a10-4dc1-9bad-3dc3dafda934","Week 12","Encounter_8","E9"
"Day 112","d4ae63a9-56b3-44b4-b446-1216d1c61953","Week 16","Encounter_9","E10"
"Day 140","5a0e064b-3199-4221-a166-bb2367f3c3af","Week 20","Encounter_10","E11"
"Day 168","625c31ea-c3c4-4955-935e-bd97601b456a","Week 24","Encounter_11","E12"
"Day 182","1bd117b6-ff76-4f5e-8d53-c0edb862fc06","Week 26","Encounter_12","E13"
