"isRequired","isEnabled","uuid:ID","label","id","datatype","name"
"True","True","16713378-6ec4-490f-89e7-be46ba968eae","Vital Signs Result","BiomedicalConceptProperty_86","decimal","Vital Signs Result"
"True","True","c0fbc1e7-90b4-4918-878d-a19e3d3a403c","Unit of Temperature","BiomedicalConceptProperty_87","string","Unit of Temperature"
"True","True","7ea098c5-9bf1-4773-a2fb-91799a44f5b3","Vital Signs Location","BiomedicalConceptProperty_88","string","Vital Signs Location"
"True","True","1b06ff78-b43a-4d0b-a537-0e4548b82ce1","Vital Signs Result","BiomedicalConceptProperty_89","decimal","Vital Signs Result"
"True","True","a1f88ae8-bb21-4839-8d70-f72e29607298","Unit of Weight","BiomedicalConceptProperty_90","string","Unit of Weight"
"True","True","b1c44450-4fe4-446a-9053-f4119db77cf9","Vital Signs Result","BiomedicalConceptProperty_91","decimal","Vital Signs Result"
"True","True","223c200b-148c-42b2-9007-d5d5252628b9","Unit of Height","BiomedicalConceptProperty_92","string","Unit of Height"
"True","True","c994476a-63cb-4bdf-9ffc-bf23f6cd031d","Laboratory Test Result","BiomedicalConceptProperty_93","decimal","Laboratory Test Result"
"True","True","2ce67e26-4296-4c4e-8ed5-08b1f3825869","Laboratory Test Fasting Status","BiomedicalConceptProperty_94","boolean","Laboratory Test Fasting Status"
"True","True","a6123e85-d4fb-44f1-b172-1edf9d5d6ea6","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_95","string","Unit of Catalytic Activity Concentration"
"True","True","ce876d27-7ab6-4ec7-ba73-e41b86e65157","Biospecimen Type","BiomedicalConceptProperty_96","string","Biospecimen Type"
"True","True","87f3156b-3d26-4828-ab53-96ba05ed5db8","Laboratory Test Result","BiomedicalConceptProperty_97","string","Laboratory Test Result"
"True","True","ec7aa156-73ce-4dfe-952d-a2c12b7fea5c","Laboratory Test Fasting Status","BiomedicalConceptProperty_98","boolean","Laboratory Test Fasting Status"
"True","True","e2b6df55-b8bf-4c8e-b119-7ec1d8704da2","Unit of Concentration","BiomedicalConceptProperty_99","string","Unit of Concentration"
"True","True","4abd1c8f-5dd0-4113-b76a-ae68fa59f75c","Biospecimen Type","BiomedicalConceptProperty_100","string","Biospecimen Type"
"True","True","8d72f979-db95-4bbf-99f4-6687f40db74f","Laboratory Test Result","BiomedicalConceptProperty_101","decimal","Laboratory Test Result"
"True","True","d5fd08e0-3899-4d2d-87fe-da7c68c70252","Laboratory Test Fasting Status","BiomedicalConceptProperty_102","boolean","Laboratory Test Fasting Status"
"True","True","0b1541a2-c83f-4f6f-b027-6ed014f1da32","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_103","string","Unit of Catalytic Activity Concentration"
"True","True","e9ee41e5-0dac-44b7-8b47-9e88fffe59a2","Biospecimen Type","BiomedicalConceptProperty_104","string","Biospecimen Type"
"True","True","e4e5b27f-f46a-4364-bed7-3ac4e3483c75","Laboratory Test Result","BiomedicalConceptProperty_105","decimal","Laboratory Test Result"
"True","True","ff4cb534-4ed8-486b-9117-f4284307ff46","Laboratory Test Fasting Status","BiomedicalConceptProperty_106","boolean","Laboratory Test Fasting Status"
"True","True","2306e530-718d-4b8d-ac1c-b97bacd85f94","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_107","string","Unit of Catalytic Activity Concentration"
"True","True","1a022975-b17d-4f10-b3bb-b16b4b2c40dd","Biospecimen Type","BiomedicalConceptProperty_108","string","Biospecimen Type"
"True","True","5c102606-d165-4be5-9d88-42e71cad7251","Laboratory Test Result","BiomedicalConceptProperty_109","string","Laboratory Test Result"
"True","True","0a15b3ad-1f43-4b5d-ac0b-20ea5cc8d784","Laboratory Test Fasting Status","BiomedicalConceptProperty_110","boolean","Laboratory Test Fasting Status"
"True","True","e8d6dff7-e65f-46f3-b281-4c8559f0f2a4","Unit of Concentration","BiomedicalConceptProperty_111","string","Unit of Concentration"
"True","True","519277da-dde5-4955-a61f-ce5d761ab1a1","Biospecimen Type","BiomedicalConceptProperty_112","string","Biospecimen Type"
"True","True","a8092e2e-cda7-4588-b04f-74fc3a6bc9b1","Laboratory Test Result","BiomedicalConceptProperty_113","decimal","Laboratory Test Result"
"True","True","1eac4e14-f432-4bfe-8b1d-4d5c8437d03d","Laboratory Test Fasting Status","BiomedicalConceptProperty_114","boolean","Laboratory Test Fasting Status"
"True","True","0f02ed1d-c4b7-426e-8d8e-7d3fb617bf84","Molarity Unit","BiomedicalConceptProperty_115","string","Molarity Unit"
"True","True","856e2ff0-5982-4a9e-b4ec-5181e91de423","Biospecimen Type","BiomedicalConceptProperty_116","string","Biospecimen Type"
"True","True","df1608a4-ad0a-45d7-90ac-5ec6e509a57e","Laboratory Test Result","BiomedicalConceptProperty_117","decimal","Laboratory Test Result"
"True","True","4c480d3f-8f42-4d70-8b17-c7f8017638c1","Laboratory Test Fasting Status","BiomedicalConceptProperty_118","boolean","Laboratory Test Fasting Status"
"True","True","b1f42d0f-7344-4ce9-96b7-46045bdf406c","Molarity Unit","BiomedicalConceptProperty_119","string","Molarity Unit"
"True","True","5560078c-aac3-4796-83ec-049d9f059e26","Biospecimen Type","BiomedicalConceptProperty_120","string","Biospecimen Type"
"True","True","e6e15217-b5ec-44cc-8504-f7090e1601f6","Adverse Event Verbatim Description","BiomedicalConceptProperty_1","string","Adverse Event Verbatim Description"
"True","True","043f3234-6f6b-4657-9499-69b3b64835fe","Adverse Event Dictionary Derived Term","BiomedicalConceptProperty_2","string","Adverse Event Dictionary Derived Term"
"True","True","34452158-3d48-4bb3-8b7f-91720f966b8a","Adverse Event Category","BiomedicalConceptProperty_3","string","Adverse Event Category"
"True","True","3be26f39-d91e-4637-a280-3290d0bbe4fb","Adverse Event Subcategory","BiomedicalConceptProperty_4","string","Adverse Event Subcategory"
"True","True","96741b8c-87ae-4f1c-b1af-fa2e20e600e3","Adverse Event Pre-specified","BiomedicalConceptProperty_5","boolean","Adverse Event Pre-specified"
"True","True","ccdf1c17-2904-4d33-a49a-bb511a8a4d3a","Severity of Adverse Event","BiomedicalConceptProperty_6","string","Severity of Adverse Event"
"True","True","cbd3ed48-d1f8-4df2-be23-22e340210196","Adverse Event Toxicity Grade","BiomedicalConceptProperty_7","string","Adverse Event Toxicity Grade"
"True","True","4a8d491d-9979-4505-b7a1-66b204e95444","Seriousness of Adverse Event","BiomedicalConceptProperty_8","boolean","Seriousness of Adverse Event"
"True","True","54930bc5-7963-4ce6-adbd-2cb19d90cd0e","Adverse Event Action Taken with Study Treatment","BiomedicalConceptProperty_9","string","Adverse Event Action Taken with Study Treatment"
"True","True","6256a243-72d5-4c7f-b310-ad2d6695c2ec","Adverse Event Attribution to Product or Procedure","BiomedicalConceptProperty_10","string","Adverse Event Attribution to Product or Procedure"
"True","True","b7c87cbd-15d1-47dd-b26e-6e9a9948669c","Adverse Event Pattern","BiomedicalConceptProperty_11","string","Adverse Event Pattern"
"True","True","d84f4e18-db76-44e4-bad2-6a831c952ebf","Adverse Event Outcome","BiomedicalConceptProperty_12","string","Adverse Event Outcome"
"True","True","491ae94f-55cf-460e-9d8a-96646e81dc91","Adverse Event Start Date Time","BiomedicalConceptProperty_13","datetime","Adverse Event Start Date Time"
"True","True","8d4bf34b-aea6-43c3-9f20-887e9b5e8fab","Adverse Event End Date Time","BiomedicalConceptProperty_14","datetime","Adverse Event End Date Time"
"True","True","0fa6b2bd-4925-43c5-b113-067cb5c92062","Vital Signs Result","BiomedicalConceptProperty_15","decimal","Vital Signs Result"
"True","True","f9ef5e3a-9a42-4018-ae96-148e1a401fa6","Unit of Pressure","BiomedicalConceptProperty_16","string","Unit of Pressure"
"True","True","323e5bbb-6f7d-4b8d-8231-078faa6f4f2e","Vital Signs Location","BiomedicalConceptProperty_17","string","Vital Signs Location"
"True","True","5826ec45-cd4d-4811-928d-474e19c38a67","Vital Signs Laterality","BiomedicalConceptProperty_18","string","Vital Signs Laterality"
"True","True","d8c2e1d4-f9c2-4f4e-9c81-5013f4b33ff4","Test Method","BiomedicalConceptProperty_19","string","Test Method"
"True","True","9937c458-1d26-4b9e-a144-767455ffb6d2","Vital Signs Position","BiomedicalConceptProperty_20","string","Vital Signs Position"
