"window","description","value","label","uuid:ID","id","name","windowLower","windowUpper"
"","Screening timing","P2W","Screening","35d78049-7811-4bf1-b64e-439516b6769f","Timing_1","TIM1","",""
"-4..0 hours","Pre dose timing","P2D","Pre dose","231b5af4-e8fc-470c-b2fc-d0863c8459b0","Timing_2","TIM2","PT4H","PT0H"
"","Dosing anchor","P1D","Dosing","5c4a069a-506c-48d7-87ad-9b617549bd28","Timing_3","TIM3","",""
"-3..3 days","Week 2 timing","P2W","Week 2","17a1a446-61e7-497b-8185-32802c256aae","Timing_4","TIM4","P3D","P3D"
"-3..3 days","Week 4 timing","P4W","Week 4","c1b85730-eac7-41ef-bf7e-181d0edf9f38","Timing_5","TIM5","P3D","P3D"
"-3..3 days","Week 6 timing","P6W","Week 6","00f41503-b84f-4561-83be-f8ee0fafe15b","Timing_6","TIM6","P3D","P3D"
"-3..3 days","Week 8 timing","P8W","Week 8","74f4377c-66a9-47f4-b5bb-122aedd167a7","Timing_7","TIM7","P3D","P3D"
"","Week 8 at home timing","P2W","Week 8 Home","d9071eb5-f4ff-4b5d-bbc8-c4803d06a944","Timing_8","TIM8","",""
"-4..4 days","Week 12 timing","P12W","Week 12","37b230b0-a891-4052-bab2-03f63588d73a","Timing_9","TIM9","P4D","P4D"
"","Week 12 at home timing","P2W","Week 12 Home","09f5429d-9149-4817-a88a-a716796c44e4","Timing_10","TIM10","",""
"-4..4 days","Week 16 timing","P16W","Week 16","7ad8acbe-a0bf-4812-9677-5f7b95a200f6","Timing_11","TIM11","P4D","P4D"
"","Week 16 at home timing","P2W","Week 16 Home","266216f2-0b95-4cc3-b95c-11530115ded2","Timing_12","TIM12","",""
"-4..4 days","Week 20 timing","P20W","Week 20","cbcc5715-b315-4ab1-b178-3608a7090554","Timing_13","TIM13","P4D","P4D"
"","Week 20 at home timing","P2W","Week 20 Home","0387e979-06cc-4c1b-8fcf-6cc066ef12fd","Timing_14","TIM14","",""
"-4..4 days","Week 24 timing","P24W","Week 24","fe5233da-ce1f-4c87-b8cf-2600822d897a","Timing_15","TIM15","P4D","P4D"
"-3..3 days","Week 26 timing","P26W","Week 26","7646d1bd-5476-4a93-9415-902d9ff29d36","Timing_16","TIM16","P3D","P3D"
"","Adverse Event","P1D","Adverse Event","4beb7830-c880-4c54-aa95-434ea91ab577","Timing_17","TIM17","",""
"","Early Termination","P1D","Early Termination","30cca477-72db-49ed-a074-e50e868fac07","Timing_18","TIM18","",""
"","BP Anchor","PT0M","BP Anchor","bf05a1e8-eddb-4467-af23-970e9f608ba3","Timing_19","TIM19","",""
"","BP while Supine","PT5M","BP while Supine","f2e97e87-4a4a-4dca-aa39-43d22eaa1a1a","Timing_20","TIM20","",""
"-2..0 min","BP Stand Up","PT3M","BP Stand Up","83092fd9-72a7-4539-9ae1-0a561d4628a0","Timing_21","TIM21","PT2M","PT0M"
"","BP while standing","PT0M","BP while standing","b3b92ca0-deb5-48c9-a5d2-e3abc90b56b3","Timing_22","TIM22","",""
