"purpose","description","name","label","id","text","instanceType","uuid:ID"
"","","END1","","Endpoint_1","Clinical status assessed using a 7-category ordinal scale at Day 28","ENDPOINT","517a0423-8a73-45e3-8758-1819d0a71d32"
"","","END2","","Endpoint_2","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours","ENDPOINT","aecd1e46-af83-48ee-a9d7-ca46e4a60827"
"","","END3","","Endpoint_3","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status","ENDPOINT","60fcd38a-4f00-4119-b141-3ce215411cbb"
"","","END4","","Endpoint_4","Incidence of mechanical ventilation","ENDPOINT","dd78aef0-b4d3-4d44-996b-fc81a2930a78"
"","","END5","","Endpoint_5","Ventilator-free days to Day 28","ENDPOINT","5510f27b-f49e-4d47-8717-38b43c1cac43"
"","","END6","","Endpoint_6","Incidence of intensive care unit (ICU) stay","ENDPOINT","97398c98-95b5-454e-8f88-0c24b0bb4f00"
"","","END7","","Endpoint_7","Duration of ICU stay","ENDPOINT","75a9574f-e183-47c9-b718-35a0ea01c37f"
"","","END8","","Endpoint_8","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.","ENDPOINT","3e49481e-ed3e-4273-9bea-7319a5ba1946"
"","","END9","","Endpoint_9","Mortality rate at Days 7, 14, 21, 28, and 60","ENDPOINT","004ad884-b208-4646-8445-f357a9d3dbb0"
"","","END10","","Endpoint_10","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)","ENDPOINT","7f3dde20-4e99-43b9-95f4-f077d5a09687"
"","","END11","","Endpoint_11","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen","ENDPOINT","9306a19e-c68b-4ccf-bc2e-b8da0c358b4d"
"","","END12","","Endpoint_12","Duration of supplemental oxygen","ENDPOINT","dda13faa-af4d-4381-b500-34d748513b00"
