"sectionTitle","name","id","text","uuid:ID","sectionNumber"
"Root","ROOT","NarrativeContent_1","","04262ec8-cd60-4196-982d-08164c22b1fb","0"
"PROTOCOL SUMMARY","SECTION 1","NarrativeContent_2","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","17db92a4-024a-4f04-939d-a8e2319f55f8","1"
"Protocol Synopsis","SECTION 1.1","NarrativeContent_3","<div></div>","65592c26-567f-45fa-bb29-25d097fce6b6","1.1"
"Trial Schema","SECTION 1.2","NarrativeContent_4","<div></div>","d805e68e-0129-485e-83c1-dc008af5ad35","1.2"
"Schedule of Activities","SECTION 1.3","NarrativeContent_5","<div></div>","7f900e72-5b92-41cb-b71a-d34c413386ae","1.3"
"INTRODUCTION","SECTION 2","NarrativeContent_6","<div></div>","cc40b9a8-e55f-4d23-89da-f923ea5cbcd7","2"
"Purpose of Trial","SECTION 2.1","NarrativeContent_7","<div></div>","1f112a88-a5b4-4822-8d71-3cb9a070506c","2.1"
"Summary of Benefits and Risks","SECTION 2.2","NarrativeContent_8","<div></div>","d89e1827-fefd-40b6-a382-ab4546a1d826","2.2"
"TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","NarrativeContent_9","<div></div>","0550e4cb-3907-4596-b622-7f91e421ebf2","3"
"Primary Objectives","SECTION 3.1","NarrativeContent_10","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","c6d31bd2-5fd5-4a75-95a6-64d1287b6c24","3.1"
"TRIAL DESIGN","SECTION 4","NarrativeContent_11","<div></div>","a9cadc26-e0a2-4e02-9a9c-93f94d89b144","4"
"Description of Trial Design","SECTION 4.1","NarrativeContent_12","<div></div>","a4435c54-cbfb-47fd-b6b9-bd302db0b405","4.1"
"Participant Input into Design","SECTION 4.1.1","NarrativeContent_13","<div></div>","37b994e7-dba8-41a2-8439-f8be9c289e56","4.1.1"
