"name","uuid:ID","id","text"
"ENCOUNTER_START_RULE_1","e11082dd-3d7f-48f1-9c8e-7b119aaa4cc0","TransitionRule_1","Subject identified"
"ENCOUNTER_START_RULE_1","6d7750ed-8201-4536-80e8-5d35d8f31829","TransitionRule_2","IEs passed"
"ENCOUNTER_START_RULE_3","5dbd37e0-084e-4e19-ab11-3a5cd3a634a5","TransitionRule_3","Radomized"
"ELEMENT_START_RULE_1","63340e8a-ecbe-4788-b2a3-c12c0fea0581","TransitionRule_4","Study Start"
"ELEMENT_END_RULE_1","9c3e8108-08cd-4013-89e9-ad968effff87","TransitionRule_5","Screened"
"ELEMENT_START_RULE_2","c55b6edc-fc1f-437c-82a8-a0191c15e506","TransitionRule_6","Screened"
"ELEMENT_END_RULE_2","ac7237a5-25e6-458b-b0fc-8f00d01062b6","TransitionRule_7","Radomized"
"ELEMENT_START_RULE_3","9967e83b-b66c-430f-a129-622248c73af5","TransitionRule_8","Radomized"
"ELEMENT_END_RULE_3","c3824190-945e-4850-ae74-4bec0fb87d3f","TransitionRule_9","Completed treatment 1"
"ELEMENT_START_RULE_5","b5b71cc8-1870-4244-9135-0ff736514056","TransitionRule_12","Radomized"
"ELEMENT_END_RULE_5","685f7ade-2b9c-4d9c-81fa-e9dff50f73eb","TransitionRule_13","Completed treatment 2"
"ELEMENT_START_RULE_4","52038b28-2239-45b5-87c2-8e08fc567365","TransitionRule_10","Treated"
"ELEMENT_END_RULE_4","e2f92f61-2d3f-4032-9f68-7e5b457cc0b1","TransitionRule_11","Leave Study"
