"id:ID","uuid","sectionTitle","name","sectionNumber","id","text"
"822","18de840c-c19d-428c-b363-cec9b3def34c","Root","ROOT","0","NarrativeContent_1",""
"823","e336c118-bae0-414c-87ad-a644c927b1e9","TITLE PAGE","SECTION 0","0","NarrativeContent_2","<div><usdm:section name=""M11-title-page""></div>"
"824","139c56cd-54ec-4ca3-a90d-fd4274dab47a","PROTOCOL SUMMARY","SECTION 1","1","NarrativeContent_3","<div></div>"
"825","720337ea-8d5a-4613-b836-e216ab968feb","Protocol Synopsis","SECTION 1.1","1.1","NarrativeContent_4","<div></div>"
"826","bd1293ac-e7db-4a89-aa7b-713c98f7e208","Trial Schema","SECTION 1.2","1.2","NarrativeContent_5","<div></div>"
"827","52041eb6-75d3-4801-8992-10015b10302c","Schedule of Activities","SECTION 1.3","1.3","NarrativeContent_6","<div></div>"
"828","5b0f84ec-57b1-41a3-8adf-7173106b3228","INTRODUCTION","SECTION 2","2","NarrativeContent_7","<div></div>"
"829","f7172d99-5139-482f-b77d-bffcf61a9341","Purpose of Trial","SECTION 2.1","2.1","NarrativeContent_8","<div></div>"
"830","4f0c73e0-2f9f-4c0a-9bbb-ea40fc55acb4","Summary of Benefits and Risks","SECTION 2.2","2.2","NarrativeContent_9","<div></div>"
"831","9d8a414d-3efa-4998-8b31-2c0682942e30","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","3","NarrativeContent_10","<div></div>"
"832","cb400280-aec9-4509-af13-692e415b10d3","Primary Objectives","SECTION 3.1","3.1","NarrativeContent_11","<div><usdm:section name=""M11-objective-endpoints""></div>"
"833","912697ec-fc45-4628-8b56-31b5f5c969db","TRIAL DESIGN","SECTION 4","4","NarrativeContent_12","<div></div>"
"834","afebf067-b8b3-4f04-9982-2cb925f841b3","Description of Trial Design","SECTION 4.1","4.1","NarrativeContent_13","<div></div>"
"835","0dde5147-6bf9-4f5d-9458-a749e5140899","Participant Input into Design","SECTION 4.1.1","4.1.1","NarrativeContent_14","<div></div>"
"836","29e0441b-bd29-49d9-9d4e-1fc4055682d6","Rationale for Trial Design","SECTION 4.2","4.2","NarrativeContent_15","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>"
"837","1c62a3d6-bec5-4bf7-b28e-428735fa8318","Rationale for Comparator","SECTION 4.2.1","4.2.1","NarrativeContent_16","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>"
"838","26f8348e-338e-44f5-bdb8-ee185a90d026","Rationale for Adaptive or Novel Trial Design","SECTION 4.2.2","4.2.2","NarrativeContent_17","<div></div>"
"839","04de29cb-54b8-4266-a276-6de817e530bf","Other Trial Design Considerations","SECTION 4.2.3","4.2.3","NarrativeContent_18","<div></div>"
"840","f2a5ab61-1942-4f08-ae07-a6162648050d","Access to Trial Intervention After End of Trial","SECTION 4.3","4.3","NarrativeContent_19","<div></div>"
"841","f8092a26-4653-4fdc-94b5-cf06a0bffebf","Start of Trial and End of Trial","SECTION 4.4","4.4","NarrativeContent_20","<div></div>"
"842","14154258-8ca9-4937-81c2-0169072315d7","TRIAL POPULATION","SECTION 5","5","NarrativeContent_21","<div></div>"
