"id:ID","timingValue","description","label","timingWindowLower","timingWindowUpper","name","id","timingWindow","uuid"
"766","P2W","Screening timing","Screening","","","TIM1","Timing_1","","a66e59aa-f031-4f63-849e-b707d50a8e3d"
"767","P2D","Pre dose timing","Pre dose","PT4H","PT0H","TIM2","Timing_2","-4..0 hours","13cf03b1-0f9d-4299-bd32-a2ea8fe618c4"
"768","P1D","Dosing anchor","Dosing","","","TIM3","Timing_3","","276b5ba8-9643-4be7-b608-623a69d66ce5"
"769","P2W","Week 2 timing","Week 2","P3D","P3D","TIM4","Timing_4","-3..3 days","df509797-bcda-448a-b4bb-c42ef0dbbb52"
"770","P4W","Week 4 timing","Week 4","P3D","P3D","TIM5","Timing_5","-3..3 days","0c9a5f01-c02f-4804-9fc6-ad8e7df9e638"
"771","P6W","Week 6 timing","Week 6","P3D","P3D","TIM6","Timing_6","-3..3 days","b9726f6b-fe98-460c-8d66-cf6592a4889a"
"772","P8W","Week 8 timing","Week 8","P3D","P3D","TIM7","Timing_7","-3..3 days","abb2005b-7229-4356-9427-a0448738575e"
"773","P2W","Week 8 at home timing","Week 8 Home","","","TIM8","Timing_8","","7d70355a-4215-44c8-a37c-098939bc8ee7"
"774","P12W","Week 12 timing","Week 12","P4D","P4D","TIM9","Timing_9","-4..4 days","9adaa32f-9e22-4f7d-9418-46f94166f74e"
"775","P2W","Week 12 at home timing","Week 12 Home","","","TIM10","Timing_10","","9560bfe3-5af3-44aa-ae6f-d068b82c61aa"
"776","P16W","Week 16 timing","Week 16","P4D","P4D","TIM11","Timing_11","-4..4 days","3688d51d-99f5-4e7c-80b0-8acb15748702"
"777","P2W","Week 16 at home timing","Week 16 Home","","","TIM12","Timing_12","","7b08e87a-b7a2-4fd0-a7a0-bf86b8cc0f1e"
"778","P20W","Week 20 timing","Week 20","P4D","P4D","TIM13","Timing_13","-4..4 days","90d8fc7b-2313-41ad-b6b2-4ede2b9e7f66"
"779","P2W","Week 20 at home timing","Week 20 Home","","","TIM14","Timing_14","","6ec2c8e5-5d03-47f5-aa40-ad493b27e48c"
"780","P24W","Week 24 timing","Week 24","P4D","P4D","TIM15","Timing_15","-4..4 days","c8007a67-4020-44da-80c6-86338d143980"
"781","P26W","Week 26 timing","Week 26","P3D","P3D","TIM16","Timing_16","-3..3 days","51a818ee-0540-4ebe-baf6-57ec66a29eb9"
"782","P1D","Adverse Event","Adverse Event","","","TIM17","Timing_17","","810e9d62-bb11-48f6-98e6-0fd5cedc448d"
"783","P1D","Early Termination","Early Termination","","","TIM18","Timing_18","","93f47ee7-4fb5-4ec5-9e09-09abfd5d77c3"
"784","PT0M","BP Anchor","BP Anchor","","","TIM19","Timing_19","","a06734dd-3a88-484f-b391-d0c4aaa81394"
"785","PT5M","BP while Supine","BP while Supine","","","TIM20","Timing_20","","b2562102-111a-456b-9680-f8a7df389326"
"786","PT3M","BP Stand Up","BP Stand Up","PT2M","PT0M","TIM21","Timing_21","-2..0 mins","20605dc6-8110-465b-96b1-b2ef51b6aff4"
"787","PT0M","BP while standing","BP while standing","","","TIM22","Timing_22","","ab9d185a-e70d-4d5e-9104-88aafb3a1956"
