"id:ID","bcSynonyms","label","name","bcReference","id","uuid"
"690","['Temperature']","Body Temperature","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_18","cb383130-2748-4948-b9f0-68b62881891b"
"691","['Weight']","Body Weight","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_19","49ab5f17-e418-4045-b9d1-29e09d7626f7"
"692","['Height']","Body Height","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_20","dd96a93f-dbd4-419f-80d6-f96fca70119b"
"693","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_21","d96b0256-1956-4e3b-a808-343f7c0c9517"
"694","['Albumin']","Albumin Measurement","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_22","c1f1a990-2d34-486f-a918-7fcc82b75e94"
"695","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_23","2e22f57b-cf0e-49b3-b9e9-0b49b3e9150b"
"696","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_24","c454b3e5-ca3c-42e2-bd3e-b90d1c8e4129"
"697","['Creatinine']","Creatinine Measurement","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_25","2303996c-0e52-4d3c-af75-2a79cd03c1bb"
"698","['Potassium', 'K']","Potassium Measurement","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_26","60320eaf-03f2-465b-ac45-beb5059a282b"
"699","['Sodium', 'NA']","Sodium Measurement","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_27","aecc5e74-4657-4ab9-a7d4-f7205fd4f0b9"
"700","['Adverse Event Reported Term', 'AETERM']","Adverse Event","Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","BiomedicalConcept_1","580ca84d-340e-46a4-83c8-f833083e47e6"
"701","['SYSBP']","Systolic Blood Pressure","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_2","bb3039d2-d930-42a9-aef5-b0ffb9384e2a"
"702","['DIABP']","Diastolic Blood Pressure","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_3","29f9b105-3798-4722-97cf-711969414ea8"
"703","['Temperature']","Body Temperature","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_4","40e8d2bb-7697-4823-a972-d5b7ad9b7f82"
"704","['Weight']","Body Weight","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_5","68917cba-c6f7-4beb-bad9-87a79b651856"
"705","['Height']","Body Height","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_6","c2deb699-c37d-4216-a98e-9191f1b8d49f"
"706","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_7","8a92fe8f-5891-43dd-916c-103eb7be2c7c"
"707","['Albumin']","Albumin Measurement","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_8","7f1bb350-8e18-4b30-97df-502fb6b96a0f"
"708","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_9","aae5a90c-5821-4da5-b362-5f680e2b38c8"
"709","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_10","44c4b0d0-65d3-4c25-98d9-b599455c6c2f"
"710","['Creatinine']","Creatinine Measurement","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_11","264f2397-1d44-419b-8eda-f8fbf9dc6908"
"711","['Potassium', 'K']","Potassium Measurement","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_12","2d70a2d0-2d5b-4ab6-b612-f74117ed0e3d"
"712","['Sodium', 'NA']","Sodium Measurement","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_13","d95a39b6-f378-4c50-a33b-d250979378f8"
"713","['SYSBP']","Systolic Blood Pressure","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_14","0f9c670c-d974-4efb-b857-59e3fa2ada3e"
"714","['DIABP']","Diastolic Blood Pressure","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_15","b5155cbd-14cd-4ef8-88df-4cad32cbb6df"
"715","['SYSBP']","Systolic Blood Pressure","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_16","881e6e85-a6f2-454f-9eb1-3a57e4227cfe"
"716","['DIABP']","Diastolic Blood Pressure","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_17","943075d1-e9ef-4978-923e-7040326775a7"
