"id:ID","code","decode","id","codeSystemVersion","codeSystem","uuid"
"1","C98388","Interventional Study","Code_1","2023-09-29","http://www.cdisc.org","706e7d7f-59f6-46e3-8f9f-443b4ca93ce5"
"2","C15601","Phase II Trial","Code_2","2023-09-29","http://www.cdisc.org","07ba9c24-32f0-486d-ae5b-c61bd178791c"
"3","C132352","Sponsor Approval Date","Code_5","2023-09-29","http://www.cdisc.org","2d1988a3-2fbf-4dcb-8484-0520c2b3cae0"
"4","C68846","Global","Code_6","2023-09-29","http://www.cdisc.org","502a6d4b-0dde-4ce4-b813-676a08048e96"
"5","C99904x3","IRB/IEC Feedback","Code_54","2023-09-29","http://www.cdisc.org","51c7cb44-cde5-452b-b7b8-b906058d47dd"
"6","C17649","Other","Code_55","2023-09-29","http://www.cdisc.org","d23946f7-36a3-4755-b3ed-f922ed1116bc"
"7","C41129","Region","Code_57","2023-09-29","http://www.cdisc.org","e15270de-ac95-49a2-8586-cf6fd2627a0e"
"8","150","Europe","Code_56","2020-08","ISO 3166 1 alpha3","648e8564-ef97-443e-9aa0-7f3ace5807d5"
"9","C25464","Country","Code_59","2023-09-29","http://www.cdisc.org","8301617f-b157-41eb-a17d-8b93a45586f6"
"10","DNK","Denmark","Code_58","2020-08","ISO 3166 1 alpha3","7b4a3819-1db9-4170-a1ca-59e8247af719"
"11","PHARMA","Eli Lilly","Code_3","12","SPONSOR","65de09d2-5422-442f-8491-e0b4c927f83b"
"12","C70793","Clinical Study Sponsor","Code_60","2023-09-29","http://www.cdisc.org","92922a89-edcb-41b5-a40e-a604da4d7b55"
"13","USA","United States of America","Code_61","2020-08","ISO 3166 1 alpha3","feb2c091-fc0b-460b-bb4f-8ca4f5198b7f"
"14","C93453","Study Registry","Code_62","2023-09-29","http://www.cdisc.org","068aaae8-96cd-484d-a453-3398dfe870fd"
"15","C49656","Treatment Study","Code_120","2023-09-29","http://www.cdisc.org","dab8b2b2-fc63-44a6-88cb-6fe8e8c819e6"
"16","C49666","Efficacy Study","Code_121","2023-09-29","http://www.cdisc.org","893b4915-b7ac-4495-b56f-96ed7021d819"
"17","C49667","Safety Study","Code_122","2023-09-29","http://www.cdisc.org","49c64b72-25d2-41b9-a885-9145b7521c8c"
"18","C49663","Pharmacokinetic Study","Code_123","2023-09-29","http://www.cdisc.org","d0178fd7-02c6-4bb4-bcac-06906b0722d4"
"19","MILD_MOD_ALZ","Mild to Moderate Alzheimer\'s Disease","Code_117","12","SPONSOR","cfedd7e6-05d4-4376-b0c9-10eeaff37f16"
"20","26929004","Alzheimer\'s disease","Code_118","January 31, 2018","SNOMED","25019852-2b57-49e4-957a-b77b6a0c8924"
"21","C82639","Parallel Study","Code_124","2023-09-29","http://www.cdisc.org","ec729a7e-0ec2-4df7-b9c5-18b3a50318de"
"22","C25716","Visit","Code_66","2023-09-29","http://www.cdisc.org","417d5198-4709-4b0c-b33e-4faa75e89699"
"23","C51282","Clinic","Code_67","2023-09-29","http://www.cdisc.org","e5444b2c-e1a0-4838-b2d8-5ecaba666f59"
"24","C175574","In Person","Code_68","2023-09-29","http://www.cdisc.org","686e3f3f-c114-41b7-bc12-1863318503c0"
"25","C25716","Visit","Code_69","2023-09-29","http://www.cdisc.org","5cac06f0-b1a7-4678-baa1-1132e31a53eb"
"26","C51282","Clinic","Code_70","2023-09-29","http://www.cdisc.org","8f5793ad-5bf3-4ea2-a20d-e60d74f0578a"
"27","C175574","In Person","Code_71","2023-09-29","http://www.cdisc.org","305b0718-c524-41b6-9eeb-50c34c98eef5"
"28","C25716","Visit","Code_72","2023-09-29","http://www.cdisc.org","c84f9b54-9837-4862-b208-73e8eb4ea737"
"29","C51282","Clinic","Code_73","2023-09-29","http://www.cdisc.org","b5356016-0134-48d6-b694-cf6c68f65159"
"30","C175574","In Person","Code_74","2023-09-29","http://www.cdisc.org","06628603-aba3-444d-a5b4-acc61209cc97"
"31","C25716","Visit","Code_75","2023-09-29","http://www.cdisc.org","62978cd4-f456-44e3-8702-15e047cb39bd"
"32","C51282","Clinic","Code_76","2023-09-29","http://www.cdisc.org","4d73ebf1-e3af-4f79-b3d5-7e3d2f37a71e"
"33","C175574","In Person","Code_77","2023-09-29","http://www.cdisc.org","36d41b25-c71e-43ba-935b-328b403512e5"
"34","C25716","Visit","Code_78","2023-09-29","http://www.cdisc.org","5866e422-7009-4bd6-b19e-e1f74b4dc049"
"35","C51282","Clinic","Code_79","2023-09-29","http://www.cdisc.org","fc38cf07-632e-4dd6-9588-e827a0e85dfc"
"36","C175574","In Person","Code_80","2023-09-29","http://www.cdisc.org","652a6e9d-a26f-406f-aecd-b5b0b9a02771"
"37","C25716","Visit","Code_81","2023-09-29","http://www.cdisc.org","0af15be2-6226-44db-8219-7c96a2115f21"
"38","C51282","Clinic","Code_82","2023-09-29","http://www.cdisc.org","3df74c8c-2a8f-4ebf-a77d-9c2704c4780a"
"39","C175574","In Person","Code_83","2023-09-29","http://www.cdisc.org","20a1ffe2-c6f4-465c-8fb5-9d00fb23267b"
"40","C25716","Visit","Code_84","2023-09-29","http://www.cdisc.org","f6dc2871-c9a6-45fc-b374-a7cc81152c11"
"41","C51282","Clinic","Code_85","2023-09-29","http://www.cdisc.org","0c146198-f40e-46b8-b8a3-d897df251ba7"
"42","C175574","In Person","Code_86","2023-09-29","http://www.cdisc.org","536390b7-49a6-446e-bf0a-75de256b1710"
"43","C171537","Telephone Call","Code_87","2023-09-29","http://www.cdisc.org","b8438170-dd2f-442f-9c2c-1bb92f327666"
"44","C25716","Visit","Code_88","2023-09-29","http://www.cdisc.org","69d1c4d7-5796-4313-ad02-afb94ffb35a8"
"45","C51282","Clinic","Code_89","2023-09-29","http://www.cdisc.org","28a76f74-2517-4a3c-a189-89ad003bf123"
"46","C175574","In Person","Code_90","2023-09-29","http://www.cdisc.org","76010dca-5488-491a-98c8-c1fe1c9138fb"
"47","C171537","Telephone Call","Code_91","2023-09-29","http://www.cdisc.org","b0b9daca-5e0e-417f-8fae-b22d2cbf0f2b"
"48","C25716","Visit","Code_92","2023-09-29","http://www.cdisc.org","77cba5db-bce6-4308-a95a-f631b562f214"
"49","C51282","Clinic","Code_93","2023-09-29","http://www.cdisc.org","85f178a5-c31b-4d6f-8bfd-2cecd36b5a25"
"50","C175574","In Person","Code_94","2023-09-29","http://www.cdisc.org","00bd8bfa-77d5-4e48-8436-b3cf6fdd9bca"
"51","C171537","Telephone Call","Code_95","2023-09-29","http://www.cdisc.org","7a5a62ef-0827-48f9-ac24-7142371fdfd7"
"52","C25716","Visit","Code_96","2023-09-29","http://www.cdisc.org","c22d3b00-155b-477c-8ca9-bb60204dc515"
"53","C51282","Clinic","Code_97","2023-09-29","http://www.cdisc.org","0ccf77bc-30cd-4ba8-bd01-4d4c1c6ccfda"
"54","C175574","In Person","Code_98","2023-09-29","http://www.cdisc.org","84cb3e65-936e-40c4-8a37-89cbd0b9422c"
"55","C171537","Telephone Call","Code_99","2023-09-29","http://www.cdisc.org","848d2c0e-6b36-490d-b1d9-c7c91d59a39e"
"56","C25716","Visit","Code_100","2023-09-29","http://www.cdisc.org","726f799a-283a-4549-b3ad-484a4ed80efb"
"57","C51282","Clinic","Code_101","2023-09-29","http://www.cdisc.org","c8481c36-f9f2-46f6-aef1-5f00d2e096dc"
"58","C175574","In Person","Code_102","2023-09-29","http://www.cdisc.org","bf12756e-cd31-49e7-a5e5-56026c3b7f25"
"59","C25716","Visit","Code_103","2023-09-29","http://www.cdisc.org","30efaf6f-3fe8-4001-8c7f-e4c07ac8fb82"
"60","C51282","Clinic","Code_104","2023-09-29","http://www.cdisc.org","26d0f820-c637-4631-9f58-fb8410008144"
"61","C175574","In Person","Code_105","2023-09-29","http://www.cdisc.org","ce8b9051-5f5f-4773-8d16-0f91c8e23c37"
"62","383371000119108","CT of head without contrast","Code_63","January 31, 2018","SNOMED","27b9134c-43bf-4f4c-aeaa-67c3b30173c0"
"63","123","Supine for 5 minutes","Code_64","12","SPONSOR","b8b0b1e7-3119-4af9-8a04-a7f2dbb448fa"
"64","124","Standingfor 1-3 minutes","Code_65","12","SPONSOR","55aaccf3-2498-4923-bac0-1532c62d4631"
"65","C173522","Vital Signs Result","Code_244","","NCI Thesaurus","fc2071cb-abb1-4c54-91eb-603c712711f0"
"66","C42537","Kelvin","Code_245","2023-09-29","http://www.cdisc.org","7ca1f31b-07ad-4752-a305-fd9f061ae97a"
"67","C44276","Unit of Temperature","Code_246","","NCI Thesaurus","4ed70ec9-957c-4a2b-830d-66014e3449d1"
"68","C83088","Vital Signs Location","Code_247","","NCI Thesaurus","5076c0ea-43c1-4015-91c9-0f1cbbbd1e98"
"69","C174446","Body Temperature","Code_243","","NCI Thesaurus","74296f1b-5d56-489a-b38c-bef4a8de4da4"
"70","C173522","Vital Signs Result","Code_249","","NCI Thesaurus","1b8f3832-fb6c-4b76-96c8-cd528719c152"
"71","C28252","Kilogram","Code_250","2023-09-29","http://www.cdisc.org","ca7a2b52-97d4-4b72-abbc-f3b7e5dce79f"
"72","C48155","Gram","Code_251","2023-09-29","http://www.cdisc.org","1c7dd483-961a-4496-bb78-997999ed7bd8"
"73","C48531","Pound","Code_252","2023-09-29","http://www.cdisc.org","7268f88a-ea84-4755-93c5-26cfb5f55044"
"74","C48208","Unit of Weight","Code_253","","NCI Thesaurus","8b8bbc20-b74e-4e4c-b6e8-f15b9cc77f1c"
"75","C81328","Body Weight","Code_248","","NCI Thesaurus","d42eefe7-0c89-418e-af08-38b4734b79fd"
"76","C173522","Vital Signs Result","Code_255","","NCI Thesaurus","7470f3c3-a9d1-42cd-b9d4-20d5a6a7fcd4"
"77","C49668","Centimeter","Code_256","2023-09-29","http://www.cdisc.org","ade78606-ddbb-499a-a270-82eda90e92ec"
"78","C48500","Inch","Code_257","2023-09-29","http://www.cdisc.org","aba8bb0d-eb71-42d5-adf0-e62265dd7d0c"
"79","C28251","Millimeter","Code_258","2023-09-29","http://www.cdisc.org","2a4ac841-e965-4e56-9e62-5c97b8818ba3"
"80","C41139","Meter","Code_259","2023-09-29","http://www.cdisc.org","13da089f-6e31-48f8-b320-2b28e18b38d7"
"81","C168688","Unit of Height","Code_260","","NCI Thesaurus","49296c24-57a8-4ca4-a8be-de40cc5e488b"
"82","C164634","Body Height","Code_254","","NCI Thesaurus","291485bd-d8ea-4601-a0c9-afa8012068a8"
"83","C36292","Laboratory Test Result","Code_262","","NCI Thesaurus","3eeddca6-c8dc-40ec-a93b-ccb7821bf7e5"
"84","C83309","Laboratory Test Fasting Status","Code_263","","NCI Thesaurus","a09fed3b-3d6e-4aac-a058-c3d5fceb27f1"
"85","C67365","Unit of Catalytic Activity Concentration","Code_264","","NCI Thesaurus","f68f90d9-512f-403a-9e06-1148b590c939"
"86","C70713","Biospecimen Type","Code_265","","NCI Thesaurus","725631af-2840-4fde-b3a0-45da60b4473e"
"87","C64433","Alanine Aminotransferase Measurement","Code_261","","NCI Thesaurus","105487d3-5bf9-4744-b298-e2418bad8d9b"
"88","C36292","Laboratory Test Result","Code_267","","NCI Thesaurus","eebf0eff-f692-41ca-b40d-2380c7ceeed0"
"89","C83309","Laboratory Test Fasting Status","Code_268","","NCI Thesaurus","8f1b62dd-8241-4964-873b-c5f9a0924221"
"90","C48207","Unit of Concentration","Code_269","","NCI Thesaurus","69fb7c9f-0d76-41ed-acba-75761b125831"
"91","C70713","Biospecimen Type","Code_270","","NCI Thesaurus","229716f4-7a11-498f-8f78-f954dbd906ed"
"92","C64431","Albumin Measurement","Code_266","","NCI Thesaurus","8b83fc65-c4a5-4148-9906-48f03420b609"
"93","C36292","Laboratory Test Result","Code_272","","NCI Thesaurus","611c6ba9-43d7-42d6-8428-d459ab411e11"
"94","C83309","Laboratory Test Fasting Status","Code_273","","NCI Thesaurus","171812cc-0622-4888-9568-6145136ab405"
