"id","instanceType","uuid:ID","name","label","reference","synonyms"
"BiomedicalConcept_20","BiomedicalConcept","c0d86aed-bb2e-4635-b476-6c7694556ca9","Informed Consent Obtained","Informed Consent Obtained","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","['Informed Consent Obtained', 'Informed Consent']"
"BiomedicalConcept_21","BiomedicalConcept","15b7b1bf-3fa6-4c78-864b-3cf204e245b9","Sex","Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421",""
"BiomedicalConcept_22","BiomedicalConcept","7e97ed97-d77b-4da2-86cc-310d45fd0f89","Race","Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","['Racial Group']"
"BiomedicalConcept_23","BiomedicalConcept","8c6c1332-1301-4894-a1cf-3ccbf97ef233","Temperature","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']"
"BiomedicalConcept_24","BiomedicalConcept","65ed7352-a97e-4ea2-b131-bc4d9e7392e9","Weight","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']"
"BiomedicalConcept_25","BiomedicalConcept","a36e407b-a753-4e1a-8093-c16654b09777","Height","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']"
"BiomedicalConcept_26","BiomedicalConcept","6e302d79-eaad-49fc-af3a-180cf8cccee0","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"BiomedicalConcept_27","BiomedicalConcept","f449102e-9686-4753-b0b6-38f1fb16a11c","Albumin Presence in Urine","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']"
"BiomedicalConcept_28","BiomedicalConcept","77bf9ca9-fda0-4ee4-8b36-1c8a56b718d2","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"BiomedicalConcept_29","BiomedicalConcept","9a10328b-c3c7-45dd-becb-61c96d6a61b8","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"BiomedicalConcept_30","BiomedicalConcept","521cefed-974c-4641-b608-54b6da80bc59","Creatinine Concentration in Urine","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']"
"BiomedicalConcept_31","BiomedicalConcept","02b8457c-4950-4389-b046-17bf5df5cfa8","Potassium Concentration in Urine","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']"
