"id","purpose","text","instanceType","uuid:ID","name","label","description"
"Endpoint_1","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint","aaccaf3e-87ca-43c3-9de9-6b8476f0ea38","END1","",""
"Endpoint_2","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint","32c23498-7846-4a48-88ee-8c97c7196801","END2","",""
"Endpoint_3","","Adverse events","Endpoint","6476eb1b-eec2-486d-b183-e4f8ca8414c0","END3","",""
"Endpoint_4","","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint","aa41cc30-dbf3-43ef-9a82-6a20c82a81ad","END4","",""
"Endpoint_5","","Laboratory evaluations (Change from Baseline)","Endpoint","4637ff0f-eb5e-468b-9594-cc7b42bb6c0b","END5","","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation"
"Endpoint_6","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint","ab32f4e9-63b5-470d-9e92-a5b27ce37f59","END6","",""
"Endpoint_7","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint","39b05fc9-c0ae-4cab-b8db-95fda53a0f75","END7","",""
"Endpoint_8","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint","823f11b5-db51-4679-a0ce-e9bb9ca68341","END8","",""
"Endpoint_9","","*** To be determined from protocol ***","Endpoint","e171c1f0-11a8-4f25-9ed6-f4f1abb5c487","END9","",""
"Endpoint_10","","*** To be determined from protocol ***","Endpoint","bde5908f-871b-44ff-ab05-0a4650e5db9c","END10","",""
"Endpoint_11","","*** To be determined from protocol ***","Endpoint","692ba32b-9b50-4512-96fb-c567a0d4cbc5","END11","",""
