"id","text","instanceType","uuid:ID","name"
"TransitionRule_1","Subject identifier","TransitionRule","9ba3275f-936d-46a1-bc0e-8ab88c22c1e1","ENCOUNTER_START_RULE_1"
"TransitionRule_2","completion of screening activities","TransitionRule","c7231d14-e371-44b2-ad5e-3cb3e62e17cd","ENCOUNTER_START_RULE_1"
"TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","bed750c6-0559-47ac-a5c6-6f7e8789b96b","ENCOUNTER_START_RULE_2"
"TransitionRule_4","subject has connection of ambulatory ECG machine removed","TransitionRule","c15c6185-0b3b-49a7-b586-00efd3fb033a","ENCOUNTER_START_RULE_3"
"TransitionRule_5","Radomized","TransitionRule","d105082d-1edc-4679-8f50-7dc43592c62b","ENCOUNTER_START_RULE_3"
"TransitionRule_6","End of treatment","TransitionRule","d62992d6-0eea-409f-9e1f-fad0b16d9694","ENCOUNTER_START_RULE_12"
"TransitionRule_7","Informed consent","TransitionRule","aff96a98-1abb-4d01-9b84-760bb6e1b76f","ELEMENT_START_RULE_1"
"TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","bc6e1604-9933-4eff-9015-afde4e7962de","ELEMENT_END_RULE_1"
"TransitionRule_9","Administration of first dose","TransitionRule","31d5b1c4-9084-4137-a715-e6bff476d038","ELEMENT_START_RULE_2"
"TransitionRule_14","End of last scheduled visit on study (including early termination)","TransitionRule","199cf74c-a806-4242-b41f-1cb0e630a5ba","ELEMENT_START_RULE_7"
"TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","934d865f-8de0-4564-ad25-223687354770","ELEMENT_END_RULE_7"
"TransitionRule_10","Administration of first dose","TransitionRule","72c003fa-5a26-4ecb-9e50-3e8ccbfc0c38","ELEMENT_START_RULE_3"
"TransitionRule_11","Randomized","TransitionRule","d9b2bf00-fe06-46d2-895a-e06521a16da2","ELEMENT_START_RULE_4"
"TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","TransitionRule","22819eab-c064-4172-a440-451d0a7e0727","ELEMENT_START_RULE_5"
"TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","TransitionRule","9cc50ce9-b6d5-460a-b5df-30628dfcef77","ELEMENT_START_RULE_6"
