"id","instanceType","uuid:ID","name","label","description"
"ScheduledActivityInstance_9","ScheduledActivityInstance","c6558042-0373-4410-8f4a-188bf387df60","SCREEN1","Screen One","-"
"ScheduledActivityInstance_10","ScheduledActivityInstance","f778456b-cf37-4aff-a6b3-ba1ba36bd4bf","SCREEN2","Screen Two","-"
"ScheduledActivityInstance_11","ScheduledActivityInstance","5bf47094-95f9-4886-9c30-6886a5ad37b4","DOSE","Dose","-"
"ScheduledActivityInstance_12","ScheduledActivityInstance","b27109ed-b59f-413c-b014-26443c0dbbfe","WK2","Week 2","-"
"ScheduledActivityInstance_13","ScheduledActivityInstance","3ebf806a-c981-49ba-8a51-cadd3f219868","WK4","Week 4","-"
"ScheduledActivityInstance_14","ScheduledActivityInstance","30b779c5-eee7-4e5e-85c8-7bb00a892f0c","WK6","Week 6","-"
"ScheduledActivityInstance_15","ScheduledActivityInstance","afdf388e-28eb-4450-8b30-6b8d07de7b26","WK8","Week 8","-"
"ScheduledActivityInstance_16","ScheduledActivityInstance","1ae477b2-266f-4369-be76-eb685276f36b","WK8N","Week NPI","-"
"ScheduledActivityInstance_17","ScheduledActivityInstance","e47e9d49-aee3-49a2-bc85-12757afcaaa1","WK12","Week 12","-"
"ScheduledActivityInstance_18","ScheduledActivityInstance","45963bcd-9c17-4bd7-b19b-a9bc77dbc358","WK12N","Week 12 NPI","-"
"ScheduledActivityInstance_19","ScheduledActivityInstance","dc674dcf-fff1-44b8-9d78-e7f664d0587e","WK16","Week 16","-"
"ScheduledActivityInstance_20","ScheduledActivityInstance","6d4307d7-448d-42d7-b0d0-6c466557fd39","WK16N","Week 16 NPI","-"
"ScheduledActivityInstance_21","ScheduledActivityInstance","c744fbe1-ae29-4381-a344-28808763bfcc","WK20","Week 20","-"
"ScheduledActivityInstance_22","ScheduledActivityInstance","0d6e0d00-22f5-4cfc-b2bb-cd416530b4a0","WK20N","Week 20 NPI","-"
"ScheduledActivityInstance_23","ScheduledActivityInstance","56006277-0cb6-4e20-92f8-9e82444fd97b","WK24","Week 24","-"
"ScheduledActivityInstance_24","ScheduledActivityInstance","31bfcafd-e22c-4459-a0fb-fcf892bdaa08","WK26","Week 26","-"
"ScheduledActivityInstance_1","ScheduledActivityInstance","9975e000-bc8d-43cc-a821-d6fb5fe59b91","AE","Adevers Event","-"
"ScheduledActivityInstance_2","ScheduledActivityInstance","bfd4f874-ab1a-45f4-b47b-1c7f7fb7e692","ET","Early Termination","-"
"ScheduledActivityInstance_3","ScheduledActivityInstance","980a4d13-ad00-40ec-bdb2-5546fa0a3f18","VS_5MIN","5 minute supine",""
"ScheduledActivityInstance_4","ScheduledActivityInstance","70897d7b-c499-49b0-89e6-5bff2a892b06","VS_SUPINE","Vital signs supine",""
"ScheduledActivityInstance_5","ScheduledActivityInstance","18fb5a89-328a-4bd4-9524-a53347e79039","VS_1MIN","1 minute standing",""
"ScheduledActivityInstance_6","ScheduledActivityInstance","e1a7d5d1-2a18-4ab5-bb87-1a9c83810d68","VS_STAND1","Vital signs after 1 min standing",""
"ScheduledActivityInstance_7","ScheduledActivityInstance","3c008944-5b6f-4c01-a58b-916f402fa36e","VS_2MIN","2 minute standing",""
"ScheduledActivityInstance_8","ScheduledActivityInstance","69b44f7c-b21a-48ea-b6ab-e7b3e5945e48","VS_STAND3","Vital signs after 3 min standing",""
