"valueLabel","windowLabel","windowUpper","id","value","windowLower","instanceType","uuid:ID","name","label","description"
"2 weeks","","","Timing_1","P2W","","Timing","4fa216a1-f51b-4f33-9a53-25cf4c2de8b3","TIM1","Screening","Screening timing"
"2 days","-4..0 hours","PT0H","Timing_2","P2D","PT4H","Timing","db6f7370-3457-49c4-9ae0-231a2021eae0","TIM2","Pre dose","Pre dose timing"
"1 Day","","","Timing_3","P1D","","Timing","f96c2275-a43d-46b9-a4e3-ffc2a94a28a2","TIM3","Dosing","Dosing anchor"
"2 Weeks","-3..3 days","P3D","Timing_4","P2W","P3D","Timing","a96a3adc-b310-4259-b057-7bf9b6eab494","TIM4","Week 2","Week 2 timing"
"4 Weeks","-3..3 days","P3D","Timing_5","P4W","P3D","Timing","4b95b2af-c54f-42c5-849b-27da88beb3ac","TIM5","Week 4","Week 4 timing"
"6 Weeks","-3..3 days","P3D","Timing_6","P6W","P3D","Timing","d3d1c52f-f0f1-4ebf-9962-32dac453e9b2","TIM6","Week 6","Week 6 timing"
"8 Weeks","-3..3 days","P3D","Timing_7","P8W","P3D","Timing","08013a67-bbd7-4a99-b008-dce29fe3c69c","TIM7","Week 8","Week 8 timing"
"12 Weeks","-4..4 days","P4D","Timing_9","P12W","P4D","Timing","0fe86714-d728-4580-a4e3-d900725be416","TIM9","Week 12","Week 12 timing"
"16 Weeks","-4..4 days","P4D","Timing_11","P16W","P4D","Timing","1fa025d0-fbc3-4d1b-aef8-47a2cfc6da8f","TIM11","Week 16","Week 16 timing"
"20 Weeks","-4..4 days","P4D","Timing_13","P20W","P4D","Timing","d5acd3d1-d191-47a3-bd78-b90c614cef1a","TIM13","Week 20","Week 20 timing"
"24 Weeks","-4..4 days","P4D","Timing_15","P24W","P4D","Timing","cbc17777-8ea8-4e55-9281-d7323007cf5a","TIM15","Week 24","Week 24 timing"
"26 Weeks","-3..3 days","P3D","Timing_16","P26W","P3D","Timing","2c5a6925-9572-466f-acce-ed21fe27e107","TIM16","Week 26","Week 26 timing"
"2 Weeks","","","Timing_8","P2W","","Timing","95723a14-4fbb-4fe7-97e3-0a9cdacb8dda","TIM8","Week 8 Home","Week 8 at home timing"
"2 Weeks","","","Timing_10","P2W","","Timing","4ac35271-cdc1-430b-9648-82223c2a4b77","TIM10","Week 12 Home","Week 12 at home timing"
"2 Weeks","","","Timing_12","P2W","","Timing","06b9ae3d-064b-4194-8736-914603b0cde8","TIM12","Week 16 Home","Week 16 at home timing"
"2 Weeks","","","Timing_14","P2W","","Timing","cc0afed1-4a2e-4076-bc1f-1367a6424786","TIM14","Week 20 Home","Week 20 at home timing"
"1 Day","","","Timing_17","P1D","","Timing","d6ac007c-5ba6-48c4-9f96-cba93a27972d","TIM17","Adverse Event","Adverse Event"
"1 Day","","","Timing_18","P1D","","Timing","c7ebfedb-1ba8-4313-ae06-e4c21882f60f","TIM18","Early Termination","Early Termination"
"0 mins","","","Timing_19","PT0M","","Timing","517a1472-2dfd-4115-aa5f-b459b7b27454","TIM19","Supine","Supine"
"5 mins","","","Timing_20","PT5M","","Timing","1db2f86c-e273-4939-966b-4e7dd550f125","TIM20","VS while supine","VS while supine"
"0 min","","","Timing_21","PT0M","","Timing","149d8f48-8451-46cd-b753-58e0acebff9d","TIM21","Standing","Standing"
"1 min","","","Timing_22","PT1M","","Timing","31e12c39-108d-475e-9e3a-b5ba259be3c6","TIM22","VS while standing","VS while standing"
"0 min","","","Timing_23","PT0M","","Timing","32de07c1-f06e-4480-842f-de6e5fa5942d","TIM23","Standing","Standing"
"2 min","","","Timing_24","PT2M","","Timing","6b2eed8a-6d56-4790-bfcb-9dd9d99b3500","TIM24","VS while standing","VS while standing"
