"id","instanceType","uuid:ID","name","label","description"
"Encounter_1","Encounter","78e54166-cf8e-46e8-8161-2976918bf678","E1","Screening 1","Screening encounter"
"Encounter_2","Encounter","e5b76ed5-f522-48ad-9fbf-8c82b40df748","E2","Screening 2","Screening encounter - Ambulatory ECG Placement"
"Encounter_3","Encounter","c0a3eb36-e63c-413e-972c-6551d237eda7","E3","Baseline","Baseline encounter - Ambulatory ECG Removal"
"Encounter_4","Encounter","61fd9242-cb7b-40e7-8873-58dc71e44fce","E4","Week 2","Day 14"
"Encounter_5","Encounter","3555caee-c402-4fca-ac52-fff9b4df7e6d","E5","Week 4","Day 28"
"Encounter_6","Encounter","0a02c793-9439-4195-9e8a-e653852e3033","E7","Week 6","Day 42"
"Encounter_7","Encounter","1ed35f20-b4cd-412a-ab5f-0f6d74c216a8","E8","Week 8","Day 56"
"Encounter_8","Encounter","5db93526-fea0-4cd7-b303-f36f0bd8df1b","E9","Week 12","Day 84"
"Encounter_9","Encounter","bdb23cb4-ae71-4716-9418-d687d8c5835a","E10","Week 16","Day 112"
"Encounter_10","Encounter","63ea4cb8-5108-4486-b7a6-ecc75dd18c52","E11","Week 20","Day 140"
"Encounter_11","Encounter","b40fbd75-ebac-4378-b35b-442c4fa99d17","E12","Week 24","Day 168"
"Encounter_12","Encounter","db087589-6768-44bf-a75c-741bad7a015b","E13","Week 26","Day 182"
