"id","instanceType","uuid:ID","name","label","description"
"Activity_1","Activity","439d6e75-c019-4e46-b648-ad0597236634","Informed consent","Informed consent",""
"Activity_2","Activity","dc46fe8d-5aee-44b0-916e-3f1abcd3f702","Inclusion/exclusion criteria","Inclusion and exclusion criteria",""
"Activity_3","Activity","816e391d-337f-4ea8-8601-17793d01261e","Patient number assigned","Patient number assigned",""
"Activity_4","Activity","83c11a68-0b46-4dd7-966e-bf314f565257","Demographics","Demographics",""
"Activity_5","Activity","dc8981d1-7e51-4d1a-afc0-7c03c4eecf7a","Hachinski","Hachinski Ischemic Scale",""
"Activity_6","Activity","50be6af1-553a-4ffc-916d-27c3160cc324","MMSE","MMSE",""
"Activity_7","Activity","c0a1482e-cde6-420c-87d1-56a1c3927ebf","Physical examination","Physical examination",""
"Activity_8","Activity","bf1f99f5-d5a7-460c-ba36-91179b9fbd4c","Medical history","Medical history",""
"Activity_9","Activity","0547425a-7435-4806-bcbf-c689296371ce","Habits","Habits",""
"Activity_10","Activity","c08c87de-9021-45bf-9866-bbf8f5c36d70","Chest X-ray","Chest X-ray",""
"Activity_11","Activity","4369a6ee-cdd8-4115-bb36-e0e087cee9e7","Apo E genotyping","Apo E genotyping",""
"Activity_12","Activity","50022266-07a6-45ba-82cc-ec6adedff45e","Patient randomised","Patient randomised",""
"Activity_13","Activity","61f79430-379b-4b08-861e-fdfe2c776905","Vital signs / Temperature","Vital Signs and Temperature",""
"Activity_14","Activity","8b869b60-d269-4dce-8d27-064773e45bb8","Ambulatory ECG placed","Ambulatory ECG placed",""
"Activity_15","Activity","0ec8745c-1978-4f7c-852a-656c6f63a0c6","Ambulatory ECG removed","Ambulatory ECG removed",""
"Activity_16","Activity","f35814d7-c172-44fd-aadc-37d6973b0791","ECG","ECG",""
"Activity_17","Activity","fa40ef93-8675-47a4-a1b4-780301bbd881","Placebo TTS test","Placebo TTS test",""
"Activity_18","Activity","03917802-5f87-4ede-99e6-a56bf2e5daaf","CT scan","CT scan",""
"Activity_19","Activity","7ff63fa4-aa03-43dd-9a8e-d56990f7404d","Concomitant medications","Concomitant medications",""
"Activity_20","Activity","f32fd259-3ede-46e7-a79c-246e914279e1","Hematology","Hematology",""
"Activity_21","Activity","c96ce2ed-5920-40fb-b8f2-0212d498814a","Chemistry","Chemistry",""
"Activity_22","Activity","3bcaedbb-bae2-423b-8796-c5e7aee8394d","Uninalysis","Uninalysis",""
"Activity_23","Activity","3463260e-4d52-4262-9cd7-1d756f70460c","Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)",""
"Activity_24","Activity","fea0e490-8abe-4552-b46a-1934f42f78f4","Hemoglobin A1C","Hemoglobin A1C",""
"Activity_25","Activity","8aef7f13-fdaf-486a-9438-307550c38532","Study drug","Study drug record , Medications dispensed, Medications returned",""
"Activity_26","Activity","fd6e059b-d87f-4fbd-94eb-83bc710c47f4","TTS Acceptability Survey","TTS Acceptability Survey",""
"Activity_27","Activity","ebbd1288-3a0b-4409-92cb-bfb2b7be5681","ADAS-Cog","ADAS-Cog",""
"Activity_28","Activity","4a509d31-7185-4fe2-8475-c79539db661a","CIBIC+","CIBIC+",""
"Activity_29","Activity","6267c1fd-222c-4949-87df-b57e48a4d672","DAD","DAD",""
"Activity_30","Activity","5dfc474f-b247-4a11-8413-149bc14e2b80","NPI-X","NPI-X",""
"Activity_31","Activity","b534b078-3c0e-426d-9d8f-16bb1d91e74d","Adverse events","Adverse events",""
"Activity_32","Activity","1f2fc4f9-b143-4490-8ce9-a59deb669195","Check adverse events","Check adverse events",""
"Activity_33","Activity","b6e048ee-a017-4daf-9652-eb17a00b0f59","Supine","Subject supine",""
"Activity_34","Activity","24c0eca5-873f-469a-9e93-588363062914","Vital Signs Supine","Vital signs while supine",""
"Activity_35","Activity","06152e67-cbee-4b55-9f41-204176466c54","Stand","Subject Standing",""
"Activity_36","Activity","449dff98-2370-4ab4-87f2-ec463e621dda","Vital Signs Standing","Vital signs while standing",""
