"uuid:ID","instanceType","name","id","text"
"658e1fcd-d707-4ee8-bdac-4dccd3e775e2","TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_1","Subject identifier"
"9adcc1c3-54fc-41ab-9f16-258bd878434b","TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_2","completion of screening activities"
"94b93267-1fd3-420e-b601-e7feed76c71d","TransitionRule","ENCOUNTER_START_RULE_2","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine"
"3069f686-8056-410a-867c-998dbca6456a","TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_4","subject has connection of ambulatory ECG machine removed"
"87a8c2bb-e4d6-4975-b115-76e148bdf60a","TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_5","Radomized"
"813e96e9-2afe-4b90-b385-c752dac9126f","TransitionRule","ENCOUNTER_START_RULE_12","TransitionRule_6","End of treatment"
"cf0016a3-0d4d-4f66-bbe2-8ec3ce5a184a","TransitionRule","ELEMENT_START_RULE_1","TransitionRule_7","Informed consent"
"5dc36d38-6e63-4bea-a401-7fcfda2160be","TransitionRule","ELEMENT_END_RULE_1","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent"
"267468bd-35be-4241-a4c7-eec5e4850501","TransitionRule","ELEMENT_START_RULE_2","TransitionRule_9","Administration of first dose"
"7fdc691b-f717-455f-a4c4-cb3f24bbfc37","TransitionRule","ELEMENT_START_RULE_7","TransitionRule_14","End of last scheduled visit on study (including early termination)"
"904f7074-9b4c-4902-a35d-4c36daeb56ba","TransitionRule","ELEMENT_END_RULE_7","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"2e8eca19-e6c1-4157-a8de-fae46bc467d8","TransitionRule","ELEMENT_START_RULE_3","TransitionRule_10","Administration of first dose"
"59c3ae3e-8086-4a0e-8999-b7b26d8c74c2","TransitionRule","ELEMENT_START_RULE_4","TransitionRule_11","Randomized"
"de16dcd7-7de1-41a5-b66b-45f5a7555e11","TransitionRule","ELEMENT_START_RULE_5","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)"
"52a5d239-151c-41b3-bc25-2e1e2c9a46ad","TransitionRule","ELEMENT_START_RULE_6","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)"
