"windowUpper","uuid:ID","window","description","value","instanceType","label","name","id","windowLower"
"","0bb1c535-fe87-4ba6-be73-d512687855ac","","Screening timing","P2W","Timing","Screening","TIM1","Timing_1",""
"PT0H","3d7ba039-20de-48d1-82a6-98e042b91019","-4..0 hours","Pre dose timing","P2D","Timing","Pre dose","TIM2","Timing_2","PT4H"
"","a6c1eef3-ab4f-4180-a2cf-8ec7567f6103","","Dosing anchor","P1D","Timing","Dosing","TIM3","Timing_3",""
"P3D","816d1c24-a95b-454d-9e5d-d405d28395a6","-3..3 days","Week 2 timing","P2W","Timing","Week 2","TIM4","Timing_4","P3D"
"P3D","5b42286c-fdca-4fbd-96e8-024a6fde31e6","-3..3 days","Week 4 timing","P4W","Timing","Week 4","TIM5","Timing_5","P3D"
"P3D","2688ca54-cea8-41ab-ae8f-93582ac65cfd","-3..3 days","Week 6 timing","P6W","Timing","Week 6","TIM6","Timing_6","P3D"
"P3D","14ddc0b1-e945-411b-ba95-8d22db9568d1","-3..3 days","Week 8 timing","P8W","Timing","Week 8","TIM7","Timing_7","P3D"
"P4D","a38b3d95-4f2b-4070-9bb3-a866a548be5e","-4..4 days","Week 12 timing","P12W","Timing","Week 12","TIM9","Timing_9","P4D"
"P4D","d29a0c63-4a23-47ae-9fae-0c2cea293562","-4..4 days","Week 16 timing","P16W","Timing","Week 16","TIM11","Timing_11","P4D"
"P4D","aaf8745d-8846-4c1c-b636-441e975ac139","-4..4 days","Week 20 timing","P20W","Timing","Week 20","TIM13","Timing_13","P4D"
"P4D","5fdf1e79-3ab2-4d5b-a5bc-2e6ee80a5cf2","-4..4 days","Week 24 timing","P24W","Timing","Week 24","TIM15","Timing_15","P4D"
"P3D","c1039582-a250-4d8b-83f9-bb20de09dd91","-3..3 days","Week 26 timing","P26W","Timing","Week 26","TIM16","Timing_16","P3D"
"","06f166bb-50f4-48dd-ac83-2cd61104f79c","","Week 8 at home timing","P2W","Timing","Week 8 Home","TIM8","Timing_8",""
"","26359ea7-1ac5-4256-b620-519a3b019d8c","","Week 12 at home timing","P2W","Timing","Week 12 Home","TIM10","Timing_10",""
"","2f6ffa5f-d756-4806-b3e8-1d7c5588c9a0","","Week 16 at home timing","P2W","Timing","Week 16 Home","TIM12","Timing_12",""
"","a386af4e-1c71-43c6-8eb5-5e527b844952","","Week 20 at home timing","P2W","Timing","Week 20 Home","TIM14","Timing_14",""
"","61b042f4-864f-4344-9fd1-bb1587af09ef","","Adverse Event","P1D","Timing","Adverse Event","TIM17","Timing_17",""
"","49ecbed2-72fb-45fa-ab33-2026ac311e82","","Early Termination","P1D","Timing","Early Termination","TIM18","Timing_18",""
"","d0692ac5-ff75-4d3a-8ae8-66977ce4401b","","Supine","PT0M","Timing","Supine","TIM19","Timing_19",""
"","e79cb440-0260-4b5d-980b-0cead604e299","","VS while supine","PT5M","Timing","VS while supine","TIM20","Timing_20",""
"","0455fdc7-4667-4282-b606-6db6f5159185","","Standing","PT0M","Timing","Standing","TIM21","Timing_21",""
"","7cc0b542-1622-4290-84e4-c949ff6df314","","VS while standing","PT1M","Timing","VS while standing","TIM22","Timing_22",""
"","b491a2a2-defd-47c5-8af1-b941a65e8530","","Standing","PT0M","Timing","Standing","TIM23","Timing_23",""
"","6d043421-cd54-4b1c-9afa-b3f38f10fe4f","","VS while standing","PT2M","Timing","VS while standing","TIM24","Timing_24",""
