"sectionTitle","uuid:ID","sectionNumber","instanceType","name","id","text"
"Root","99a6a2f9-d8c1-4036-91ce-91f32cd787fd","0","NarrativeContent","ROOT","NarrativeContent_1",""
"TITLE PAGE","7ff774ac-334c-4cc9-9265-8e680adb24bc","0","NarrativeContent","SECTION 0","NarrativeContent_2","<div><usdm:section name=""M11-title-page""></div>"
"PROTOCOL SUMMARY","389b685c-42df-4fb6-89e1-9ea2a8f44c98","1","NarrativeContent","SECTION 1","NarrativeContent_3","<div></div>"
"Protocol Synopsis","7f325106-c130-4f75-8925-ce0285f46fe1","1.1","NarrativeContent","SECTION 1.1","NarrativeContent_4","<div></div>"
"Trial Schema","d34d8c7f-b2e3-4892-bd9c-45957da038ad","1.2","NarrativeContent","SECTION 1.2","NarrativeContent_5","<div></div>"
"Schedule of Activities","c34fbc4a-9a0d-4b80-8682-1c0ab4c84479","1.3","NarrativeContent","SECTION 1.3","NarrativeContent_6","<div></div>"
"INTRODUCTION","11c791db-9f3c-4dfa-817a-64b543e17cf5","2","NarrativeContent","SECTION 2","NarrativeContent_7","<div></div>"
"Purpose of Trial","79eb93af-bafb-477d-9fc5-10932c500076","2.1","NarrativeContent","SECTION 2.1","NarrativeContent_8","<div></div>"
"Summary of Benefits and Risks","3c618433-df53-4347-b556-c0de25a8bc70","2.2","NarrativeContent","SECTION 2.2","NarrativeContent_9","<div></div>"
"TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","63848efd-1e74-4fca-b656-4b2282d29836","3","NarrativeContent","SECTION 3","NarrativeContent_10","<div></div>"
"Primary Objectives","646a68fc-c6c8-4b2c-82a5-f54406e5a452","3.1","NarrativeContent","SECTION 3.1","NarrativeContent_11","<div><usdm:section name=""M11-objective-endpoints""></div>"
"TRIAL DESIGN","70b23c8b-9c0d-4db4-928c-7a2a2f4fac71","4","NarrativeContent","SECTION 4","NarrativeContent_12","<div></div>"
"Description of Trial Design","816adb03-4dbb-4dba-a8c9-60d0a5e18b4b","4.1","NarrativeContent","SECTION 4.1","NarrativeContent_13","<div></div>"
"Participant Input into Design","6403f26d-8236-45bf-ae57-94a8c33e010e","4.1.1","NarrativeContent","SECTION 4.1.1","NarrativeContent_14","<div></div>"
