"datatype","isRequired","uuid:ID","isEnabled","instanceType","label","name","id"
"decimal","True","d0569b5f-2a1c-43b1-a32e-2c2edc1f2207","True","BiomedicalConceptProperty","Vital Signs Result","Vital Signs Result","BiomedicalConceptProperty_98"
"string","True","a57ca8ac-a2cd-42c3-ac27-1365ee09eefd","True","BiomedicalConceptProperty","Unit of Temperature","Unit of Temperature","BiomedicalConceptProperty_99"
"string","True","a32b32ab-bf53-4205-ab2e-896a1798a044","True","BiomedicalConceptProperty","Vital Signs Location","Vital Signs Location","BiomedicalConceptProperty_100"
"decimal","True","d8145c2d-56a1-45f3-b8b8-862ad5eceab7","True","BiomedicalConceptProperty","Vital Signs Result","Vital Signs Result","BiomedicalConceptProperty_101"
"string","True","f71fad2e-5493-48de-8f9a-210e6095b90b","True","BiomedicalConceptProperty","Unit of Weight","Unit of Weight","BiomedicalConceptProperty_102"
"decimal","True","1f7d52d0-5c72-4e1a-ba0c-d8476d37c46d","True","BiomedicalConceptProperty","Vital Signs Result","Vital Signs Result","BiomedicalConceptProperty_103"
"string","True","ed2fef9d-d1b5-40af-b7ef-520156b46b3d","True","BiomedicalConceptProperty","Unit of Height","Unit of Height","BiomedicalConceptProperty_104"
"decimal","True","ac0eba15-de86-47ad-9dcd-774139dc64bb","True","BiomedicalConceptProperty","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty_105"
"boolean","True","8e9ad30e-5eb2-4936-81db-3ee10a1bd264","True","BiomedicalConceptProperty","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty_106"
"string","True","575a92b6-7fe7-41ca-8fc3-985b8d8d3843","True","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_107"
"string","True","0cbef7ff-8a64-4fa9-9b0c-49044ee47dc3","True","BiomedicalConceptProperty","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty_108"
"string","True","3f95a0cb-77e3-4d96-8c12-3d714b2a2689","True","BiomedicalConceptProperty","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty_109"
"boolean","True","8f5ec22b-5e97-45b4-a984-048e3e667561","True","BiomedicalConceptProperty","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty_110"
"string","True","e5b9f1c6-e766-44b1-9a7d-db1126f6ecee","True","BiomedicalConceptProperty","Unit of Concentration","Unit of Concentration","BiomedicalConceptProperty_111"
"string","True","4d6293f6-0af3-452f-9d38-4e74d1c5ee23","True","BiomedicalConceptProperty","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty_112"
"decimal","True","118ccb56-fbee-4d8a-9206-5eb0cae2bf0a","True","BiomedicalConceptProperty","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty_113"
"boolean","True","ef602fc2-f9d4-4181-ba2c-9a868d08fbc3","True","BiomedicalConceptProperty","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty_114"
"string","True","e40cc87c-bed2-42e0-910b-f6383c63bbf8","True","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_115"
