"uuid:ID","description","instanceType","label","name","id"
"8902ca62-a2da-49a2-bb39-b4a0a4bdd327","Screening encounter","Encounter","Screening 1","E1","Encounter_1"
"af6e5489-a915-407e-b154-a55098ee5a00","Screening encounter - Ambulatory ECG Placement","Encounter","Screening 2","E2","Encounter_2"
"c3c5d65c-2c1d-4825-b935-39dc981e71b3","Baseline encounter - Ambulatory ECG Removal","Encounter","Baseline","E3","Encounter_3"
"c6df9f15-249c-40f0-a0e8-db47ee367478","Day 14","Encounter","Week 2","E4","Encounter_4"
"43c3810d-e8d3-4f4c-8e67-113cb1d9ed17","Day 28","Encounter","Week 4","E5","Encounter_5"
"e39675cd-3faa-429a-a6ad-3a250e7c989f","Day 42","Encounter","Week 6","E7","Encounter_6"
"276f607e-4ade-46b4-a5bb-d0c018bb2061","Day 56","Encounter","Week 8","E8","Encounter_7"
"627c0c00-af6d-4bc7-b4d9-ae125de9d8f3","Day 84","Encounter","Week 12","E9","Encounter_8"
"3fdac9f5-2141-41f8-8c5b-d13275a69de5","Day 112","Encounter","Week 16","E10","Encounter_9"
"26473594-ef5b-48c1-9784-c30bd1430b5e","Day 140","Encounter","Week 20","E11","Encounter_10"
"41478a0d-6448-42d7-aa70-7bf2ac5e0f74","Day 168","Encounter","Week 24","E12","Encounter_11"
"4b32c9c2-9b25-43b3-9283-f6050f71bfaf","Day 182","Encounter","Week 26","E13","Encounter_12"
