"reference","uuid:ID","instanceType","synonyms","label","name","id"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","5125dea7-e788-40b4-ac22-1de887342f02","BiomedicalConcept","['Temperature']","Body Temperature","Body Temperature","BiomedicalConcept_20"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","ff170ae6-1aa9-428f-9673-f0dbbe7d70bc","BiomedicalConcept","['Weight']","Body Weight","Body Weight","BiomedicalConcept_21"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","ec5b5541-07a3-46b9-bb98-3ecb385e6d68","BiomedicalConcept","['Height']","Body Height","Body Height","BiomedicalConcept_22"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","6fceef2a-601e-4c6d-b6e4-eb8604f4c066","BiomedicalConcept","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","BiomedicalConcept_23"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","3242a450-1bb9-4d9c-89c0-f7e70900d720","BiomedicalConcept","['Albumin']","Albumin Measurement","Albumin Measurement","BiomedicalConcept_24"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","ca2b0463-2f13-47cc-bd6f-69d9e2b3cf3e","BiomedicalConcept","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","BiomedicalConcept_25"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","56afdc83-93e3-4771-bf6a-3acebe15d168","BiomedicalConcept","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","BiomedicalConcept_26"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","736ddb67-caf5-476b-a2f5-f88b4049e211","BiomedicalConcept","['Creatinine']","Creatinine Measurement","Creatinine Measurement","BiomedicalConcept_27"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","b91b6083-10d3-40a0-8a87-e7b2f0a7a381","BiomedicalConcept","['Potassium', 'K']","Potassium Measurement","Potassium Measurement","BiomedicalConcept_28"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","223937ef-6a08-4132-9111-2a23c11bda92","BiomedicalConcept","['Sodium', 'NA']","Sodium Measurement","Sodium Measurement","BiomedicalConcept_29"
