"purpose","name","text","uuid:ID","instanceType","description","label","id"
"","END1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","4b96e3a8-7562-455b-8060-f9bfa0ca23fc","Endpoint","","","Endpoint_1"
"","END2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","0fe6800f-7376-43fb-8a8b-24c614b3ca52","Endpoint","","","Endpoint_2"
"","END3","Adverse events","ccb47f44-eca8-4d05-a450-048c4d39b0b7","Endpoint","","","Endpoint_3"
"","END4","Vital signs (weight, standing and supine blood pressure, heart rate)","52961c49-b9fc-45de-bdf9-12a9a4964e7c","Endpoint","","","Endpoint_4"
"","END5","Laboratory evaluations (Change from Baseline)","cc1c16f1-f02c-4e52-87ed-9dfe16eeba84","Endpoint","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","Endpoint_5"
"","END6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","a9ac7278-0fd1-479e-8e0c-2a37855864ce","Endpoint","","","Endpoint_6"
"","END7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","abe571c1-3ef3-4b50-a476-53dc681529dc","Endpoint","","","Endpoint_7"
"","END8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","32a18f74-b9d6-4bd5-a464-98b938de102a","Endpoint","","","Endpoint_8"
"","END9","*** To be determined from protocol ***","7de216c4-da9f-4bd2-bd44-7059d32a561d","Endpoint","","","Endpoint_9"
"","END10","*** To be determined from protocol ***","9b1d717e-dfbe-4fbf-8b09-50f1deeb5836","Endpoint","","","Endpoint_10"
"","END11","*** To be determined from protocol ***","25ab2d22-c14b-4491-8950-060afa5d2bc6","Endpoint","","","Endpoint_11"
