"isRequired","name","uuid:ID","instanceType","isEnabled","datatype","label","id"
"True","DSDECOD","89433f6b-fbd1-4ca7-af74-6df2ae6ebadf","BiomedicalConceptProperty","True","text","DSDECOD","BiomedicalConceptProperty_116"
"True","DSTERM","68ab46b3-d326-4295-b903-0dd68b7cd92f","BiomedicalConceptProperty","True","text","DSTERM","BiomedicalConceptProperty_117"
"True","DSSTDTC","e737c134-13c7-42c2-a563-938744083570","BiomedicalConceptProperty","True","datetime","DSSTDTC","BiomedicalConceptProperty_118"
"True","Sex","c401c815-9f73-458e-93e6-084bdc523801","BiomedicalConceptProperty","True","string","Sex","BiomedicalConceptProperty_119"
"True","Race","136423dd-62ea-4b9a-95df-f858b1042223","BiomedicalConceptProperty","True","string","Race","BiomedicalConceptProperty_120"
"True","VSTESTCD","65207935-89fa-47ca-9c08-12da85f0e3bb","BiomedicalConceptProperty","True","","VSTESTCD","BiomedicalConceptProperty_121"
"True","VSORRES","ab96607b-3eb9-4353-bafe-4e2a3c82d69f","BiomedicalConceptProperty","True","float","VSORRES","BiomedicalConceptProperty_122"
"True","VSORRESU","12299282-ac34-4855-a5e4-44b8b0c651d0","BiomedicalConceptProperty","True","","VSORRESU","BiomedicalConceptProperty_123"
"True","VSLOC","a296cd00-370e-4da1-bc11-1e9a564cacca","BiomedicalConceptProperty","True","","VSLOC","BiomedicalConceptProperty_124"
"True","VSTESTCD","89b92a5d-e7dc-46be-9fca-be9ead83bb65","BiomedicalConceptProperty","True","","VSTESTCD","BiomedicalConceptProperty_125"
"True","VSORRES","d2124f9e-a002-4f21-b695-9986706f7e73","BiomedicalConceptProperty","True","float","VSORRES","BiomedicalConceptProperty_126"
"True","VSORRESU","91cb50a8-c641-436f-9a9f-cb7f3a660409","BiomedicalConceptProperty","True","","VSORRESU","BiomedicalConceptProperty_127"
"True","VSTESTCD","584b3013-e289-4a85-b002-b39f0032d349","BiomedicalConceptProperty","True","","VSTESTCD","BiomedicalConceptProperty_128"
"True","VSORRES","2ad51d24-5ef1-4912-b333-d45fdb462e72","BiomedicalConceptProperty","True","float","VSORRES","BiomedicalConceptProperty_129"
"True","VSORRESU","634901a7-9d32-4be6-bb74-1a44d7f56bc4","BiomedicalConceptProperty","True","","VSORRESU","BiomedicalConceptProperty_130"
"True","LBTESTCD","9346cd82-3777-4835-8ee8-e22fc61ce0b9","BiomedicalConceptProperty","True","","LBTESTCD","BiomedicalConceptProperty_131"
