"name","uuid:ID","instanceType","description","label","id"
"SCREEN1","5f66d466-9f26-400a-b2a4-b31e91c3439c","ScheduledActivityInstance","-","Screen One","ScheduledActivityInstance_9"
"SCREEN2","7d5dd3d3-c7e5-4971-9683-b4b0dc43c938","ScheduledActivityInstance","-","Screen Two","ScheduledActivityInstance_10"
"DOSE","890a5171-1746-4f3e-a387-69dc74a30160","ScheduledActivityInstance","-","Dose","ScheduledActivityInstance_11"
"WK2","3f73e0ce-d1d2-4e58-ba55-e214c297c3df","ScheduledActivityInstance","-","Week 2","ScheduledActivityInstance_12"
"WK4","2897dd1c-c5ff-4723-916f-12fd01915279","ScheduledActivityInstance","-","Week 4","ScheduledActivityInstance_13"
"WK6","656ccaa6-ac1d-4846-8f23-45c06da968d1","ScheduledActivityInstance","-","Week 6","ScheduledActivityInstance_14"
"WK8","8f71e98a-e8d1-408c-8e00-372a1840a908","ScheduledActivityInstance","-","Week 8","ScheduledActivityInstance_15"
"WK8N","bbf7c898-e2c6-44ab-994d-9ddc6cd035a9","ScheduledActivityInstance","-","Week NPI","ScheduledActivityInstance_16"
"WK12","e538239c-945e-4430-a3f8-47aad244602a","ScheduledActivityInstance","-","Week 12","ScheduledActivityInstance_17"
"WK12N","d6781bc1-5bfc-44c2-93b8-56a51787145e","ScheduledActivityInstance","-","Week 12 NPI","ScheduledActivityInstance_18"
"WK16","806fb30e-a33f-4c6d-98c2-4a6480f2c339","ScheduledActivityInstance","-","Week 16","ScheduledActivityInstance_19"
"WK16N","1325f626-e8b1-45e2-9d9f-649145ab4d1b","ScheduledActivityInstance","-","Week 16 NPI","ScheduledActivityInstance_20"
"WK20","cd100421-57e2-420b-bafe-d9e4b2240b0f","ScheduledActivityInstance","-","Week 20","ScheduledActivityInstance_21"
"WK20N","76455f0c-edf8-480e-861e-cb0d3b56a645","ScheduledActivityInstance","-","Week 20 NPI","ScheduledActivityInstance_22"
"WK24","2ea0f478-d827-4d0e-8f1d-102a8e951d31","ScheduledActivityInstance","-","Week 24","ScheduledActivityInstance_23"
"WK26","7a6da54c-a8f1-40e1-b2ea-9cdf14cc86a4","ScheduledActivityInstance","-","Week 26","ScheduledActivityInstance_24"
"AE","135a1547-09f4-4246-84b4-19899d54bf9d","ScheduledActivityInstance","-","Adevers Event","ScheduledActivityInstance_1"
"ET","e4aa200e-8234-4751-a38d-8347ca459d35","ScheduledActivityInstance","-","Early Termination","ScheduledActivityInstance_2"
"VS_5MIN","35492784-e655-45c7-ade0-c8a8cc6242dd","ScheduledActivityInstance","","5 minute supine","ScheduledActivityInstance_3"
"VS_SUPINE","f196a836-62ab-4c43-a6de-b4548b3a700d","ScheduledActivityInstance","","Vital signs supine","ScheduledActivityInstance_4"
"VS_1MIN","3a22be3e-9812-4038-8b78-cf3ee43bc43c","ScheduledActivityInstance","","1 minute standing","ScheduledActivityInstance_5"
"VS_STAND1","4bde35a9-8616-42ce-82ab-939f5ea62c64","ScheduledActivityInstance","","Vital signs after 1 min standing","ScheduledActivityInstance_6"
"VS_2MIN","b6a287d5-ab49-48d7-b763-787b62173180","ScheduledActivityInstance","","2 minute standing","ScheduledActivityInstance_7"
"VS_STAND3","766bdae3-faec-492b-9607-f92a5c990d68","ScheduledActivityInstance","","Vital signs after 3 min standing","ScheduledActivityInstance_8"
