"name","uuid:ID","windowLower","instanceType","windowUpper","description","valueLabel","label","value","id","windowLabel"
"TIM1","255f8f44-6e01-4afb-b5bc-672fa7106ce3","","Timing","","Screening timing","2 weeks","Screening","P2W","Timing_1",""
"TIM2","33b3f41a-553d-4b19-bda4-ad0a61c54107","PT4H","Timing","PT0H","Pre dose timing","2 days","Pre dose","P2D","Timing_2","-4..0 hours"
"TIM3","d5e5646c-8881-4060-b52e-53a1ed87c302","","Timing","","Dosing anchor","1 Day","Dosing","P1D","Timing_3",""
"TIM4","25ac5a8e-61af-4954-94a7-42a067c20de3","P3D","Timing","P3D","Week 2 timing","2 Weeks","Week 2","P2W","Timing_4","-3..3 days"
"TIM5","918fc85e-9969-4508-919a-0d73c9cb0053","P3D","Timing","P3D","Week 4 timing","4 Weeks","Week 4","P4W","Timing_5","-3..3 days"
"TIM6","11d4bc2b-5f12-425a-ba02-44021890bde3","P3D","Timing","P3D","Week 6 timing","6 Weeks","Week 6","P6W","Timing_6","-3..3 days"
"TIM7","da92b0a5-e9c3-4588-9b61-32d96ebf023e","P3D","Timing","P3D","Week 8 timing","8 Weeks","Week 8","P8W","Timing_7","-3..3 days"
"TIM9","5efa2f0b-5f72-45a7-8f96-1e1a05472252","P4D","Timing","P4D","Week 12 timing","12 Weeks","Week 12","P12W","Timing_9","-4..4 days"
"TIM11","e109c6c9-f305-45ec-8fb6-ab61c5c3c388","P4D","Timing","P4D","Week 16 timing","16 Weeks","Week 16","P16W","Timing_11","-4..4 days"
"TIM13","6fe81763-9951-41cb-8826-6241bcec7d4d","P4D","Timing","P4D","Week 20 timing","20 Weeks","Week 20","P20W","Timing_13","-4..4 days"
"TIM15","1decd39a-7e79-41aa-ba50-d362b2b2aecb","P4D","Timing","P4D","Week 24 timing","24 Weeks","Week 24","P24W","Timing_15","-4..4 days"
"TIM16","69ab1516-c4dd-4d1a-ac00-ce964bb52023","P3D","Timing","P3D","Week 26 timing","26 Weeks","Week 26","P26W","Timing_16","-3..3 days"
"TIM8","44c1bcf5-907a-49c1-a870-312bff365fc4","","Timing","","Week 8 at home timing","2 Weeks","Week 8 Home","P2W","Timing_8",""
"TIM10","0bd08da2-2c98-40ed-9002-733fe9953ce3","","Timing","","Week 12 at home timing","2 Weeks","Week 12 Home","P2W","Timing_10",""
"TIM12","5dc7cf6c-10d8-4e04-ba72-13a292dea021","","Timing","","Week 16 at home timing","2 Weeks","Week 16 Home","P2W","Timing_12",""
"TIM14","9a0f7d06-6dc8-403a-8c95-1a3839e4723d","","Timing","","Week 20 at home timing","2 Weeks","Week 20 Home","P2W","Timing_14",""
"TIM17","5d2f4c97-cba6-4ba5-9560-e0a4f397dd9c","","Timing","","Adverse Event","1 Day","Adverse Event","P1D","Timing_17",""
"TIM18","091d6ccd-d86d-4c8f-86a1-528b6316e69d","","Timing","","Early Termination","1 Day","Early Termination","P1D","Timing_18",""
"TIM19","b2b48aee-eca6-45a6-86a6-8449587b7909","","Timing","","Supine","0 mins","Supine","PT0M","Timing_19",""
"TIM20","8de9cdc9-7327-4167-a0f8-f2b81af6e6d4","","Timing","","VS while supine","5 mins","VS while supine","PT5M","Timing_20",""
"TIM21","6c83f22a-8161-42e3-9748-eb2afd9885e2","","Timing","","Standing","0 min","Standing","PT0M","Timing_21",""
"TIM22","13c53151-0834-4105-9ca4-97cc0673f416","","Timing","","VS while standing","1 min","VS while standing","PT1M","Timing_22",""
"TIM23","fa8de721-fdb0-4120-8f3b-4f21476b97a9","","Timing","","Standing","0 min","Standing","PT0M","Timing_23",""
"TIM24","e25b21d0-ce28-4723-a8aa-0c1e082680d3","","Timing","","VS while standing","2 min","VS while standing","PT2M","Timing_24",""
