"decode","uuid:ID","codeSystem","instanceType","codeSystemVersion","code","id"
"Interventional Study","9279dd00-4e83-4057-8c4a-a1747ac20a1a","http://www.cdisc.org","Code","2023-12-15","C98388","Code_1"
"Phase II Trial","1b955379-b91a-4c6a-ae55-c125a4f534f9","http://www.cdisc.org","Code","2023-12-15","C15601","Code_2"
"Sponsor Approval Date","47abb238-b6a9-4c3d-a443-4f79c6612cbc","http://www.cdisc.org","Code","2023-12-15","C132352","Code_9"
"Global","04b98b72-c5cc-4179-92d1-4b78b921232d","http://www.cdisc.org","Code","2023-12-15","C68846","Code_10"
"IRB/IEC Feedback","b3cb470e-e3ff-463a-8ae8-5e81df2b6e57","http://www.cdisc.org","Code","2023-12-15","C99904x3","Code_72"
"Other","96190b30-2c9b-4e9b-b3f3-c3d4c04cbb35","http://www.cdisc.org","Code","2023-12-15","C17649","Code_73"
"Region","2089cacb-4c4b-4ade-bcfc-be5c8e257f30","http://www.cdisc.org","Code","2023-12-15","C41129","Code_75"
"Europe","f46b41c3-b07f-4fe8-9b91-e6dff223bf12","ISO 3166 1 alpha3","Code","2020-08","150","Code_74"
"Eli Lilly","22212786-3dc8-4390-9014-af725921a1b8","SPONSOR","Code","12","PHARMA","Code_4"
"Clinical Study Sponsor","1273fb5e-da2d-43a0-9c61-d322a6246586","http://www.cdisc.org","Code","2023-12-15","C70793","Code_76"
"United States of America","4ad1fad7-9ea3-4cf8-9206-234f7f1f45fb","ISO 3166 1 alpha3","Code","2020-08","USA","Code_77"
"Study Registry","6fb8fa46-6ab2-44eb-9e3e-688817b73256","http://www.cdisc.org","Code","2023-12-15","C93453","Code_78"
"United States of America","257b4286-6afb-46c5-987b-f50b1af1e110","ISO 3166 1 alpha3","Code","2020-08","USA","Code_79"
"Treatment Study","71f2e65a-524f-4e92-b825-21dcc56d13da","http://www.cdisc.org","Code","2023-12-15","C49656","Code_137"
"Efficacy Study","bbe823c2-b69e-487c-89c5-dfd87f60e07f","http://www.cdisc.org","Code","2023-12-15","C49666","Code_138"
"Safety Study","25d882c7-96e7-4cba-8d92-1d4f412cb2cf","http://www.cdisc.org","Code","2023-12-15","C49667","Code_139"
"Pharmacokinetic Study","68d4834b-9a40-41fd-b861-9f5abc785851","http://www.cdisc.org","Code","2023-12-15","C49663","Code_140"
"Mild to Moderate Alzheimer's Disease","2e85d6e9-104b-4a53-bc7f-9d67985fc0bb","SPONSOR","Code","12","MILD_MOD_ALZ","Code_134"
"Alzheimer's disease","d80bd13e-1f6d-4a22-aaa2-266416fa76a6","SNOMED","Code","January 31, 2018","26929004","Code_135"
"EXTENSION","85a0e576-53ee-400d-bcbc-90cffbcae739","http://www.cdisc.org","Code","2023-12-15","C99907x1","Code_143"
"ADAPTIVE","05855a4f-def7-40c9-9951-075fb2698696","http://www.cdisc.org","Code","2023-12-15","C98704","Code_144"
"Parallel Study","1be7160e-2da5-4454-8637-da412eb27c57","http://www.cdisc.org","Code","2023-12-15","C82639","Code_141"
"Visit","267e6d83-0927-467c-aecd-2a99e8f0ae11","http://www.cdisc.org","Code","2023-12-15","C25716","Code_83"
"Clinic","af367544-1ca4-4c41-b37d-3727f0f7cb11","http://www.cdisc.org","Code","2023-12-15","C51282","Code_84"
"In Person","8f8f68b2-dbea-4ecb-af25-40b34d562a60","http://www.cdisc.org","Code","2023-12-15","C175574","Code_85"
"Visit","6eb7a41f-be70-49e9-8c5e-9a3992285f23","http://www.cdisc.org","Code","2023-12-15","C25716","Code_86"
"Clinic","63d6b4f2-73c7-42b6-8f5f-cbb4d42cf9c6","http://www.cdisc.org","Code","2023-12-15","C51282","Code_87"
"In Person","d184c09d-87f3-4540-8422-05abbf3f9f71","http://www.cdisc.org","Code","2023-12-15","C175574","Code_88"
"Visit","2d9a4476-8826-41cd-816b-431954ce1cb4","http://www.cdisc.org","Code","2023-12-15","C25716","Code_89"
"Clinic","0b8deb00-3006-4455-8a53-0230631cdb68","http://www.cdisc.org","Code","2023-12-15","C51282","Code_90"
"In Person","cfe2fbcd-9d5a-4b51-a578-a12ea7671fd7","http://www.cdisc.org","Code","2023-12-15","C175574","Code_91"
"Visit","71fe4847-1d13-4b94-a8e3-e58ff3a18554","http://www.cdisc.org","Code","2023-12-15","C25716","Code_92"
"Clinic","60fe5630-9cd1-4c6b-913a-f49fdc442b72","http://www.cdisc.org","Code","2023-12-15","C51282","Code_93"
"In Person","a42c5d81-222f-425f-b9e8-3abd272d7ccb","http://www.cdisc.org","Code","2023-12-15","C175574","Code_94"
"Visit","5af8d02f-bbe0-4ab3-bb0c-acbc0317169f","http://www.cdisc.org","Code","2023-12-15","C25716","Code_95"
"Clinic","1d73a8e8-071c-4508-9b43-0634c2a85af2","http://www.cdisc.org","Code","2023-12-15","C51282","Code_96"
"In Person","9d8b6270-81f6-4163-8948-5506153245c2","http://www.cdisc.org","Code","2023-12-15","C175574","Code_97"
"Visit","bb78bce5-480e-4787-8c97-25be30dc2813","http://www.cdisc.org","Code","2023-12-15","C25716","Code_98"
"Clinic","5db7cb89-a06d-42e2-9c21-1da81266bb3d","http://www.cdisc.org","Code","2023-12-15","C51282","Code_99"
"In Person","0ae98515-d21c-442a-b7fe-bfec5c275057","http://www.cdisc.org","Code","2023-12-15","C175574","Code_100"
"Visit","4ab311c3-35bf-4416-ad15-63155f4447f5","http://www.cdisc.org","Code","2023-12-15","C25716","Code_101"
"Clinic","5fef8716-3cf3-4660-9018-a13a7a397ae4","http://www.cdisc.org","Code","2023-12-15","C51282","Code_102"
"In Person","997355df-d02b-44e7-a9a9-e1377687772e","http://www.cdisc.org","Code","2023-12-15","C175574","Code_103"
"Telephone Call","8c444f95-73df-44f3-818e-564aa4c15dc2","http://www.cdisc.org","Code","2023-12-15","C171537","Code_104"
"Visit","51cc5b5c-7504-4e59-bf74-a9c54b774eb3","http://www.cdisc.org","Code","2023-12-15","C25716","Code_105"
"Clinic","278f2c8a-5ce7-4915-b355-d0138ffc7903","http://www.cdisc.org","Code","2023-12-15","C51282","Code_106"
"In Person","4b8e0171-4239-4803-831e-c06b55b76bcd","http://www.cdisc.org","Code","2023-12-15","C175574","Code_107"
"Telephone Call","3241ca1a-cfda-4ac7-bcb6-3f78e4dc83d8","http://www.cdisc.org","Code","2023-12-15","C171537","Code_108"
"Visit","ac2412d0-e129-47ee-a714-c437adad0996","http://www.cdisc.org","Code","2023-12-15","C25716","Code_109"
"Clinic","40d21ed6-852c-4efd-912b-15d6948d206e","http://www.cdisc.org","Code","2023-12-15","C51282","Code_110"
"In Person","86e0831f-f847-4f49-b38e-61d67343cbd1","http://www.cdisc.org","Code","2023-12-15","C175574","Code_111"
"Telephone Call","ababa803-f62d-4c1d-adea-aae7530c028e","http://www.cdisc.org","Code","2023-12-15","C171537","Code_112"
"Visit","0cb968ed-affe-4a80-97a7-57e2ea3dace9","http://www.cdisc.org","Code","2023-12-15","C25716","Code_113"
"Clinic","87ae7d4a-9157-43a6-ab6b-b22b997ddd2a","http://www.cdisc.org","Code","2023-12-15","C51282","Code_114"
"In Person","320faf2a-66ba-4e72-85fa-a6d2acecf3e8","http://www.cdisc.org","Code","2023-12-15","C175574","Code_115"
"Telephone Call","6bb4978e-458b-4e2d-b4d7-09361d9ed023","http://www.cdisc.org","Code","2023-12-15","C171537","Code_116"
"Visit","dd52e4d8-71fb-4a24-9192-69dde9a83f2c","http://www.cdisc.org","Code","2023-12-15","C25716","Code_117"
"Clinic","a732c25d-d759-4545-8ae1-5ca58cf84dae","http://www.cdisc.org","Code","2023-12-15","C51282","Code_118"
"In Person","152710a7-0d71-4ff1-a299-7023469d0b14","http://www.cdisc.org","Code","2023-12-15","C175574","Code_119"
"Visit","1037f9bf-dddc-4ace-910f-910770e493b2","http://www.cdisc.org","Code","2023-12-15","C25716","Code_120"
"Clinic","0de4e8cb-9bca-43eb-b272-e0bd84369234","http://www.cdisc.org","Code","2023-12-15","C51282","Code_121"
"In Person","4d96c533-8c92-46d4-8f35-2ce4de17e67e","http://www.cdisc.org","Code","2023-12-15","C175574","Code_122"
"CT of head without contrast","01fd2d4f-c6f6-4ccb-8f2a-9014ddbeac7a","SNOMED","Code","January 31, 2018","383371000119108","Code_80"
"Subject Supine","c96794fc-9ec4-48be-9fe5-13576bd52a21","SPONSOR","Code","12","123","Code_81"
"Subject Standing","c7d7714d-40d8-4613-a772-920c79a409e7","SPONSOR","Code","12","124","Code_82"
"Dictionary-derived Term","e17a3938-8e0f-4374-b3c2-266e6bdb0cf5","http://www.cdisc.org","Code","2023-12-15","C82977","Code_429"
"Reported Event Term","4c02fa52-a6ec-40c4-ac35-989f4391b90d","http://www.cdisc.org","Code","2023-12-15","C82571","Code_430"
"Observation Start Date Time","5f0f6543-0dc6-4fe4-80a5-2a27016fa09c","http://www.cdisc.org","Code","2023-12-15","C82517","Code_431"
"Informed Consent","039a3dbc-4e56-43eb-b9cc-aa4cae549834","http://www.cdisc.org","Code","2023-12-15","C16735","Code_432"
"Male","fce59f86-bcaf-4ed5-92e7-7ca884a4c607","http://www.cdisc.org","Code","2023-12-15","C20197","Code_433"
"Female","13756e89-2dbc-4d6b-8f25-6bf5411ec866","http://www.cdisc.org","Code","2023-12-15","C16576","Code_434"
"Sex","010629e8-c3fe-4273-a99d-2a8ddb61330c","http://www.cdisc.org","Code","2023-12-15","C28421","Code_435"
"Sex","7fb169bf-9df0-4177-a579-741c08a0b960","http://www.cdisc.org","Code","2023-12-15","C28421","Code_436"
"Race","58739c5a-32a5-421e-acf9-5a52763e18cc","http://www.cdisc.org","Code","2023-12-15","C17049","Code_437"
"Race","63bed5e8-5818-4d93-ae6b-abb3b7eebaed","http://www.cdisc.org","Code","2023-12-15","C17049","Code_438"
"TEMP","d7010780-0932-4840-b814-9da14bf868ac","http://www.cdisc.org","Code","2023-12-15","C174446","Code_439"
"Clinical Test Result","b7cff5a3-ec66-4f30-a0df-6c7606150cf7","http://www.cdisc.org","Code","2023-12-15","C77140","Code_440"
"Degree Celsius","e054cf42-e867-4f86-beca-fad071feb8de","http://www.cdisc.org","Code","2023-12-15","C42559","Code_441"
"Degree Fahrenheit","8f94d356-1ead-4373-92fa-0377d4562388","http://www.cdisc.org","Code","2023-12-15","C44277","Code_442"
"Kelvin","fe3f057a-b64f-4add-ac59-7e450142afd1","http://www.cdisc.org","Code","2023-12-15","C42537","Code_443"
"Unit of Temperature","d64b0f20-4e3d-47b3-bd34-9f9511b9b2c9","http://www.cdisc.org","Code","2023-12-15","C44276","Code_444"
"Axilla","51595083-6ff9-43ca-b861-e41ed52c380d","http://www.cdisc.org","Code","2023-12-15","C12674","Code_445"
"Ear","ed331be7-5026-489d-8db9-0799cb653a5f","http://www.cdisc.org","Code","2023-12-15","C12394","Code_446"
"Forehead","444e5f78-8d67-401b-a0d7-64f4a1f08d7b","http://www.cdisc.org","Code","2023-12-15","C89803","Code_447"
"Oral Cavity","98813f7d-264a-45c4-92da-3786987d6982","http://www.cdisc.org","Code","2023-12-15","C12421","Code_448"
"Rectum","9fd165f4-8a62-491b-a563-ab90305b9cd3","http://www.cdisc.org","Code","2023-12-15","C12390","Code_449"
"Anatomic Site","6ac18f06-8cc0-411c-9049-b0dbf507ec7e","http://www.cdisc.org","Code","2023-12-15","C13717","Code_450"
"TEMP","5d4aa2d4-6083-4e34-9b01-83992976f8c0","http://www.cdisc.org","Code","2023-12-15","C174446","Code_451"
"WEIGHT","e607c983-9758-4fc6-9c55-0ef042c7d2f0","http://www.cdisc.org","Code","2023-12-15","C25208","Code_452"
"Clinical Test Result","240d593e-cb24-4fb2-8eb1-b90dade7e4c1","http://www.cdisc.org","Code","2023-12-15","C77140","Code_453"
"Pound","23449065-ce2c-48a5-8b12-0655a23473cc","http://www.cdisc.org","Code","2023-12-15","C48531","Code_454"
"Gram","b9a1ab23-e294-49b5-990b-c4855841b811","http://www.cdisc.org","Code","2023-12-15","C48155","Code_455"
"Kilogram","4ceb43f2-dc81-49a9-b3ab-174d51ab8ce0","http://www.cdisc.org","Code","2023-12-15","C28252","Code_456"
"Unit of Weight","12eb1483-fffd-43be-9c0e-91abb3686dd9","http://www.cdisc.org","Code","2023-12-15","C48208","Code_457"
"WEIGHT","9f446d59-b147-4607-ab1a-bcfeeb2d85b4","http://www.cdisc.org","Code","2023-12-15","C25208","Code_458"
"HEIGHT","4673ae15-a74c-4701-85a4-88d69a164b34","http://www.cdisc.org","Code","2023-12-15","C25347","Code_459"
"Clinical Test Result","1ce47198-5a87-4417-8378-e95b005effd1","http://www.cdisc.org","Code","2023-12-15","C77140","Code_460"
"Centimeter","9a0d2766-8312-4740-bfc9-31a216440a12","http://www.cdisc.org","Code","2023-12-15","C49668","Code_461"
"Inch","7438a503-f722-4a89-8018-ee55b7a6b737","http://www.cdisc.org","Code","2023-12-15","C48500","Code_462"
"Meter","bcf29f0f-9cb5-4410-8784-2422f40a4415","http://www.cdisc.org","Code","2023-12-15","C41139","Code_463"
"Unit of Height","631c203f-d45e-4983-8ee7-761a061250af","http://www.cdisc.org","Code","2023-12-15","C168688","Code_464"
"HEIGHT","65960820-8392-48f2-b951-8fd3c9dec599","http://www.cdisc.org","Code","2023-12-15","C25347","Code_465"
"ALT","1b5c9e93-85d5-4586-a4a3-556f570e9fd0","http://www.cdisc.org","Code","2023-12-15","C64433","Code_466"
"Laboratory Test Result","2e950c5e-f155-409e-84d1-4d986b1cdde2","http://www.cdisc.org","Code","2023-12-15","C36292","Code_467"
"Unit per Liter","d6d44ac9-5ac6-48a3-9dc0-f5221154ba8f","http://www.cdisc.org","Code","2023-12-15","C67456","Code_468"
"Microkatal per Liter","97ec58ce-42c7-4cd4-a628-fb836cc67e39","http://www.cdisc.org","Code","2023-12-15","C67397","Code_469"
"International Unit per Liter","1a7020ee-1ee0-41c2-9192-a146b56d9f72","http://www.cdisc.org","Code","2023-12-15","C67376","Code_470"
"Nanokatal per Liter","c442855a-0f59-4144-a893-390df2dcacfc","http://www.cdisc.org","Code","2023-12-15","C70510","Code_471"
