"name","uuid:ID","instanceType","description","label","id"
"Informed consent","f118b706-df39-4ff5-b6d3-4410997f7cf8","Activity","","Informed consent","Activity_1"
"Inclusion/exclusion criteria","974b49d1-9e16-41b7-8452-ce13297a4eb5","Activity","","Inclusion and exclusion criteria","Activity_2"
"Patient number assigned","77e08473-19ac-4489-ab1e-88d829609019","Activity","","Patient number assigned","Activity_3"
"Demographics","d6e3b57c-2870-4e98-ab6d-2f1251607bd1","Activity","","Demographics","Activity_4"
"Hachinski","c27166ba-c2d7-486e-8da4-43bb03adf232","Activity","","Hachinski Ischemic Scale","Activity_5"
"MMSE","a427441d-a179-4f57-8aee-153334900d0a","Activity","","MMSE","Activity_6"
"Physical examination","ce486442-9c62-4b37-9a5e-adbc477e5278","Activity","","Physical examination","Activity_7"
"Medical history","a6782413-ccaf-4737-be31-94da5584f1b7","Activity","","Medical history","Activity_8"
"Habits","b452acd7-f2c9-479b-9d7b-33b4044835f2","Activity","","Habits","Activity_9"
"Chest X-ray","acc5b625-56e0-475a-82b0-c97de93017ab","Activity","","Chest X-ray","Activity_10"
"Apo E genotyping","d969f065-4334-44f6-8f68-b36aa7a72a5b","Activity","","Apo E genotyping","Activity_11"
"Patient randomised","ed3ecaee-2ab8-469d-8171-7a92e2f9bafa","Activity","","Patient randomised","Activity_12"
"Vital signs / Temperature","53ded32b-d690-4d6b-95ca-2b5a96ba34a2","Activity","","Vital Signs and Temperature","Activity_13"
"Ambulatory ECG placed","5f3781ca-5ce6-4fce-b1a7-61cbd14f5ff8","Activity","","Ambulatory ECG placed","Activity_14"
"Ambulatory ECG removed","8a2d20ce-d896-461b-85a5-74ecaec36511","Activity","","Ambulatory ECG removed","Activity_15"
"ECG","00c64fa3-fc23-44ed-b271-fe613d65f697","Activity","","ECG","Activity_16"
"Placebo TTS test","3226c58a-6c23-4601-9925-efd1dc3b18f2","Activity","","Placebo TTS test","Activity_17"
"CT scan","66b2dca0-9051-4c03-805e-001500193d9e","Activity","","CT scan","Activity_18"
"Concomitant medications","f9c8593d-42ae-4bd6-a5ee-01170748d57d","Activity","","Concomitant medications","Activity_19"
"Hematology","b4cce3bd-858e-4ccf-adeb-2137e2b00783","Activity","","Hematology","Activity_20"
"Chemistry","5ad75a51-f0e2-4c18-a4f8-5edf30bd6efa","Activity","","Chemistry","Activity_21"
"Uninalysis","90f5d0bc-d7ab-420d-add1-10135068473f","Activity","","Uninalysis","Activity_22"
"Plasma Specimen (Xanomeline)","8817aba1-8873-4771-8eea-6b724addcfef","Activity","","Plasma Specimen (Xanomeline)","Activity_23"
"Hemoglobin A1C","94e29919-5b54-4c01-ab82-0599bd95e30a","Activity","","Hemoglobin A1C","Activity_24"
"Study drug","34f76767-ff61-4223-89bc-a329951cb974","Activity","","Study drug record , Medications dispensed, Medications returned","Activity_25"
"TTS Acceptability Survey","dae7104e-b17f-47b8-aa7f-1525aa119a41","Activity","","TTS Acceptability Survey","Activity_26"
"ADAS-Cog","b7ffb6b5-9f76-4b2c-94cb-8c0c976e01f7","Activity","","ADAS-Cog","Activity_27"
"CIBIC+","ae290714-d4b4-4faa-b27c-297bfa9a71fc","Activity","","CIBIC+","Activity_28"
"DAD","5ed227dd-075d-415b-9987-ca58a2955877","Activity","","DAD","Activity_29"
"NPI-X","1c28a435-4f87-4c4b-b648-ad1a4798ff8a","Activity","","NPI-X","Activity_30"
"Adverse events","c8024a8d-b628-4ae2-8031-e5229ec92b53","Activity","","Adverse events","Activity_31"
"Check adverse events","44beabc7-db20-4cd4-a741-451a958a62a4","Activity","","Check adverse events","Activity_32"
"Supine","bb0912b6-d723-42b3-a0fd-8e84d4f0db39","Activity","","Subject supine","Activity_33"
"Vital Signs Supine","64855ca0-38f7-4f12-87a9-02fc9a313f06","Activity","","Vital signs while supine","Activity_34"
"Stand","6152780f-a9d1-487e-bfe1-6c4ea61ccb6c","Activity","","Subject Standing","Activity_35"
"Vital Signs Standing","51bc66d9-6b92-4685-8be9-79472be5f414","Activity","","Vital signs while standing","Activity_36"
